Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
250.00	0.0000	0.0000	infinite	5.1916	7.2702	-1.0000e+07	20.887	29.201	301.36	undefined	17.772	0.022409	vapor
250.00	0.20000	96.483	0.010365	5.1755	7.2484	194.17	20.912	29.357	301.15	3.7237	17.818	0.022518	vapor
250.00	0.40000	193.50	0.0051681	5.1593	7.2265	188.34	20.938	29.514	300.95	3.7119	17.864	0.022627	vapor
250.00	0.60000	291.04	0.0034360	5.1430	7.2046	184.90	20.964	29.674	300.75	3.6997	17.911	0.022737	vapor
250.00	0.80000	389.12	0.0025699	5.1267	7.1826	182.45	20.990	29.836	300.56	3.6873	17.958	0.022848	vapor
250.00	1.0000	487.73	0.0020503	5.1103	7.1606	180.53	21.016	30.000	300.38	3.6745	18.005	0.022960	vapor
250.00	1.2000	586.88	0.0017039	5.0938	7.1385	178.94	21.042	30.166	300.21	3.6615	18.053	0.023072	vapor
250.00	1.4000	686.57	0.0014565	5.0773	7.1164	177.60	21.068	30.333	300.05	3.6481	18.101	0.023186	vapor
250.00	1.6000	786.80	0.0012710	5.0607	7.0942	176.42	21.094	30.503	299.89	3.6345	18.149	0.023300	vapor
250.00	1.8000	887.57	0.0011267	5.0440	7.0720	175.38	21.120	30.675	299.74	3.6205	18.198	0.023416	vapor
250.00	2.0000	988.88	0.0010112	5.0273	7.0498	174.43	21.146	30.849	299.60	3.6062	18.248	0.023532	vapor
250.00	2.2000	1090.7	0.00091681	5.0106	7.0275	173.57	21.172	31.025	299.47	3.5916	18.298	0.023650	vapor
250.00	2.4000	1193.1	0.00083813	4.9937	7.0052	172.78	21.198	31.203	299.35	3.5767	18.348	0.023768	vapor
250.00	2.6000	1296.1	0.00077156	4.9769	6.9829	172.05	21.224	31.383	299.24	3.5615	18.400	0.023888	vapor
250.00	2.8000	1399.6	0.00071451	4.9599	6.9605	171.37	21.250	31.565	299.14	3.5460	18.451	0.024009	vapor
250.00	3.0000	1503.6	0.00066507	4.9429	6.9381	170.73	21.276	31.749	299.04	3.5301	18.504	0.024131	vapor
250.00	3.2000	1608.2	0.00062183	4.9258	6.9157	170.12	21.302	31.935	298.96	3.5140	18.557	0.024254	vapor
250.00	3.4000	1713.3	0.00058368	4.9087	6.8932	169.55	21.328	32.123	298.89	3.4975	18.611	0.024378	vapor
250.00	3.6000	1818.9	0.00054978	4.8916	6.8708	169.01	21.353	32.313	298.83	3.4807	18.665	0.024504	vapor
250.00	3.8000	1925.1	0.00051945	4.8743	6.8483	168.49	21.379	32.505	298.78	3.4636	18.720	0.024631	vapor
250.00	4.0000	2031.8	0.00049217	4.8571	6.8257	168.00	21.405	32.699	298.74	3.4462	18.777	0.024759	vapor
250.00	4.2000	2139.1	0.00046749	4.8397	6.8032	167.52	21.431	32.895	298.71	3.4285	18.834	0.024889	vapor
250.00	4.4000	2246.9	0.00044507	4.8223	6.7806	167.07	21.457	33.092	298.69	3.4105	18.891	0.025020	vapor
250.00	4.6000	2355.2	0.00042460	4.8049	6.7580	166.63	21.482	33.292	298.69	3.3922	18.950	0.025152	vapor
250.00	4.8000	2464.0	0.00040584	4.7874	6.7354	166.21	21.508	33.493	298.69	3.3736	19.010	0.025286	vapor
250.00	5.0000	2573.4	0.00038860	4.7698	6.7128	165.80	21.534	33.696	298.71	3.3546	19.071	0.025422	vapor
250.00	5.2000	2683.2	0.00037269	4.7523	6.6902	165.40	21.559	33.901	298.75	3.3354	19.133	0.025558	vapor
250.00	5.2000	2683.2	0.00037269	4.7523	6.6902	165.40	21.559	33.901	298.75	3.3354	19.133	0.025558	supercritical
250.00	5.2000	2683.2	0.00037269	4.7523	6.6902	165.40	21.559	33.901	298.75	3.3354	19.133	0.025558	supercritical
250.00	5.4000	2793.6	0.00035796	4.7346	6.6676	165.02	21.585	34.107	298.79	3.3159	19.195	0.025697	supercritical
250.00	5.6000	2904.5	0.00034430	4.7169	6.6450	164.65	21.610	34.316	298.85	3.2960	19.259	0.025837	supercritical
250.00	5.8000	3015.8	0.00033158	4.6992	6.6224	164.29	21.635	34.525	298.92	3.2759	19.324	0.025979	supercritical
250.00	6.0000	3127.7	0.00031972	4.6814	6.5998	163.94	21.660	34.737	299.01	3.2555	19.391	0.026122	supercritical
250.00	6.2000	3240.1	0.00030864	4.6636	6.5771	163.60	21.686	34.949	299.10	3.2349	19.458	0.026267	supercritical
250.00	6.4000	3352.9	0.00029825	4.6457	6.5545	163.26	21.711	35.164	299.22	3.2139	19.527	0.026414	supercritical
250.00	6.6000	3466.2	0.00028850	4.6278	6.5319	162.94	21.736	35.379	299.34	3.1927	19.597	0.026562	supercritical
250.00	6.8000	3580.0	0.00027933	4.6099	6.5093	162.62	21.760	35.596	299.49	3.1711	19.668	0.026712	supercritical
250.00	7.0000	3694.2	0.00027070	4.5919	6.4868	162.31	21.785	35.815	299.64	3.1494	19.741	0.026864	supercritical
250.00	7.2000	3808.9	0.00026255	4.5739	6.4642	162.01	21.810	36.034	299.81	3.1273	19.815	0.027018	supercritical
250.00	7.4000	3924.0	0.00025484	4.5559	6.4417	161.71	21.834	36.255	300.00	3.1051	19.891	0.027174	supercritical
250.00	7.6000	4039.5	0.00024756	4.5378	6.4192	161.42	21.858	36.476	300.20	3.0825	19.968	0.027331	supercritical
250.00	7.8000	4155.4	0.00024065	4.5197	6.3967	161.13	21.883	36.698	300.42	3.0597	20.046	0.027490	supercritical
250.00	8.0000	4271.8	0.00023410	4.5015	6.3743	160.85	21.907	36.922	300.65	3.0367	20.126	0.027652	supercritical
250.00	8.2000	4388.5	0.00022787	4.4834	6.3519	160.58	21.931	37.146	300.90	3.0135	20.208	0.027815	supercritical
250.00	8.4000	4505.6	0.00022195	4.4652	6.3295	160.31	21.954	37.371	301.17	2.9900	20.291	0.027980	supercritical
250.00	8.6000	4623.1	0.00021631	4.4470	6.3072	160.05	21.978	37.596	301.45	2.9663	20.375	0.028147	supercritical
250.00	8.8000	4740.9	0.00021093	4.4287	6.2849	159.79	22.001	37.822	301.75	2.9424	20.462	0.028316	supercritical
250.00	9.0000	4859.1	0.00020580	4.4105	6.2627	159.53	22.024	38.048	302.07	2.9183	20.550	0.028487	supercritical
250.00	9.2000	4977.6	0.00020090	4.3922	6.2405	159.28	22.047	38.274	302.40	2.8940	20.639	0.028660	supercritical
250.00	9.4000	5096.4	0.00019622	4.3739	6.2184	159.03	22.070	38.501	302.75	2.8695	20.730	0.028835	supercritical
250.00	9.6000	5215.5	0.00019174	4.3556	6.1963	158.79	22.093	38.727	303.12	2.8449	20.823	0.029012	supercritical
250.00	9.8000	5334.9	0.00018745	4.3373	6.1743	158.55	22.116	38.954	303.50	2.8200	20.918	0.029191	supercritical
250.00	10.000	5454.5	0.00018333	4.3190	6.1524	158.31	22.138	39.180	303.91	2.7950	21.015	0.029372	supercritical
