Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
1500.0	0.0000	0.0000	infinite	36.817	49.288	-1.0000e+07	28.252	36.566	710.25	undefined	63.966	0.098179	vapor
1500.0	0.20000	16.030	0.062382	36.815	49.292	252.32	28.252	36.568	710.55	-0.50310	63.979	0.098197	vapor
1500.0	0.40000	32.048	0.031204	36.814	49.295	246.55	28.253	36.570	710.84	-0.50325	63.992	0.098215	vapor
1500.0	0.60000	48.052	0.020811	36.813	49.299	243.18	28.253	36.573	711.14	-0.50341	64.006	0.098233	vapor
1500.0	0.80000	64.044	0.015614	36.811	49.303	240.79	28.253	36.575	711.44	-0.50356	64.019	0.098251	vapor
1500.0	1.0000	80.023	0.012496	36.810	49.307	238.93	28.254	36.577	711.74	-0.50371	64.032	0.098269	vapor
1500.0	1.2000	95.990	0.010418	36.809	49.310	237.42	28.254	36.579	712.04	-0.50387	64.046	0.098287	vapor
1500.0	1.4000	111.94	0.0089331	36.808	49.314	236.13	28.255	36.581	712.34	-0.50402	64.059	0.098305	vapor
1500.0	1.6000	127.88	0.0078196	36.806	49.318	235.02	28.255	36.583	712.64	-0.50418	64.072	0.098323	vapor
1500.0	1.8000	143.81	0.0069535	36.805	49.321	234.04	28.255	36.585	712.94	-0.50433	64.086	0.098341	vapor
1500.0	2.0000	159.73	0.0062606	36.804	49.325	233.17	28.256	36.587	713.24	-0.50449	64.099	0.098358	vapor
1500.0	2.2000	175.63	0.0056938	36.802	49.329	232.37	28.256	36.589	713.54	-0.50464	64.112	0.098376	vapor
1500.0	2.4000	191.52	0.0052214	36.801	49.332	231.65	28.257	36.591	713.84	-0.50480	64.126	0.098394	vapor
1500.0	2.6000	207.40	0.0048216	36.800	49.336	230.98	28.257	36.594	714.14	-0.50495	64.139	0.098412	vapor
1500.0	2.8000	223.26	0.0044790	36.798	49.340	230.36	28.257	36.596	714.44	-0.50511	64.152	0.098430	vapor
1500.0	3.0000	239.12	0.0041821	36.797	49.343	229.79	28.258	36.598	714.74	-0.50526	64.165	0.098448	vapor
1500.0	3.2000	254.96	0.0039223	36.796	49.347	229.25	28.258	36.600	715.04	-0.50542	64.179	0.098465	vapor
1500.0	3.4000	270.78	0.0036930	36.795	49.351	228.75	28.258	36.602	715.34	-0.50557	64.192	0.098483	vapor
1500.0	3.6000	286.60	0.0034892	36.793	49.355	228.27	28.259	36.604	715.64	-0.50573	64.205	0.098501	vapor
1500.0	3.8000	302.40	0.0033069	36.792	49.358	227.82	28.259	36.606	715.94	-0.50588	64.218	0.098519	vapor
1500.0	4.0000	318.19	0.0031428	36.791	49.362	227.39	28.259	36.608	716.25	-0.50604	64.231	0.098537	vapor
1500.0	4.2000	333.96	0.0029943	36.789	49.366	226.99	28.260	36.610	716.55	-0.50620	64.245	0.098554	vapor
1500.0	4.4000	349.73	0.0028594	36.788	49.369	226.60	28.260	36.612	716.85	-0.50635	64.258	0.098572	vapor
1500.0	4.6000	365.48	0.0027361	36.787	49.373	226.23	28.261	36.614	717.15	-0.50651	64.271	0.098590	vapor
1500.0	4.8000	381.22	0.0026232	36.786	49.377	225.87	28.261	36.616	717.45	-0.50666	64.284	0.098607	vapor
1500.0	5.0000	396.95	0.0025192	36.784	49.380	225.53	28.261	36.618	717.75	-0.50682	64.297	0.098625	vapor
1500.0	5.2000	412.66	0.0024233	36.783	49.384	225.21	28.262	36.621	718.05	-0.50698	64.310	0.098643	vapor
1500.0	5.2000	412.66	0.0024233	36.783	49.384	225.21	28.262	36.621	718.05	-0.50698	64.310	0.098643	supercritical
1500.0	5.2000	412.66	0.0024233	36.783	49.384	225.21	28.262	36.621	718.05	-0.50698	64.310	0.098643	supercritical
1500.0	5.4000	428.36	0.0023345	36.782	49.388	224.89	28.262	36.623	718.36	-0.50713	64.323	0.098660	supercritical
1500.0	5.6000	444.05	0.0022520	36.780	49.392	224.59	28.262	36.625	718.66	-0.50729	64.337	0.098678	supercritical
1500.0	5.8000	459.73	0.0021752	36.779	49.395	224.30	28.263	36.627	718.96	-0.50745	64.350	0.098696	supercritical
1500.0	6.0000	475.39	0.0021035	36.778	49.399	224.01	28.263	36.629	719.26	-0.50760	64.363	0.098713	supercritical
1500.0	6.2000	491.04	0.0020365	36.777	49.403	223.74	28.263	36.631	719.57	-0.50776	64.376	0.098731	supercritical
1500.0	6.4000	506.68	0.0019736	36.775	49.406	223.48	28.264	36.633	719.87	-0.50792	64.389	0.098749	supercritical
1500.0	6.6000	522.31	0.0019146	36.774	49.410	223.22	28.264	36.635	720.17	-0.50807	64.402	0.098766	supercritical
1500.0	6.8000	537.92	0.0018590	36.773	49.414	222.97	28.264	36.637	720.47	-0.50823	64.415	0.098784	supercritical
1500.0	7.0000	553.52	0.0018066	36.771	49.418	222.73	28.265	36.639	720.78	-0.50839	64.428	0.098801	supercritical
1500.0	7.2000	569.11	0.0017571	36.770	49.421	222.49	28.265	36.641	721.08	-0.50854	64.441	0.098819	supercritical
1500.0	7.4000	584.69	0.0017103	36.769	49.425	222.26	28.265	36.643	721.38	-0.50870	64.454	0.098836	supercritical
1500.0	7.6000	600.25	0.0016660	36.767	49.429	222.04	28.266	36.645	721.69	-0.50886	64.467	0.098854	supercritical
1500.0	7.8000	615.80	0.0016239	36.766	49.433	221.83	28.266	36.647	721.99	-0.50901	64.480	0.098872	supercritical
1500.0	8.0000	631.34	0.0015839	36.765	49.436	221.61	28.266	36.649	722.29	-0.50917	64.493	0.098889	supercritical
1500.0	8.2000	646.87	0.0015459	36.764	49.440	221.41	28.267	36.651	722.60	-0.50933	64.506	0.098907	supercritical
1500.0	8.4000	662.38	0.0015097	36.762	49.444	221.21	28.267	36.653	722.90	-0.50948	64.519	0.098924	supercritical
1500.0	8.6000	677.89	0.0014752	36.761	49.447	221.01	28.267	36.655	723.21	-0.50964	64.532	0.098942	supercritical
1500.0	8.8000	693.38	0.0014422	36.760	49.451	220.82	28.268	36.657	723.51	-0.50980	64.545	0.098959	supercritical
1500.0	9.0000	708.85	0.0014107	36.758	49.455	220.63	28.268	36.659	723.81	-0.50995	64.558	0.098976	supercritical
1500.0	9.2000	724.32	0.0013806	36.757	49.459	220.45	28.268	36.661	724.12	-0.51011	64.571	0.098994	supercritical
1500.0	9.4000	739.77	0.0013518	36.756	49.462	220.27	28.269	36.663	724.42	-0.51027	64.584	0.099011	supercritical
1500.0	9.6000	755.21	0.0013241	36.755	49.466	220.09	28.269	36.665	724.73	-0.51042	64.597	0.099029	supercritical
1500.0	9.8000	770.64	0.0012976	36.753	49.470	219.92	28.269	36.667	725.03	-0.51058	64.610	0.099046	supercritical
1500.0	10.000	786.06	0.0012722	36.752	49.474	219.75	28.270	36.669	725.34	-0.51074	64.623	0.099064	supercritical
