Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
800.00	0.0000	0.0000	infinite	17.865	24.517	-1.0000e+07	25.424	33.738	525.21	undefined	42.319	0.060002	vapor
800.00	0.20000	30.052	0.033276	17.862	24.517	230.16	25.425	33.748	525.56	-0.066433	42.342	0.060035	vapor
800.00	0.40000	60.071	0.016647	17.859	24.518	224.39	25.427	33.757	525.90	-0.067462	42.364	0.060069	vapor
800.00	0.60000	90.057	0.011104	17.856	24.518	221.02	25.429	33.767	526.25	-0.068491	42.387	0.060103	vapor
800.00	0.80000	120.01	0.0083326	17.852	24.519	218.62	25.430	33.777	526.60	-0.069520	42.410	0.060137	vapor
800.00	1.0000	149.93	0.0066697	17.849	24.519	216.76	25.432	33.786	526.94	-0.070550	42.432	0.060170	vapor
800.00	1.2000	179.82	0.0055612	17.846	24.520	215.24	25.434	33.796	527.29	-0.071581	42.455	0.060204	vapor
800.00	1.4000	209.67	0.0047693	17.843	24.520	213.96	25.435	33.805	527.64	-0.072611	42.477	0.060237	vapor
800.00	1.6000	239.49	0.0041755	17.840	24.520	212.84	25.437	33.815	527.99	-0.073642	42.500	0.060271	vapor
800.00	1.8000	269.28	0.0037136	17.837	24.521	211.86	25.439	33.825	528.34	-0.074673	42.522	0.060304	vapor
800.00	2.0000	299.04	0.0033441	17.833	24.522	210.98	25.440	33.834	528.69	-0.075705	42.544	0.060338	vapor
800.00	2.2000	328.76	0.0030417	17.830	24.522	210.18	25.442	33.844	529.04	-0.076736	42.567	0.060371	vapor
800.00	2.4000	358.45	0.0027898	17.827	24.523	209.46	25.444	33.853	529.39	-0.077768	42.589	0.060405	vapor
800.00	2.6000	388.11	0.0025766	17.824	24.523	208.79	25.445	33.862	529.74	-0.078800	42.612	0.060438	vapor
800.00	2.8000	417.73	0.0023939	17.821	24.524	208.17	25.447	33.872	530.09	-0.079832	42.634	0.060471	vapor
800.00	3.0000	447.32	0.0022355	17.818	24.524	207.59	25.449	33.881	530.45	-0.080864	42.656	0.060504	vapor
800.00	3.2000	476.88	0.0020970	17.814	24.525	207.05	25.450	33.891	530.80	-0.081896	42.679	0.060538	vapor
800.00	3.4000	506.40	0.0019747	17.811	24.525	206.54	25.452	33.900	531.15	-0.082928	42.701	0.060571	vapor
800.00	3.6000	535.89	0.0018660	17.808	24.526	206.06	25.453	33.909	531.51	-0.083960	42.723	0.060604	vapor
800.00	3.8000	565.35	0.0017688	17.805	24.526	205.61	25.455	33.919	531.86	-0.084992	42.745	0.060637	vapor
800.00	4.0000	594.78	0.0016813	17.802	24.527	205.18	25.457	33.928	532.22	-0.086025	42.768	0.060671	vapor
800.00	4.2000	624.17	0.0016021	17.799	24.528	204.77	25.458	33.937	532.57	-0.087057	42.790	0.060704	vapor
800.00	4.4000	653.53	0.0015302	17.795	24.528	204.38	25.460	33.946	532.93	-0.088089	42.812	0.060737	vapor
800.00	4.6000	682.85	0.0014644	17.792	24.529	204.00	25.461	33.956	533.28	-0.089121	42.834	0.060770	vapor
800.00	4.8000	712.15	0.0014042	17.789	24.529	203.65	25.463	33.965	533.64	-0.090152	42.856	0.060803	vapor
800.00	5.0000	741.41	0.0013488	17.786	24.530	203.30	25.464	33.974	534.00	-0.091184	42.879	0.060836	vapor
800.00	5.2000	770.64	0.0012976	17.783	24.531	202.97	25.466	33.983	534.35	-0.092216	42.901	0.060869	vapor
800.00	5.2000	770.64	0.0012976	17.783	24.531	202.97	25.466	33.983	534.35	-0.092216	42.901	0.060869	supercritical
800.00	5.2000	770.64	0.0012976	17.783	24.531	202.97	25.466	33.983	534.35	-0.092216	42.901	0.060869	supercritical
800.00	5.4000	799.83	0.0012503	17.780	24.531	202.66	25.467	33.992	534.71	-0.093247	42.923	0.060902	supercritical
800.00	5.6000	828.99	0.0012063	17.777	24.532	202.35	25.469	34.001	535.07	-0.094278	42.945	0.060935	supercritical
800.00	5.8000	858.12	0.0011653	17.774	24.533	202.05	25.471	34.010	535.43	-0.095309	42.967	0.060968	supercritical
800.00	6.0000	887.21	0.0011271	17.770	24.533	201.77	25.472	34.020	535.79	-0.096339	42.989	0.061001	supercritical
800.00	6.2000	916.28	0.0010914	17.767	24.534	201.49	25.474	34.029	536.15	-0.097370	43.011	0.061034	supercritical
800.00	6.4000	945.31	0.0010579	17.764	24.535	201.22	25.475	34.038	536.51	-0.098400	43.033	0.061067	supercritical
800.00	6.6000	974.30	0.0010264	17.761	24.535	200.97	25.477	34.047	536.87	-0.099429	43.055	0.061099	supercritical
800.00	6.8000	1003.3	0.00099675	17.758	24.536	200.71	25.478	34.056	537.23	-0.10046	43.077	0.061132	supercritical
800.00	7.0000	1032.2	0.00096881	17.755	24.537	200.47	25.480	34.064	537.59	-0.10149	43.099	0.061165	supercritical
800.00	7.2000	1061.1	0.00094242	17.752	24.537	200.23	25.481	34.073	537.95	-0.10252	43.121	0.061198	supercritical
800.00	7.4000	1090.0	0.00091747	17.749	24.538	200.00	25.483	34.082	538.31	-0.10354	43.143	0.061231	supercritical
800.00	7.6000	1118.8	0.00089382	17.746	24.539	199.77	25.484	34.091	538.68	-0.10457	43.165	0.061263	supercritical
800.00	7.8000	1147.6	0.00087139	17.742	24.539	199.55	25.486	34.100	539.04	-0.10560	43.187	0.061296	supercritical
800.00	8.0000	1176.4	0.00085009	17.739	24.540	199.34	25.487	34.109	539.40	-0.10663	43.209	0.061329	supercritical
800.00	8.2000	1205.1	0.00082982	17.736	24.541	199.13	25.489	34.118	539.77	-0.10765	43.231	0.061361	supercritical
800.00	8.4000	1233.8	0.00081052	17.733	24.542	198.93	25.490	34.127	540.13	-0.10868	43.253	0.061394	supercritical
800.00	8.6000	1262.4	0.00079211	17.730	24.542	198.73	25.491	34.135	540.50	-0.10970	43.275	0.061427	supercritical
