Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
500.00	0.0000	0.0000	infinite	10.607	14.764	-1.0000e+07	22.779	31.093	421.11	undefined	30.470	0.041019	vapor
500.00	0.20000	48.092	0.020793	10.601	14.760	214.92	22.783	31.123	421.42	0.75203	30.502	0.041073	vapor
500.00	0.40000	96.149	0.010401	10.595	14.755	209.15	22.788	31.152	421.73	0.74835	30.534	0.041127	vapor
500.00	0.60000	144.17	0.0069362	10.589	14.750	205.76	22.793	31.182	422.05	0.74466	30.566	0.041181	vapor
500.00	0.80000	192.16	0.0052041	10.583	14.746	203.36	22.798	31.211	422.36	0.74096	30.598	0.041235	vapor
500.00	1.0000	240.10	0.0041649	10.576	14.741	201.49	22.802	31.240	422.68	0.73726	30.630	0.041288	vapor
500.00	1.2000	288.02	0.0034720	10.570	14.737	199.96	22.807	31.270	423.00	0.73355	30.662	0.041342	vapor
500.00	1.4000	335.89	0.0029772	10.564	14.732	198.67	22.812	31.299	423.32	0.72985	30.693	0.041396	vapor
500.00	1.6000	383.73	0.0026060	10.558	14.727	197.55	22.817	31.328	423.64	0.72613	30.725	0.041450	vapor
500.00	1.8000	431.53	0.0023174	10.552	14.723	196.56	22.821	31.357	423.96	0.72242	30.757	0.041504	vapor
500.00	2.0000	479.29	0.0020864	10.546	14.718	195.67	22.826	31.387	424.29	0.71870	30.789	0.041557	vapor
500.00	2.2000	527.01	0.0018975	10.539	14.714	194.86	22.831	31.416	424.61	0.71498	30.821	0.041611	vapor
500.00	2.4000	574.69	0.0017401	10.533	14.709	194.13	22.835	31.445	424.94	0.71125	30.853	0.041665	vapor
500.00	2.6000	622.34	0.0016069	10.527	14.705	193.45	22.840	31.473	425.27	0.70752	30.884	0.041719	vapor
500.00	2.8000	669.94	0.0014927	10.521	14.701	192.82	22.844	31.502	425.60	0.70379	30.916	0.041772	vapor
500.00	3.0000	717.50	0.0013937	10.515	14.696	192.24	22.849	31.531	425.93	0.70005	30.948	0.041826	vapor
500.00	3.2000	765.02	0.0013071	10.509	14.692	191.69	22.854	31.560	426.27	0.69632	30.980	0.041880	vapor
500.00	3.4000	812.50	0.0012308	10.503	14.687	191.17	22.858	31.588	426.61	0.69258	31.012	0.041933	vapor
500.00	3.6000	859.94	0.0011629	10.497	14.683	190.68	22.863	31.617	426.94	0.68884	31.044	0.041987	vapor
500.00	3.8000	907.34	0.0011021	10.491	14.679	190.22	22.867	31.646	427.28	0.68510	31.075	0.042040	vapor
500.00	4.0000	954.70	0.0010475	10.484	14.674	189.78	22.872	31.674	427.63	0.68135	31.107	0.042094	vapor
500.00	4.2000	1002.0	0.00099799	10.478	14.670	189.37	22.876	31.702	427.97	0.67760	31.139	0.042148	vapor
500.00	4.4000	1049.3	0.00095303	10.472	14.666	188.97	22.881	31.731	428.31	0.67386	31.171	0.042201	vapor
500.00	4.6000	1096.5	0.00091199	10.466	14.661	188.59	22.885	31.759	428.66	0.67011	31.203	0.042255	vapor
500.00	4.8000	1143.7	0.00087436	10.460	14.657	188.22	22.889	31.787	429.01	0.66636	31.235	0.042309	vapor
500.00	5.0000	1190.8	0.00083975	10.454	14.653	187.87	22.894	31.815	429.36	0.66261	31.267	0.042362	vapor
500.00	5.2000	1237.9	0.00080781	10.448	14.649	187.53	22.898	31.843	429.71	0.65885	31.299	0.042416	vapor
500.00	5.2000	1237.9	0.00080781	10.448	14.649	187.53	22.898	31.843	429.71	0.65885	31.299	0.042416	supercritical
500.00	5.2000	1237.9	0.00080781	10.448	14.649	187.53	22.898	31.843	429.71	0.65885	31.299	0.042416	supercritical
