Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
175.00	0.0000	0.0000	infinite	3.6294	5.0844	-1.0000e+07	20.801	29.115	252.28	undefined	13.058	0.015962	vapor
175.00	0.020000	13.758	0.072684	3.6267	5.0804	202.97	20.810	29.155	252.17	6.9436	13.063	0.015978	vapor
175.00	0.040000	27.541	0.036309	3.6239	5.0763	197.19	20.819	29.196	252.06	6.9441	13.068	0.015993	vapor
175.00	0.060000	41.350	0.024184	3.6212	5.0723	193.80	20.827	29.236	251.95	6.9445	13.073	0.016009	vapor
175.00	0.080000	55.183	0.018121	3.6185	5.0682	191.39	20.836	29.276	251.84	6.9449	13.077	0.016024	vapor
175.00	0.10000	69.042	0.014484	3.6157	5.0641	189.52	20.845	29.317	251.73	6.9453	13.082	0.016040	vapor
175.00	0.12000	82.927	0.012059	3.6130	5.0600	187.99	20.854	29.358	251.62	6.9456	13.087	0.016056	vapor
175.00	0.14000	96.837	0.010327	3.6102	5.0560	186.69	20.863	29.399	251.51	6.9460	13.092	0.016071	vapor
175.00	0.16000	110.77	0.0090275	3.6075	5.0519	185.57	20.872	29.440	251.40	6.9464	13.097	0.016087	vapor
175.00	0.18000	124.73	0.0080170	3.6047	5.0478	184.57	20.881	29.482	251.29	6.9467	13.102	0.016103	vapor
175.00	0.20000	138.72	0.0072086	3.6020	5.0437	183.68	20.890	29.523	251.18	6.9471	13.106	0.016119	vapor
175.00	0.22000	152.74	0.0065472	3.5992	5.0396	182.87	20.898	29.565	251.07	6.9474	13.111	0.016135	vapor
175.00	0.24000	166.78	0.0059961	3.5964	5.0355	182.13	20.907	29.607	250.96	6.9477	13.116	0.016151	vapor
175.00	0.26000	180.84	0.0055297	3.5936	5.0314	181.45	20.916	29.650	250.85	6.9480	13.121	0.016166	vapor
175.00	0.28000	194.94	0.0051299	3.5909	5.0272	180.82	20.925	29.692	250.74	6.9483	13.126	0.016182	vapor
175.00	0.30000	209.05	0.0047834	3.5881	5.0231	180.23	20.935	29.735	250.63	6.9486	13.131	0.016198	vapor
175.00	0.32000	223.20	0.0044803	3.5853	5.0190	179.68	20.944	29.778	250.52	6.9489	13.136	0.016215	vapor
175.00	0.34000	237.37	0.0042128	3.5825	5.0148	179.16	20.953	29.821	250.41	6.9492	13.141	0.016231	vapor
175.00	0.36000	251.57	0.0039750	3.5797	5.0107	178.67	20.962	29.864	250.30	6.9494	13.145	0.016247	vapor
175.00	0.38000	265.80	0.0037622	3.5769	5.0065	178.20	20.971	29.908	250.19	6.9497	13.150	0.016263	vapor
175.00	0.40000	280.05	0.0035707	3.5741	5.0024	177.76	20.980	29.951	250.08	6.9499	13.155	0.016279	vapor
175.00	0.42000	294.33	0.0033975	3.5712	4.9982	177.34	20.989	29.995	249.97	6.9501	13.160	0.016296	vapor
175.00	0.44000	308.64	0.0032400	3.5684	4.9940	176.93	20.998	30.040	249.86	6.9503	13.165	0.016312	vapor
175.00	0.46000	322.98	0.0030962	3.5656	4.9898	176.55	21.008	30.084	249.75	6.9506	13.170	0.016328	vapor
175.00	0.48000	337.34	0.0029643	3.5628	4.9857	176.18	21.017	30.129	249.64	6.9507	13.175	0.016345	vapor
175.00	0.50000	351.73	0.0028431	3.5599	4.9815	175.82	21.026	30.173	249.53	6.9509	13.180	0.016361	vapor
175.00	0.52000	366.15	0.0027311	3.5571	4.9773	175.48	21.035	30.218	249.42	6.9511	13.185	0.016378	vapor
175.00	0.54000	380.60	0.0026274	3.5543	4.9731	175.15	21.045	30.264	249.31	6.9513	13.190	0.016394	vapor
175.00	0.56000	395.08	0.0025312	3.5514	4.9689	174.83	21.054	30.309	249.20	6.9514	13.195	0.016411	vapor
175.00	0.58000	409.58	0.0024415	3.5486	4.9646	174.52	21.063	30.355	249.08	6.9516	13.200	0.016428	vapor
