Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
105.00	0.0000	0.0000	infinite	2.1735	3.0465	-1.0000e+07	20.799	29.114	195.42	undefined	8.0822	0.0094298	vapor
105.00	0.020000	23.002	0.043475	2.1673	3.0368	188.05	20.816	29.250	195.01	16.718	8.0846	0.0094558	vapor
105.00	0.040000	46.192	0.021649	2.1610	3.0270	182.23	20.836	29.394	194.59	16.805	8.0870	0.0094821	vapor
105.00	0.060000	69.574	0.014373	2.1546	3.0170	178.80	20.858	29.543	194.17	16.886	8.0895	0.0095089	vapor
105.00	0.080000	93.154	0.010735	2.1482	3.0070	176.34	20.883	29.699	193.75	16.961	8.0919	0.0095361	vapor
105.00	0.10000	116.94	0.0085517	2.1417	2.9969	174.43	20.910	29.861	193.31	17.033	8.0944	0.0095638	vapor
105.00	0.12000	140.93	0.0070959	2.1351	2.9867	172.85	20.938	30.029	192.88	17.102	8.0970	0.0095920	vapor
105.00	0.14000	165.13	0.0060559	2.1285	2.9763	171.50	20.969	30.203	192.43	17.170	8.0995	0.0096206	vapor
105.00	0.16000	189.55	0.0052757	2.1218	2.9659	170.33	21.002	30.385	191.99	17.240	8.1021	0.0096498	vapor
105.00	0.18000	214.20	0.0046686	2.1150	2.9554	169.28	21.038	30.574	191.53	17.312	8.1047	0.0096796	vapor
105.00	0.20000	239.07	0.0041828	2.1082	2.9447	168.34	21.079	30.774	191.07	17.388	8.1073	0.0097098	vapor
105.00	0.22000	264.19	0.0037852	2.1012	2.9340	167.48	21.124	30.985	190.60	17.470	8.1100	0.0097407	vapor
105.00	0.24000	289.55	0.0034536	2.0942	2.9231	166.69	21.176	31.209	190.12	17.558	8.1127	0.0097722	vapor
105.00	0.26000	315.16	0.0031730	2.0871	2.9121	165.95	21.235	31.451	189.63	17.654	8.1154	0.0098043	vapor
105.00	0.28000	341.04	0.0029322	2.0798	2.9009	165.26	21.305	31.712	189.13	17.760	8.1182	0.0098371	vapor
105.00	0.30000	367.18	0.0027234	2.0725	2.8895	164.62	21.388	31.998	188.62	17.875	8.1210	0.0098706	vapor
