Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
225.00	0.0000	0.0000	infinite	4.6701	6.5409	-1.0000e+07	20.838	29.153	285.99	undefined	16.263	0.020318	vapor
225.00	0.20000	107.34	0.0093160	4.6514	6.5146	191.08	20.874	29.357	285.59	4.4891	16.310	0.020439	vapor
225.00	0.40000	215.56	0.0046392	4.6325	6.4882	185.23	20.910	29.565	285.19	4.4777	16.358	0.020561	vapor
225.00	0.60000	324.65	0.0030802	4.6135	6.4616	181.77	20.947	29.777	284.80	4.4658	16.406	0.020684	vapor
225.00	0.80000	434.64	0.0023008	4.5943	6.4350	179.30	20.983	29.994	284.42	4.4535	16.455	0.020809	vapor
225.00	1.0000	545.53	0.0018331	4.5751	6.4082	177.36	21.020	30.214	284.05	4.4406	16.504	0.020935	vapor
225.00	1.2000	657.34	0.0015213	4.5557	6.3813	175.75	21.057	30.439	283.69	4.4273	16.554	0.021063	vapor
225.00	1.4000	770.07	0.0012986	4.5363	6.3543	174.38	21.094	30.668	283.33	4.4134	16.604	0.021192	vapor
225.00	1.6000	883.74	0.0011316	4.5167	6.3272	173.19	21.131	30.902	282.99	4.3990	16.656	0.021323	vapor
225.00	1.8000	998.35	0.0010016	4.4969	6.2999	172.12	21.168	31.140	282.65	4.3841	16.708	0.021456	vapor
225.00	2.0000	1113.9	0.00089773	4.4771	6.2725	171.16	21.206	31.383	282.32	4.3687	16.760	0.021591	vapor
225.00	2.2000	1230.5	0.00081270	4.4571	6.2451	170.28	21.243	31.630	282.00	4.3527	16.814	0.021727	vapor
225.00	2.4000	1348.0	0.00074185	4.4370	6.2175	169.46	21.281	31.883	281.69	4.3361	16.868	0.021866	vapor
225.00	2.6000	1466.5	0.00068191	4.4168	6.1898	168.71	21.319	32.139	281.40	4.3190	16.924	0.022006	vapor
225.00	2.8000	1586.0	0.00063053	4.3965	6.1619	168.00	21.357	32.401	281.11	4.3014	16.980	0.022148	vapor
225.00	3.0000	1706.5	0.00058600	4.3760	6.1340	167.34	21.395	32.668	280.84	4.2832	17.037	0.022293	vapor
225.00	3.2000	1828.0	0.00054705	4.3554	6.1060	166.71	21.433	32.939	280.58	4.2643	17.096	0.022440	vapor
225.00	3.4000	1950.5	0.00051269	4.3347	6.0778	166.11	21.471	33.216	280.33	4.2449	17.156	0.022589	vapor
225.00	3.6000	2074.1	0.00048215	4.3139	6.0496	165.55	21.510	33.497	280.09	4.2250	17.217	0.022740	vapor
225.00	3.8000	2198.7	0.00045482	4.2929	6.0212	165.00	21.548	33.784	279.87	4.2044	17.279	0.022894	vapor
225.00	4.0000	2324.3	0.00043024	4.2718	5.9928	164.48	21.587	34.076	279.66	4.1832	17.343	0.023051	vapor
225.00	4.2000	2451.0	0.00040800	4.2506	5.9642	163.98	21.625	34.372	279.47	4.1614	17.409	0.023210	vapor
225.00	4.4000	2578.7	0.00038780	4.2293	5.9356	163.50	21.664	34.674	279.29	4.1390	17.475	0.023371	vapor
225.00	4.6000	2707.5	0.00036935	4.2078	5.9068	163.04	21.703	34.981	279.13	4.1160	17.544	0.023536	vapor
225.00	4.8000	2837.3	0.00035245	4.1862	5.8780	162.59	21.741	35.294	278.98	4.0924	17.614	0.023703	vapor
225.00	5.0000	2968.2	0.00033691	4.1645	5.8490	162.16	21.780	35.611	278.85	4.0682	17.686	0.023873	vapor
225.00	5.2000	3100.1	0.00032257	4.1427	5.8200	161.73	21.819	35.933	278.74	4.0433	17.760	0.024047	vapor
225.00	5.2000	3100.1	0.00032257	4.1427	5.8200	161.73	21.819	35.933	278.74	4.0433	17.760	0.024047	supercritical
225.00	5.2000	3100.1	0.00032257	4.1427	5.8200	161.73	21.819	35.933	278.74	4.0433	17.760	0.024047	supercritical
225.00	5.4000	3233.2	0.00030930	4.1207	5.7909	161.32	21.858	36.261	278.64	4.0178	17.836	0.024223	supercritical
225.00	5.6000	3367.2	0.00029698	4.0986	5.7617	160.92	21.896	36.594	278.57	3.9917	17.914	0.024403	supercritical
225.00	5.8000	3502.4	0.00028552	4.0765	5.7325	160.54	21.935	36.931	278.51	3.9650	17.994	0.024585	supercritical
225.00	6.0000	3638.6	0.00027483	4.0542	5.7032	160.16	21.974	37.274	278.47	3.9377	18.076	0.024771	supercritical
225.00	6.2000	3775.8	0.00026484	4.0317	5.6738	159.79	22.012	37.621	278.46	3.9097	18.160	0.024961	supercritical
225.00	6.4000	3914.1	0.00025549	4.0092	5.6443	159.42	22.051	37.973	278.46	3.8812	18.247	0.025154	supercritical
225.00	6.6000	4053.4	0.00024671	3.9866	5.6148	159.07	22.089	38.330	278.48	3.8520	18.337	0.025350	supercritical
225.00	6.8000	4193.8	0.00023845	3.9638	5.5853	158.72	22.127	38.691	278.53	3.8223	18.428	0.025551	supercritical
225.00	7.0000	4335.2	0.00023067	3.9410	5.5557	158.38	22.165	39.056	278.60	3.7919	18.523	0.025754	supercritical
225.00	7.2000	4477.6	0.00022334	3.9180	5.5260	158.05	22.203	39.426	278.69	3.7610	18.620	0.025962	supercritical
225.00	7.4000	4621.0	0.00021641	3.8950	5.4964	157.72	22.241	39.800	278.81	3.7294	18.720	0.026173	supercritical
225.00	7.6000	4765.3	0.00020985	3.8718	5.4667	157.40	22.278	40.177	278.95	3.6973	18.822	0.026389	supercritical
225.00	7.8000	4910.7	0.00020364	3.8486	5.4369	157.08	22.316	40.558	279.11	3.6647	18.928	0.026608	supercritical
225.00	8.0000	5056.9	0.00019775	3.8252	5.4072	156.77	22.353	40.942	279.30	3.6315	19.036	0.026831	supercritical
225.00	8.2000	5204.2	0.00019215	3.8018	5.3775	156.47	22.390	41.330	279.52	3.5977	19.148	0.027058	supercritical
225.00	8.4000	5352.3	0.00018684	3.7783	5.3477	156.17	22.426	41.720	279.76	3.5634	19.263	0.027289	supercritical
225.00	8.6000	5501.3	0.00018178	3.7547	5.3180	155.87	22.462	42.112	280.04	3.5286	19.381	0.027524	supercritical
225.00	8.8000	5651.1	0.00017696	3.7311	5.2883	155.58	22.498	42.507	280.33	3.4934	19.502	0.027763	supercritical
225.00	9.0000	5801.8	0.00017236	3.7074	5.2586	155.29	22.534	42.903	280.66	3.4576	19.627	0.028007	supercritical
225.00	9.2000	5953.3	0.00016798	3.6836	5.2290	155.01	22.569	43.301	281.02	3.4214	19.754	0.028254	supercritical
225.00	9.4000	6105.5	0.00016379	3.6598	5.1994	154.73	22.603	43.700	281.40	3.3847	19.886	0.028506	supercritical
225.00	9.6000	6258.4	0.00015978	3.6359	5.1698	154.46	22.638	44.099	281.82	3.3476	20.020	0.028761	supercritical
225.00	9.8000	6412.1	0.00015596	3.6120	5.1403	154.19	22.671	44.499	282.27	3.3101	20.159	0.029021	supercritical
225.00	10.000	6566.4	0.00015229	3.5880	5.1109	153.92	22.705	44.898	282.74	3.2722	20.300	0.029285	supercritical
