Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
1100.0	0.0000	0.0000	infinite	25.750	34.895	-1.0000e+07	26.995	35.309	611.43	undefined	52.279	0.077070	vapor
1100.0	0.20000	21.857	0.045751	25.748	34.898	241.17	26.996	35.314	611.76	-0.34534	52.297	0.077095	vapor
1100.0	0.40000	43.693	0.022887	25.746	34.900	235.40	26.997	35.318	612.09	-0.34573	52.314	0.077119	vapor
1100.0	0.60000	65.508	0.015265	25.743	34.903	232.03	26.998	35.323	612.41	-0.34613	52.331	0.077144	vapor
1100.0	0.80000	87.301	0.011455	25.741	34.905	229.64	26.998	35.327	612.74	-0.34652	52.349	0.077168	vapor
1100.0	1.0000	109.07	0.0091681	25.739	34.908	227.78	26.999	35.332	613.07	-0.34691	52.366	0.077193	vapor
1100.0	1.2000	130.82	0.0076438	25.737	34.910	226.26	27.000	35.336	613.40	-0.34731	52.384	0.077217	vapor
1100.0	1.4000	152.55	0.0065551	25.735	34.912	224.98	27.001	35.341	613.73	-0.34770	52.401	0.077242	vapor
1100.0	1.6000	174.26	0.0057385	25.733	34.915	223.86	27.002	35.345	614.06	-0.34810	52.418	0.077266	vapor
1100.0	1.8000	195.95	0.0051034	25.731	34.917	222.88	27.002	35.350	614.39	-0.34849	52.436	0.077290	vapor
1100.0	2.0000	217.62	0.0045953	25.729	34.920	222.01	27.003	35.354	614.72	-0.34889	52.453	0.077315	vapor
1100.0	2.2000	239.26	0.0041795	25.727	34.922	221.21	27.004	35.359	615.05	-0.34928	52.470	0.077339	vapor
1100.0	2.4000	260.88	0.0038331	25.725	34.925	220.49	27.005	35.363	615.38	-0.34968	52.488	0.077363	vapor
1100.0	2.6000	282.49	0.0035400	25.723	34.927	219.82	27.006	35.367	615.71	-0.35008	52.505	0.077388	vapor
1100.0	2.8000	304.07	0.0032887	25.721	34.930	219.20	27.006	35.372	616.04	-0.35047	52.522	0.077412	vapor
1100.0	3.0000	325.63	0.0030710	25.719	34.932	218.63	27.007	35.376	616.38	-0.35087	52.539	0.077436	vapor
1100.0	3.2000	347.17	0.0028805	25.717	34.935	218.09	27.008	35.381	616.71	-0.35126	52.557	0.077460	vapor
1100.0	3.4000	368.68	0.0027123	25.715	34.937	217.58	27.009	35.385	617.04	-0.35166	52.574	0.077485	vapor
1100.0	3.6000	390.18	0.0025629	25.713	34.940	217.10	27.009	35.389	617.37	-0.35206	52.591	0.077509	vapor
1100.0	3.8000	411.66	0.0024292	25.711	34.942	216.65	27.010	35.394	617.70	-0.35245	52.608	0.077533	vapor
1100.0	4.0000	433.11	0.0023089	25.709	34.945	216.22	27.011	35.398	618.03	-0.35285	52.625	0.077557	vapor
1100.0	4.2000	454.55	0.0022000	25.707	34.947	215.82	27.012	35.402	618.37	-0.35325	52.643	0.077581	vapor
1100.0	4.4000	475.96	0.0021010	25.705	34.950	215.43	27.012	35.407	618.70	-0.35365	52.660	0.077605	vapor
1100.0	4.6000	497.35	0.0020107	25.703	34.952	215.06	27.013	35.411	619.03	-0.35404	52.677	0.077629	vapor
1100.0	4.8000	518.72	0.0019278	25.701	34.955	214.70	27.014	35.415	619.37	-0.35444	52.694	0.077654	vapor
1100.0	5.0000	540.07	0.0018516	25.699	34.957	214.36	27.015	35.420	619.70	-0.35484	52.711	0.077678	vapor
1100.0	5.2000	561.40	0.0017813	25.697	34.960	214.03	27.015	35.424	620.03	-0.35524	52.728	0.077702	vapor
1100.0	5.2000	561.40	0.0017813	25.697	34.960	214.03	27.015	35.424	620.03	-0.35524	52.728	0.077702	supercritical
1100.0	5.2000	561.40	0.0017813	25.697	34.960	214.03	27.015	35.424	620.03	-0.35524	52.728	0.077702	supercritical
1100.0	5.4000	582.71	0.0017161	25.695	34.962	213.72	27.016	35.428	620.37	-0.35563	52.745	0.077726	supercritical
1100.0	5.6000	603.99	0.0016556	25.693	34.965	213.41	27.017	35.433	620.70	-0.35603	52.762	0.077750	supercritical
1100.0	5.8000	625.26	0.0015993	25.691	34.967	213.12	27.018	35.437	621.03	-0.35643	52.779	0.077774	supercritical
1100.0	6.0000	646.51	0.0015468	25.689	34.970	212.84	27.018	35.441	621.37	-0.35683	52.796	0.077797	supercritical
1100.0	6.2000	667.73	0.0014976	25.687	34.972	212.56	27.019	35.446	621.70	-0.35723	52.813	0.077821	supercritical
1100.0	6.4000	688.93	0.0014515	25.685	34.975	212.30	27.020	35.450	622.04	-0.35762	52.830	0.077845	supercritical
1100.0	6.6000	710.12	0.0014082	25.683	34.977	212.04	27.021	35.454	622.37	-0.35802	52.847	0.077869	supercritical
1100.0	6.8000	731.28	0.0013675	25.681	34.980	211.79	27.021	35.458	622.71	-0.35842	52.864	0.077893	supercritical
1100.0	7.0000	752.42	0.0013290	25.679	34.983	211.54	27.022	35.463	623.04	-0.35882	52.881	0.077917	supercritical
1100.0	7.2000	773.54	0.0012928	25.677	34.985	211.31	27.023	35.467	623.38	-0.35922	52.898	0.077941	supercritical
1100.0	7.4000	794.64	0.0012584	25.675	34.988	211.08	27.023	35.471	623.72	-0.35962	52.915	0.077965	supercritical
1100.0	7.6000	815.72	0.0012259	25.673	34.990	210.86	27.024	35.475	624.05	-0.36002	52.932	0.077989	supercritical
1100.0	7.8000	836.78	0.0011951	25.671	34.993	210.64	27.025	35.479	624.39	-0.36041	52.949	0.078012	supercritical
1100.0	8.0000	857.81	0.0011658	25.669	34.995	210.43	27.026	35.484	624.72	-0.36081	52.966	0.078036	supercritical
1100.0	8.2000	878.83	0.0011379	25.667	34.998	210.22	27.026	35.488	625.06	-0.36121	52.983	0.078060	supercritical
1100.0	8.4000	899.82	0.0011113	25.665	35.000	210.02	27.027	35.492	625.40	-0.36161	53.000	0.078084	supercritical
1100.0	8.6000	920.80	0.0010860	25.663	35.003	209.82	27.028	35.496	625.73	-0.36201	53.017	0.078107	supercritical
1100.0	8.8000	941.75	0.0010618	25.661	35.006	209.63	27.028	35.500	626.07	-0.36241	53.034	0.078131	supercritical
1100.0	9.0000	962.69	0.0010388	25.659	35.008	209.44	27.029	35.505	626.41	-0.36280	53.050	0.078155	supercritical
1100.0	9.2000	983.60	0.0010167	25.657	35.011	209.25	27.030	35.509	626.75	-0.36320	53.067	0.078179	supercritical
1100.0	9.4000	1004.5	0.00099553	25.655	35.013	209.07	27.030	35.513	627.08	-0.36360	53.084	0.078202	supercritical
