Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
275.00	0.0000	0.0000	infinite	5.7147	8.0011	-1.0000e+07	20.963	29.277	315.90	undefined	19.227	0.024449	vapor
275.00	0.20000	87.635	0.011411	5.7006	7.9828	196.97	20.982	29.400	315.83	3.1269	19.271	0.024547	vapor
275.00	0.40000	175.59	0.0056950	5.6864	7.9644	191.15	21.002	29.524	315.76	3.1158	19.316	0.024646	vapor
275.00	0.60000	263.88	0.0037896	5.6722	7.9460	187.73	21.022	29.649	315.70	3.1044	19.361	0.024746	vapor
275.00	0.80000	352.48	0.0028370	5.6579	7.9276	185.29	21.041	29.775	315.65	3.0928	19.406	0.024846	vapor
275.00	1.0000	441.41	0.0022655	5.6437	7.9091	183.38	21.061	29.902	315.61	3.0810	19.451	0.024946	vapor
275.00	1.2000	530.66	0.0018844	5.6294	7.8907	181.81	21.080	30.030	315.57	3.0691	19.497	0.025047	vapor
275.00	1.4000	620.23	0.0016123	5.6151	7.8723	180.48	21.100	30.158	315.53	3.0570	19.542	0.025148	vapor
275.00	1.6000	710.12	0.0014082	5.6007	7.8538	179.32	21.119	30.288	315.51	3.0446	19.589	0.025250	vapor
275.00	1.8000	800.33	0.0012495	5.5863	7.8354	178.29	21.139	30.419	315.49	3.0321	19.635	0.025353	vapor
275.00	2.0000	890.85	0.0011225	5.5719	7.8169	177.36	21.158	30.551	315.48	3.0194	19.682	0.025456	vapor
275.00	2.2000	981.68	0.0010187	5.5574	7.7985	176.51	21.178	30.684	315.48	3.0066	19.729	0.025560	vapor
275.00	2.4000	1072.8	0.00093212	5.5430	7.7800	175.74	21.197	30.817	315.48	2.9935	19.776	0.025665	vapor
275.00	2.6000	1164.3	0.00085890	5.5285	7.7616	175.02	21.216	30.952	315.49	2.9803	19.824	0.025770	vapor
275.00	2.8000	1256.0	0.00079615	5.5139	7.7431	174.35	21.235	31.087	315.51	2.9668	19.872	0.025876	vapor
275.00	3.0000	1348.1	0.00074178	5.4994	7.7247	173.73	21.255	31.224	315.54	2.9532	19.921	0.025982	vapor
275.00	3.2000	1440.5	0.00069421	5.4848	7.7063	173.14	21.274	31.361	315.58	2.9395	19.970	0.026089	vapor
275.00	3.4000	1533.1	0.00065225	5.4702	7.6878	172.58	21.293	31.499	315.62	2.9255	20.019	0.026197	vapor
275.00	3.6000	1626.1	0.00061496	5.4555	7.6694	172.05	21.312	31.638	315.67	2.9114	20.069	0.026305	vapor
275.00	3.8000	1719.4	0.00058161	5.4409	7.6510	171.55	21.331	31.778	315.74	2.8970	20.120	0.026415	vapor
275.00	4.0000	1812.9	0.00055160	5.4262	7.6326	171.07	21.350	31.918	315.81	2.8826	20.171	0.026525	vapor
275.00	4.2000	1906.7	0.00052445	5.4115	7.6142	170.61	21.369	32.059	315.89	2.8679	20.222	0.026636	vapor
275.00	4.4000	2000.9	0.00049978	5.3967	7.5958	170.18	21.388	32.201	315.97	2.8531	20.274	0.026747	vapor
275.00	4.6000	2095.3	0.00047727	5.3820	7.5774	169.75	21.407	32.344	316.07	2.8381	20.327	0.026860	vapor
275.00	4.8000	2189.9	0.00045664	5.3672	7.5591	169.35	21.425	32.488	316.18	2.8230	20.380	0.026973	vapor
275.00	5.0000	2284.9	0.00043766	5.3524	7.5407	168.96	21.444	32.632	316.29	2.8076	20.434	0.027087	vapor
275.00	5.2000	2380.1	0.00042016	5.3376	7.5224	168.58	21.463	32.777	316.42	2.7922	20.489	0.027202	vapor
275.00	5.2000	2380.1	0.00042016	5.3376	7.5224	168.58	21.463	32.777	316.42	2.7922	20.489	0.027202	supercritical
275.00	5.2000	2380.1	0.00042016	5.3376	7.5224	168.58	21.463	32.777	316.42	2.7922	20.489	0.027202	supercritical
275.00	5.4000	2475.5	0.00040395	5.3228	7.5041	168.21	21.481	32.922	316.56	2.7765	20.544	0.027318	supercritical
275.00	5.6000	2571.2	0.00038892	5.3079	7.4859	167.86	21.500	33.068	316.70	2.7607	20.600	0.027435	supercritical
275.00	5.8000	2667.2	0.00037492	5.2931	7.4676	167.51	21.518	33.214	316.85	2.7448	20.656	0.027552	supercritical
275.00	6.0000	2763.4	0.00036187	5.2782	7.4494	167.18	21.536	33.361	317.02	2.7287	20.713	0.027671	supercritical
275.00	6.2000	2859.9	0.00034966	5.2633	7.4312	166.85	21.555	33.509	317.19	2.7125	20.771	0.027790	supercritical
275.00	6.4000	2956.6	0.00033823	5.2484	7.4130	166.54	21.573	33.657	317.38	2.6961	20.830	0.027911	supercritical
275.00	6.6000	3053.5	0.00032749	5.2335	7.3949	166.23	21.591	33.806	317.58	2.6796	20.889	0.028032	supercritical
275.00	6.8000	3150.7	0.00031739	5.2185	7.3768	165.93	21.609	33.954	317.78	2.6629	20.950	0.028155	supercritical
275.00	7.0000	3248.0	0.00030788	5.2036	7.3587	165.64	21.627	34.104	318.00	2.6462	21.011	0.028278	supercritical
275.00	7.2000	3345.6	0.00029890	5.1886	7.3407	165.35	21.644	34.253	318.22	2.6292	21.072	0.028402	supercritical
275.00	7.4000	3443.4	0.00029041	5.1737	7.3227	165.07	21.662	34.403	318.46	2.6122	21.135	0.028528	supercritical
