Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
200.00	0.0000	0.0000	infinite	4.1495	5.8124	-1.0000e+07	20.812	29.127	269.68	undefined	14.693	0.018170	vapor
200.00	0.20000	121.00	0.0082646	4.1272	5.7801	187.62	20.866	29.407	269.00	5.5101	14.742	0.018307	vapor
200.00	0.40000	243.47	0.0041073	4.1047	5.7476	181.74	20.921	29.695	268.33	5.5020	14.790	0.018445	vapor
200.00	0.60000	367.45	0.0027215	4.0819	5.7148	178.25	20.976	29.992	267.66	5.4932	14.840	0.018586	vapor
200.00	0.80000	492.97	0.0020285	4.0589	5.6817	175.75	21.032	30.299	266.99	5.4835	14.890	0.018729	vapor
200.00	1.0000	620.09	0.0016127	4.0356	5.6483	173.77	21.089	30.615	266.33	5.4731	14.941	0.018875	vapor
200.00	1.2000	748.82	0.0013354	4.0122	5.6147	172.14	21.146	30.941	265.68	5.4618	14.993	0.019024	vapor
200.00	1.4000	879.23	0.0011374	3.9884	5.5807	170.74	21.204	31.277	265.03	5.4497	15.047	0.019176	vapor
200.00	1.6000	1011.3	0.00098878	3.9644	5.5465	169.51	21.262	31.624	264.39	5.4367	15.101	0.019331	vapor
200.00	1.8000	1145.2	0.00087320	3.9402	5.5120	168.41	21.321	31.982	263.76	5.4228	15.156	0.019489	vapor
200.00	2.0000	1280.9	0.00078071	3.9157	5.4771	167.41	21.381	32.352	263.14	5.4079	15.213	0.019651	vapor
200.00	2.2000	1418.4	0.00070502	3.8909	5.4420	166.49	21.442	32.734	262.53	5.3920	15.272	0.019817	vapor
200.00	2.4000	1557.8	0.00064193	3.8659	5.4065	165.64	21.503	33.128	261.92	5.3751	15.331	0.019986	vapor
200.00	2.6000	1699.1	0.00058853	3.8406	5.3707	164.85	21.565	33.535	261.33	5.3571	15.393	0.020160	vapor
200.00	2.8000	1842.5	0.00054275	3.8149	5.3347	164.10	21.627	33.956	260.75	5.3380	15.456	0.020337	vapor
200.00	3.0000	1987.8	0.00050306	3.7890	5.2982	163.40	21.690	34.391	260.18	5.3178	15.522	0.020520	vapor
200.00	3.2000	2135.3	0.00046833	3.7629	5.2615	162.73	21.754	34.840	259.62	5.2965	15.589	0.020706	vapor
200.00	3.4000	2284.8	0.00043767	3.7364	5.2244	162.09	21.819	35.304	259.08	5.2739	15.659	0.020898	vapor
200.00	3.6000	2436.6	0.00041040	3.7096	5.1870	161.48	21.884	35.784	258.55	5.2501	15.731	0.021096	vapor
200.00	3.8000	2590.6	0.00038601	3.6825	5.1493	160.89	21.950	36.280	258.04	5.2250	15.806	0.021298	vapor
200.00	4.0000	2746.9	0.00036404	3.6550	5.1112	160.33	22.016	36.793	257.55	5.1986	15.883	0.021507	vapor
200.00	4.2000	2905.6	0.00034416	3.6273	5.0728	159.78	22.083	37.323	257.08	5.1708	15.964	0.021721	vapor
200.00	4.4000	3066.6	0.00032609	3.5992	5.0340	159.25	22.151	37.871	256.62	5.1416	16.048	0.021942	vapor
200.00	4.6000	3230.1	0.00030958	3.5708	4.9949	158.74	22.219	38.437	256.19	5.1110	16.135	0.022169	vapor
200.00	4.8000	3396.1	0.00029445	3.5420	4.9554	158.24	22.287	39.022	255.78	5.0790	16.226	0.022404	vapor
200.00	5.0000	3564.7	0.00028053	3.5130	4.9156	157.75	22.356	39.626	255.39	5.0454	16.321	0.022645	vapor
200.00	5.2000	3735.9	0.00026768	3.4835	4.8754	157.28	22.426	40.250	255.02	5.0103	16.420	0.022894	vapor
200.00	5.2000	3735.9	0.00026768	3.4835	4.8754	157.28	22.426	40.250	255.02	5.0103	16.420	0.022894	supercritical
200.00	5.2000	3735.9	0.00026768	3.4835	4.8754	157.28	22.426	40.250	255.02	5.0103	16.420	0.022894	supercritical
200.00	5.4000	3909.7	0.00025578	3.4537	4.8349	156.81	22.496	40.895	254.69	4.9736	16.523	0.023151	supercritical
200.00	5.6000	4086.2	0.00024473	3.4236	4.7941	156.36	22.566	41.560	254.38	4.9354	16.631	0.023416	supercritical
200.00	5.8000	4265.5	0.00023444	3.3931	4.7529	155.91	22.637	42.246	254.10	4.8955	16.744	0.023689	supercritical
200.00	6.0000	4447.5	0.00022484	3.3623	4.7114	155.48	22.708	42.953	253.86	4.8539	16.862	0.023972	supercritical
200.00	6.2000	4632.4	0.00021587	3.3311	4.6695	155.05	22.779	43.682	253.64	4.8106	16.985	0.024263	supercritical
200.00	6.4000	4820.2	0.00020746	3.2995	4.6273	154.63	22.850	44.433	253.47	4.7657	17.114	0.024564	supercritical
200.00	6.6000	5010.8	0.00019957	3.2676	4.5848	154.21	22.921	45.205	253.33	4.7190	17.249	0.024874	supercritical
200.00	6.8000	5204.3	0.00019215	3.2354	4.5420	153.80	22.992	45.998	253.23	4.6706	17.391	0.025194	supercritical
200.00	7.0000	5400.8	0.00018516	3.2028	4.4989	153.40	23.063	46.812	253.17	4.6205	17.539	0.025524	supercritical
200.00	7.2000	5600.2	0.00017856	3.1698	4.4555	153.00	23.133	47.647	253.15	4.5686	17.695	0.025865	supercritical
200.00	7.4000	5802.5	0.00017234	3.1365	4.4118	152.60	23.204	48.502	253.19	4.5150	17.857	0.026217	supercritical
200.00	7.6000	6007.8	0.00016645	3.1029	4.3679	152.21	23.273	49.375	253.27	4.4596	18.027	0.026579	supercritical
200.00	7.8000	6216.0	0.00016088	3.0689	4.3237	151.83	23.342	50.266	253.40	4.4026	18.205	0.026952	supercritical
200.00	8.0000	6427.0	0.00015559	3.0346	4.2794	151.45	23.411	51.173	253.59	4.3438	18.392	0.027336	supercritical
200.00	8.2000	6640.9	0.00015058	3.0000	4.2348	151.07	23.478	52.095	253.83	4.2834	18.586	0.027731	supercritical
200.00	8.4000	6857.5	0.00014583	2.9652	4.1901	150.70	23.544	53.030	254.14	4.2214	18.789	0.028138	supercritical
200.00	8.6000	7076.8	0.00014131	2.9300	4.1453	150.33	23.609	53.974	254.50	4.1579	19.001	0.028555	supercritical
200.00	8.8000	7298.7	0.00013701	2.8947	4.1004	149.97	23.673	54.927	254.93	4.0929	19.222	0.028983	supercritical
200.00	9.0000	7523.0	0.00013293	2.8590	4.0554	149.61	23.736	55.884	255.43	4.0265	19.453	0.029422	supercritical
200.00	9.2000	7749.7	0.00012904	2.8232	4.0104	149.25	23.796	56.842	255.99	3.9587	19.692	0.029871	supercritical
200.00	9.4000	7978.6	0.00012534	2.7872	3.9654	148.90	23.855	57.799	256.63	3.8897	19.941	0.030331	supercritical
200.00	9.6000	8209.5	0.00012181	2.7511	3.9205	148.55	23.912	58.751	257.34	3.8196	20.199	0.030800	supercritical
200.00	9.8000	8442.3	0.00011845	2.7148	3.8756	148.21	23.967	59.692	258.13	3.7485	20.467	0.031279	supercritical
200.00	10.000	8676.7	0.00011525	2.6785	3.8310	147.87	24.019	60.621	259.00	3.6765	20.744	0.031767	supercritical
