Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
1900.0	0.0000	0.0000	infinite	48.316	64.113	-1.0000e+07	29.226	37.540	796.32	undefined	74.611	0.11818	vapor
1900.0	0.20000	12.656	0.079012	48.315	64.118	261.07	29.226	37.541	796.59	-0.57473	74.622	0.11820	vapor
1900.0	0.40000	25.304	0.039519	48.314	64.122	255.31	29.226	37.543	796.87	-0.57482	74.633	0.11821	vapor
1900.0	0.60000	37.944	0.026355	48.313	64.126	251.94	29.227	37.544	797.14	-0.57490	74.644	0.11823	vapor
1900.0	0.80000	50.575	0.019773	48.312	64.131	249.55	29.227	37.545	797.41	-0.57499	74.655	0.11824	vapor
1900.0	1.0000	63.198	0.015823	48.311	64.135	247.69	29.227	37.546	797.69	-0.57508	74.665	0.11826	vapor
1900.0	1.2000	75.812	0.013191	48.311	64.139	246.18	29.227	37.547	797.96	-0.57516	74.676	0.11827	vapor
1900.0	1.4000	88.418	0.011310	48.310	64.143	244.89	29.228	37.549	798.24	-0.57525	74.687	0.11828	vapor
1900.0	1.6000	101.02	0.0098994	48.309	64.148	243.78	29.228	37.550	798.51	-0.57534	74.698	0.11830	vapor
1900.0	1.8000	113.61	0.0088024	48.308	64.152	242.80	29.228	37.551	798.78	-0.57542	74.709	0.11831	vapor
1900.0	2.0000	126.19	0.0079248	48.307	64.156	241.93	29.228	37.552	799.06	-0.57551	74.719	0.11833	vapor
1900.0	2.2000	138.76	0.0072067	48.306	64.161	241.13	29.228	37.553	799.33	-0.57559	74.730	0.11834	vapor
1900.0	2.4000	151.32	0.0066084	48.305	64.165	240.41	29.229	37.554	799.61	-0.57568	74.741	0.11835	vapor
1900.0	2.6000	163.88	0.0061020	48.304	64.169	239.74	29.229	37.556	799.88	-0.57577	74.752	0.11837	vapor
1900.0	2.8000	176.43	0.0056681	48.303	64.174	239.13	29.229	37.557	800.15	-0.57585	74.762	0.11838	vapor
1900.0	3.0000	188.97	0.0052919	48.302	64.178	238.55	29.229	37.558	800.43	-0.57594	74.773	0.11840	vapor
1900.0	3.2000	201.50	0.0049628	48.301	64.182	238.02	29.229	37.559	800.70	-0.57603	74.784	0.11841	vapor
1900.0	3.4000	214.02	0.0046724	48.300	64.187	237.51	29.230	37.560	800.98	-0.57611	74.795	0.11842	vapor
1900.0	3.6000	226.54	0.0044143	48.299	64.191	237.04	29.230	37.562	801.25	-0.57620	74.805	0.11844	vapor
1900.0	3.8000	239.04	0.0041834	48.299	64.195	236.59	29.230	37.563	801.53	-0.57628	74.816	0.11845	vapor
1900.0	4.0000	251.54	0.0039755	48.298	64.200	236.16	29.230	37.564	801.80	-0.57637	74.827	0.11847	vapor
1900.0	4.2000	264.03	0.0037875	48.297	64.204	235.75	29.230	37.565	802.08	-0.57646	74.838	0.11848	vapor
1900.0	4.4000	276.51	0.0036165	48.296	64.208	235.36	29.231	37.566	802.35	-0.57654	74.848	0.11850	vapor
1900.0	4.6000	288.98	0.0034604	48.295	64.213	234.99	29.231	37.567	802.63	-0.57663	74.859	0.11851	vapor
1900.0	4.8000	301.45	0.0033173	48.294	64.217	234.64	29.231	37.569	802.90	-0.57672	74.870	0.11852	vapor
1900.0	5.0000	313.91	0.0031857	48.293	64.221	234.30	29.231	37.570	803.18	-0.57680	74.880	0.11854	vapor
1900.0	5.2000	326.35	0.0030642	48.292	64.226	233.97	29.231	37.571	803.46	-0.57689	74.891	0.11855	vapor
1900.0	5.2000	326.35	0.0030642	48.292	64.226	233.97	29.231	37.571	803.46	-0.57689	74.891	0.11855	supercritical
1900.0	5.2000	326.35	0.0030642	48.292	64.226	233.97	29.231	37.571	803.46	-0.57689	74.891	0.11855	supercritical
1900.0	5.4000	338.79	0.0029516	48.291	64.230	233.66	29.232	37.572	803.73	-0.57697	74.902	0.11857	supercritical
1900.0	5.6000	351.23	0.0028472	48.290	64.234	233.36	29.232	37.573	804.01	-0.57706	74.912	0.11858	supercritical
