Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
115.00	0.0000	0.0000	infinite	2.3815	3.3376	-1.0000e+07	20.798	29.113	204.51	undefined	8.8317	0.010395	vapor
115.00	0.020000	20.982	0.047659	2.3761	3.3292	190.71	20.825	29.235	204.17	14.454	8.8349	0.010419	vapor
115.00	0.040000	42.097	0.023755	2.3706	3.3207	184.90	20.853	29.360	203.83	14.490	8.8381	0.010443	vapor
115.00	0.060000	63.346	0.015786	2.3650	3.3122	181.48	20.881	29.488	203.48	14.525	8.8414	0.010467	vapor
115.00	0.080000	84.732	0.011802	2.3595	3.3036	179.04	20.910	29.619	203.14	14.559	8.8447	0.010491	vapor
115.00	0.10000	106.26	0.0094110	2.3539	3.2950	177.14	20.939	29.752	202.78	14.592	8.8480	0.010516	vapor
115.00	0.12000	127.93	0.0078170	2.3482	3.2862	175.57	20.969	29.888	202.43	14.625	8.8513	0.010541	vapor
115.00	0.14000	149.74	0.0066783	2.3425	3.2775	174.24	20.999	30.027	202.08	14.657	8.8546	0.010567	vapor
115.00	0.16000	171.70	0.0058241	2.3368	3.2686	173.08	21.030	30.169	201.72	14.689	8.8580	0.010592	vapor
115.00	0.18000	193.81	0.0051596	2.3310	3.2597	172.05	21.061	30.313	201.36	14.720	8.8614	0.010618	vapor
115.00	0.20000	216.08	0.0046280	2.3252	3.2508	171.12	21.092	30.461	200.99	14.752	8.8648	0.010645	vapor
115.00	0.22000	238.50	0.0041929	2.3193	3.2418	170.28	21.124	30.611	200.63	14.784	8.8683	0.010671	vapor
115.00	0.24000	261.08	0.0038302	2.3134	3.2327	169.50	21.156	30.765	200.26	14.816	8.8717	0.010698	vapor
115.00	0.26000	283.83	0.0035233	2.3075	3.2235	168.78	21.189	30.922	199.89	14.848	8.8752	0.010726	vapor
115.00	0.28000	306.74	0.0032601	2.3015	3.2143	168.11	21.222	31.082	199.52	14.881	8.8788	0.010754	vapor
115.00	0.30000	329.82	0.0030319	2.2955	3.2050	167.49	21.256	31.247	199.14	14.915	8.8824	0.010782	vapor
115.00	0.32000	353.08	0.0028322	2.2894	3.1957	166.90	21.291	31.416	198.76	14.950	8.8860	0.010810	vapor
115.00	0.34000	376.52	0.0026559	2.2832	3.1863	166.34	21.327	31.589	198.38	14.986	8.8896	0.010839	vapor
115.00	0.36000	400.13	0.0024992	2.2770	3.1767	165.81	21.364	31.768	197.99	15.023	8.8933	0.010869	vapor
115.00	0.38000	423.94	0.0023588	2.2708	3.1672	165.30	21.402	31.952	197.60	15.061	8.8970	0.010899	vapor
115.00	0.40000	447.93	0.0022325	2.2645	3.1575	164.82	21.442	32.141	197.20	15.101	8.9008	0.010929	vapor
115.00	0.42000	472.12	0.0021181	2.2581	3.1477	164.35	21.485	32.338	196.81	15.142	8.9046	0.010960	vapor
115.00	0.44000	496.51	0.0020141	2.2517	3.1379	163.91	21.529	32.542	196.40	15.184	8.9084	0.010991	vapor
115.00	0.46000	521.10	0.0019190	2.2452	3.1280	163.48	21.576	32.753	196.00	15.229	8.9123	0.011023	vapor
115.00	0.48000	545.91	0.0018318	2.2387	3.1180	163.07	21.626	32.974	195.59	15.275	8.9162	0.011055	vapor
115.00	0.50000	570.93	0.0017515	2.2321	3.1078	162.67	21.680	33.204	195.17	15.324	8.9202	0.011088	vapor
115.00	0.52000	596.17	0.0016774	2.2254	3.0976	162.28	21.737	33.445	194.75	15.374	8.9242	0.011122	vapor
115.00	0.54000	621.65	0.0016086	2.2186	3.0873	161.91	21.800	33.699	194.32	15.426	8.9283	0.011156	vapor
115.00	0.56000	647.35	0.0015448	2.2117	3.0768	161.54	21.867	33.965	193.88	15.480	8.9324	0.011190	vapor
115.00	0.58000	673.30	0.0014852	2.2048	3.0662	161.19	21.940	34.246	193.44	15.537	8.9366	0.011226	vapor
115.00	0.60000	699.50	0.0014296	2.1978	3.0555	160.84	22.020	34.543	192.99	15.595	8.9408	0.011262	vapor
115.00	0.62000	725.96	0.0013775	2.1906	3.0447	160.50	22.107	34.858	192.53	15.656	8.9451	0.011299	vapor
115.00	0.64000	752.68	0.0013286	2.1834	3.0337	160.17	22.203	35.194	192.06	15.719	8.9495	0.011336	vapor
115.00	0.66000	779.68	0.0012826	2.1760	3.0225	159.85	22.308	35.551	191.58	15.783	8.9539	0.011375	vapor
115.00	0.68000	806.96	0.0012392	2.1686	3.0112	159.53	22.424	35.933	191.09	15.850	8.9584	0.011414	vapor
115.00	0.70000	834.53	0.0011983	2.1610	2.9998	159.22	22.551	36.342	190.59	15.919	8.9630	0.011454	vapor
115.00	0.72000	862.42	0.0011595	2.1532	2.9881	158.91	22.692	36.781	190.08	15.989	8.9676	0.011495	vapor
115.00	0.74000	890.62	0.0011228	2.1454	2.9762	158.61	22.847	37.253	189.55	16.061	8.9723	0.011538	vapor
115.00	0.75559	912.83	0.0010955	2.1391	2.9668	158.38	22.979	37.647	189.13	16.118	8.9760	0.011571	vapor
115.00	0.75559	31426.	3.1820e-05	-2.8853	-2.8612	107.70	27.311	59.469	689.03	-0.14551	108.81	0.11457	liquid
115.00	0.76000	31427.	3.1820e-05	-2.8854	-2.8612	107.70	27.311	59.466	689.07	-0.14556	108.82	0.11458	liquid
115.00	0.78000	31430.	3.1817e-05	-2.8858	-2.8610	107.69	27.312	59.453	689.27	-0.14583	108.85	0.11460	liquid
115.00	0.80000	31433.	3.1814e-05	-2.8863	-2.8609	107.69	27.313	59.440	689.46	-0.14610	108.89	0.11462	liquid
115.00	0.82000	31436.	3.1811e-05	-2.8868	-2.8607	107.69	27.314	59.427	689.66	-0.14637	108.93	0.11465	liquid
115.00	0.84000	31438.	3.1808e-05	-2.8872	-2.8605	107.68	27.315	59.414	689.86	-0.14663	108.96	0.11467	liquid
115.00	0.86000	31441.	3.1805e-05	-2.8877	-2.8603	107.68	27.316	59.400	690.06	-0.14690	109.00	0.11470	liquid
115.00	0.88000	31444.	3.1802e-05	-2.8881	-2.8602	107.67	27.317	59.387	690.25	-0.14717	109.03	0.11472	liquid
115.00	0.90000	31447.	3.1799e-05	-2.8886	-2.8600	107.67	27.319	59.374	690.45	-0.14743	109.07	0.11475	liquid
115.00	0.92000	31450.	3.1797e-05	-2.8891	-2.8598	107.67	27.320	59.361	690.65	-0.14770	109.10	0.11477	liquid
115.00	0.94000	31453.	3.1794e-05	-2.8895	-2.8596	107.66	27.321	59.348	690.84	-0.14796	109.14	0.11479	liquid
115.00	0.96000	31456.	3.1791e-05	-2.8900	-2.8595	107.66	27.322	59.335	691.04	-0.14822	109.17	0.11482	liquid
115.00	0.98000	31458.	3.1788e-05	-2.8904	-2.8593	107.65	27.323	59.322	691.24	-0.14849	109.21	0.11484	liquid
115.00	1.0000	31461.	3.1785e-05	-2.8909	-2.8591	107.65	27.324	59.309	691.43	-0.14875	109.24	0.11487	liquid
