Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
100.00	0.0000	0.0000	infinite	2.0695	2.9009	-1.0000e+07	20.800	29.114	190.71	undefined	7.7024	0.0089433	vapor
100.00	0.020000	24.166	0.041381	2.0629	2.8905	186.63	20.801	29.249	190.26	17.930	7.7043	0.0089706	vapor
100.00	0.040000	48.559	0.020594	2.0562	2.8800	180.79	20.812	29.399	189.80	18.088	7.7062	0.0089984	vapor
100.00	0.060000	73.185	0.013664	2.0494	2.8693	177.36	20.829	29.562	189.34	18.229	7.7081	0.0090267	vapor
100.00	0.080000	98.051	0.010199	2.0425	2.8584	174.89	20.854	29.737	188.86	18.357	7.7101	0.0090557	vapor
100.00	0.10000	123.16	0.0081192	2.0355	2.8474	172.97	20.885	29.925	188.37	18.479	7.7121	0.0090852	vapor
100.00	0.12000	148.53	0.0067325	2.0284	2.8363	171.38	20.925	30.128	187.86	18.600	7.7140	0.0091153	vapor
100.00	0.14000	174.17	0.0057417	2.0212	2.8250	170.02	20.973	30.348	187.35	18.724	7.7161	0.0091461	vapor
100.00	0.16000	200.07	0.0049983	2.0138	2.8136	168.84	21.033	30.588	186.82	18.859	7.7181	0.0091776	vapor
100.00	0.18000	226.25	0.0044198	2.0064	2.8019	167.78	21.109	30.854	186.27	19.007	7.7202	0.0092098	vapor
100.00	0.20000	252.73	0.0039568	1.9987	2.7901	166.83	21.204	31.154	185.71	19.175	7.7223	0.0092428	vapor
100.00	0.22000	279.51	0.0035776	1.9909	2.7780	165.96	21.324	31.495	185.12	19.365	7.7244	0.0092766	vapor
100.00	0.24000	306.61	0.0032614	1.9829	2.7657	165.15	21.476	31.889	184.50	19.583	7.7265	0.0093113	vapor
100.00	0.25400	325.79	0.0030695	1.9772	2.7569	164.62	21.605	32.204	184.06	19.753	7.7281	0.0093362	vapor
100.00	0.25400	34092.	2.9333e-05	-3.7337	-3.7263	99.787	28.636	55.599	822.19	-0.26804	152.56	0.13657	liquid
100.00	0.26000	34092.	2.9332e-05	-3.7338	-3.7262	99.786	28.636	55.597	822.23	-0.26807	152.57	0.13657	liquid
100.00	0.28000	34094.	2.9331e-05	-3.7341	-3.7259	99.783	28.637	55.592	822.36	-0.26817	152.60	0.13659	liquid
100.00	0.30000	34096.	2.9329e-05	-3.7344	-3.7256	99.780	28.639	55.586	822.48	-0.26827	152.64	0.13661	liquid
100.00	0.32000	34097.	2.9328e-05	-3.7347	-3.7253	99.777	28.640	55.581	822.61	-0.26838	152.67	0.13663	liquid
100.00	0.34000	34099.	2.9326e-05	-3.7349	-3.7250	99.774	28.641	55.575	822.73	-0.26848	152.71	0.13664	liquid
100.00	0.36000	34101.	2.9325e-05	-3.7352	-3.7247	99.771	28.642	55.570	822.86	-0.26858	152.74	0.13666	liquid
100.00	0.38000	34103.	2.9323e-05	-3.7355	-3.7244	99.769	28.644	55.564	822.99	-0.26868	152.78	0.13668	liquid
100.00	0.40000	34105.	2.9322e-05	-3.7358	-3.7241	99.766	28.645	55.559	823.11	-0.26879	152.82	0.13670	liquid
100.00	0.42000	34106.	2.9320e-05	-3.7361	-3.7238	99.763	28.646	55.554	823.24	-0.26889	152.85	0.13672	liquid
100.00	0.44000	34108.	2.9318e-05	-3.7364	-3.7235	99.760	28.648	55.548	823.36	-0.26899	152.89	0.13673	liquid
100.00	0.46000	34110.	2.9317e-05	-3.7367	-3.7232	99.757	28.649	55.543	823.49	-0.26909	152.92	0.13675	liquid
100.00	0.48000	34112.	2.9315e-05	-3.7370	-3.7229	99.754	28.650	55.537	823.61	-0.26919	152.96	0.13677	liquid
100.00	0.50000	34114.	2.9314e-05	-3.7372	-3.7226	99.751	28.651	55.532	823.74	-0.26930	153.00	0.13679	liquid
100.00	0.52000	34115.	2.9312e-05	-3.7375	-3.7223	99.748	28.653	55.527	823.86	-0.26940	153.03	0.13681	liquid
100.00	0.54000	34117.	2.9311e-05	-3.7378	-3.7220	99.746	28.654	55.521	823.99	-0.26950	153.07	0.13683	liquid
100.00	0.56000	34119.	2.9309e-05	-3.7381	-3.7217	99.743	28.655	55.516	824.11	-0.26960	153.10	0.13684	liquid
100.00	0.58000	34121.	2.9308e-05	-3.7384	-3.7214	99.740	28.657	55.511	824.24	-0.26970	153.14	0.13686	liquid
100.00	0.60000	34122.	2.9306e-05	-3.7387	-3.7211	99.737	28.658	55.505	824.36	-0.26980	153.17	0.13688	liquid
100.00	0.62000	34124.	2.9305e-05	-3.7390	-3.7208	99.734	28.659	55.500	824.49	-0.26990	153.21	0.13690	liquid
100.00	0.64000	34126.	2.9303e-05	-3.7392	-3.7205	99.731	28.660	55.494	824.61	-0.27000	153.25	0.13692	liquid
100.00	0.66000	34128.	2.9302e-05	-3.7395	-3.7202	99.728	28.662	55.489	824.74	-0.27011	153.28	0.13693	liquid
100.00	0.68000	34130.	2.9300e-05	-3.7398	-3.7199	99.725	28.663	55.484	824.86	-0.27021	153.32	0.13695	liquid
100.00	0.70000	34131.	2.9299e-05	-3.7401	-3.7196	99.723	28.664	55.478	824.99	-0.27031	153.35	0.13697	liquid
100.00	0.72000	34133.	2.9297e-05	-3.7404	-3.7193	99.720	28.666	55.473	825.11	-0.27041	153.39	0.13699	liquid
100.00	0.74000	34135.	2.9296e-05	-3.7407	-3.7190	99.717	28.667	55.468	825.24	-0.27051	153.42	0.13701	liquid
100.00	0.76000	34137.	2.9294e-05	-3.7410	-3.7187	99.714	28.668	55.463	825.36	-0.27061	153.46	0.13702	liquid
100.00	0.78000	34138.	2.9292e-05	-3.7412	-3.7184	99.711	28.669	55.457	825.49	-0.27071	153.49	0.13704	liquid
100.00	0.80000	34140.	2.9291e-05	-3.7415	-3.7181	99.708	28.671	55.452	825.61	-0.27081	153.53	0.13706	liquid
100.00	0.82000	34142.	2.9289e-05	-3.7418	-3.7178	99.705	28.672	55.447	825.73	-0.27091	153.57	0.13708	liquid
100.00	0.84000	34144.	2.9288e-05	-3.7421	-3.7175	99.703	28.673	55.441	825.86	-0.27101	153.60	0.13710	liquid
100.00	0.86000	34146.	2.9286e-05	-3.7424	-3.7172	99.700	28.674	55.436	825.98	-0.27111	153.64	0.13712	liquid
100.00	0.88000	34147.	2.9285e-05	-3.7427	-3.7169	99.697	28.676	55.431	826.11	-0.27121	153.67	0.13713	liquid
100.00	0.90000	34149.	2.9283e-05	-3.7429	-3.7166	99.694	28.677	55.426	826.23	-0.27131	153.71	0.13715	liquid
100.00	0.92000	34151.	2.9282e-05	-3.7432	-3.7163	99.691	28.678	55.420	826.35	-0.27141	153.74	0.13717	liquid
100.00	0.94000	34153.	2.9280e-05	-3.7435	-3.7160	99.688	28.680	55.415	826.48	-0.27151	153.78	0.13719	liquid
100.00	0.96000	34154.	2.9279e-05	-3.7438	-3.7157	99.686	28.681	55.410	826.60	-0.27161	153.82	0.13721	liquid
100.00	0.98000	34156.	2.9277e-05	-3.7441	-3.7154	99.683	28.682	55.405	826.73	-0.27171	153.85	0.13722	liquid
100.00	1.0000	34158.	2.9276e-05	-3.7444	-3.7151	99.680	28.683	55.399	826.85	-0.27181	153.89	0.13724	liquid
