Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
350.00	0.0000	0.0000	infinite	7.3008	10.211	-1.0000e+07	21.380	29.694	355.40	undefined	23.304	0.030294	vapor
350.00	0.20000	68.760	0.014543	7.2907	10.199	204.09	21.390	29.763	355.56	1.9277	23.344	0.030371	vapor
350.00	0.40000	137.58	0.0072684	7.2805	10.188	198.30	21.401	29.832	355.72	1.9197	23.384	0.030448	vapor
350.00	0.60000	206.47	0.0048434	7.2704	10.176	194.90	21.412	29.901	355.89	1.9117	23.424	0.030525	vapor
350.00	0.80000	275.41	0.0036310	7.2602	10.165	192.48	21.422	29.970	356.06	1.9036	23.463	0.030603	vapor
350.00	1.0000	344.41	0.0029035	7.2501	10.154	190.60	21.433	30.039	356.23	1.8955	23.503	0.030681	vapor
350.00	1.2000	413.47	0.0024186	7.2400	10.142	189.05	21.443	30.108	356.41	1.8873	23.543	0.030758	vapor
350.00	1.4000	482.58	0.0020722	7.2298	10.131	187.74	21.454	30.177	356.59	1.8791	23.584	0.030836	vapor
350.00	1.6000	551.74	0.0018124	7.2197	10.120	186.60	21.464	30.247	356.78	1.8708	23.624	0.030914	vapor
350.00	1.8000	620.96	0.0016104	7.2095	10.108	185.59	21.475	30.316	356.97	1.8625	23.664	0.030992	vapor
350.00	2.0000	690.23	0.0014488	7.1994	10.097	184.69	21.485	30.386	357.17	1.8541	23.704	0.031070	vapor
350.00	2.2000	759.54	0.0013166	7.1892	10.086	183.87	21.495	30.455	357.37	1.8457	23.745	0.031148	vapor
350.00	2.4000	828.90	0.0012064	7.1791	10.074	183.12	21.506	30.525	357.58	1.8373	23.785	0.031227	vapor
350.00	2.6000	898.31	0.0011132	7.1690	10.063	182.42	21.516	30.595	357.79	1.8288	23.826	0.031305	vapor
350.00	2.8000	967.76	0.0010333	7.1588	10.052	181.78	21.526	30.664	358.00	1.8202	23.867	0.031384	vapor
350.00	3.0000	1037.2	0.00096409	7.1487	10.041	181.18	21.536	30.734	358.22	1.8116	23.908	0.031463	vapor
350.00	3.2000	1106.8	0.00090352	7.1386	10.030	180.61	21.547	30.804	358.44	1.8030	23.949	0.031541	vapor
350.00	3.4000	1176.3	0.00085009	7.1284	10.019	180.08	21.557	30.874	358.67	1.7944	23.990	0.031621	vapor
350.00	3.6000	1245.9	0.00080260	7.1183	10.008	179.57	21.567	30.944	358.90	1.7857	24.031	0.031700	vapor
350.00	3.8000	1315.6	0.00076012	7.1082	9.9966	179.10	21.577	31.013	359.14	1.7770	24.073	0.031779	vapor
350.00	4.0000	1385.3	0.00072189	7.0981	9.9856	178.64	21.587	31.083	359.38	1.7682	24.114	0.031859	vapor
350.00	4.2000	1455.0	0.00068731	7.0880	9.9747	178.21	21.597	31.153	359.62	1.7594	24.156	0.031939	vapor
350.00	4.4000	1524.7	0.00065588	7.0779	9.9637	177.79	21.607	31.223	359.87	1.7505	24.198	0.032019	vapor
350.00	4.6000	1594.4	0.00062718	7.0678	9.9528	177.40	21.617	31.293	360.13	1.7417	24.240	0.032099	vapor
350.00	4.8000	1664.2	0.00060089	7.0577	9.9419	177.01	21.626	31.362	360.39	1.7328	24.283	0.032179	vapor
350.00	5.0000	1734.0	0.00057670	7.0476	9.9311	176.65	21.636	31.432	360.65	1.7238	24.325	0.032259	vapor
350.00	5.2000	1803.8	0.00055438	7.0375	9.9202	176.29	21.646	31.502	360.92	1.7149	24.368	0.032340	vapor
350.00	5.2000	1803.8	0.00055438	7.0375	9.9202	176.29	21.646	31.502	360.92	1.7149	24.368	0.032340	supercritical
350.00	5.2000	1803.8	0.00055438	7.0375	9.9202	176.29	21.646	31.502	360.92	1.7149	24.368	0.032340	supercritical
350.00	5.4000	1873.7	0.00053371	7.0274	9.9095	175.95	21.656	31.572	361.20	1.7059	24.411	0.032421	supercritical
350.00	5.6000	1943.5	0.00051453	7.0173	9.8987	175.62	21.665	31.641	361.48	1.6969	24.454	0.032502	supercritical
350.00	5.8000	2013.4	0.00049668	7.0073	9.8880	175.30	21.675	31.711	361.76	1.6878	24.497	0.032583	supercritical
350.00	6.0000	2083.3	0.00048002	6.9972	9.8773	174.99	21.685	31.780	362.05	1.6787	24.540	0.032665	supercritical
350.00	6.2000	2153.1	0.00046444	6.9871	9.8666	174.69	21.694	31.850	362.34	1.6696	24.584	0.032747	supercritical
350.00	6.4000	2223.0	0.00044983	6.9771	9.8560	174.40	21.704	31.919	362.64	1.6605	24.628	0.032829	supercritical
