Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
150.00	0.0000	0.0000	infinite	3.1094	4.3566	-1.0000e+07	20.798	29.112	233.57	undefined	11.352	0.013690	vapor
150.00	0.020000	16.060	0.062268	3.1059	4.3513	198.47	20.813	29.174	233.40	9.0826	11.356	0.013708	vapor
150.00	0.040000	32.166	0.031089	3.1024	4.3460	192.69	20.829	29.237	233.22	9.0865	11.361	0.013726	vapor
150.00	0.060000	48.319	0.020696	3.0989	4.3407	189.29	20.844	29.300	233.05	9.0904	11.365	0.013744	vapor
150.00	0.080000	64.520	0.015499	3.0954	4.3353	186.88	20.860	29.363	232.87	9.0943	11.370	0.013763	vapor
150.00	0.10000	80.768	0.012381	3.0919	4.3300	185.00	20.875	29.427	232.70	9.0982	11.374	0.013781	vapor
150.00	0.12000	97.064	0.010302	3.0883	4.3246	183.46	20.891	29.492	232.52	9.1021	11.379	0.013799	vapor
150.00	0.14000	113.41	0.0088177	3.0848	4.3192	182.15	20.907	29.557	232.34	9.1060	11.384	0.013818	vapor
150.00	0.16000	129.80	0.0077041	3.0812	4.3138	181.02	20.923	29.623	232.17	9.1098	11.388	0.013837	vapor
150.00	0.18000	146.24	0.0068379	3.0776	4.3084	180.01	20.938	29.689	231.99	9.1137	11.393	0.013855	vapor
150.00	0.20000	162.74	0.0061449	3.0740	4.3030	179.11	20.954	29.756	231.81	9.1175	11.397	0.013874	vapor
150.00	0.22000	179.28	0.0055779	3.0704	4.2976	178.30	20.970	29.823	231.63	9.1214	11.402	0.013893	vapor
150.00	0.24000	195.87	0.0051054	3.0668	4.2921	177.55	20.987	29.891	231.45	9.1252	11.407	0.013912	vapor
150.00	0.26000	212.51	0.0047056	3.0632	4.2867	176.86	21.003	29.959	231.27	9.1290	11.411	0.013931	vapor
150.00	0.28000	229.21	0.0043629	3.0596	4.2812	176.22	21.019	30.028	231.09	9.1328	11.416	0.013950	vapor
150.00	0.30000	245.95	0.0040658	3.0560	4.2757	175.62	21.036	30.097	230.91	9.1366	11.421	0.013969	vapor
150.00	0.32000	262.75	0.0038059	3.0523	4.2702	175.06	21.052	30.167	230.73	9.1404	11.426	0.013989	vapor
150.00	0.34000	279.60	0.0035765	3.0487	4.2647	174.53	21.068	30.238	230.55	9.1442	11.430	0.014008	vapor
150.00	0.36000	296.50	0.0033727	3.0450	4.2591	174.03	21.085	30.309	230.37	9.1480	11.435	0.014028	vapor
150.00	0.38000	313.46	0.0031902	3.0413	4.2536	173.56	21.102	30.381	230.19	9.1517	11.440	0.014047	vapor
150.00	0.40000	330.47	0.0030260	3.0376	4.2480	173.11	21.119	30.454	230.01	9.1555	11.445	0.014067	vapor
150.00	0.42000	347.53	0.0028774	3.0339	4.2424	172.68	21.135	30.527	229.83	9.1592	11.449	0.014087	vapor
150.00	0.44000	364.65	0.0027424	3.0302	4.2368	172.26	21.152	30.600	229.65	9.1630	11.454	0.014107	vapor
150.00	0.46000	381.82	0.0026190	3.0265	4.2312	171.87	21.169	30.675	229.46	9.1667	11.459	0.014127	vapor
150.00	0.48000	399.05	0.0025059	3.0227	4.2256	171.49	21.186	30.750	229.28	9.1704	11.464	0.014147	vapor
150.00	0.50000	416.33	0.0024019	3.0190	4.2199	171.13	21.204	30.825	229.10	9.1741	11.469	0.014167	vapor
150.00	0.52000	433.68	0.0023059	3.0152	4.2143	170.77	21.221	30.902	228.91	9.1778	11.474	0.014188	vapor
150.00	0.54000	451.07	0.0022169	3.0115	4.2086	170.43	21.238	30.979	228.73	9.1815	11.479	0.014208	vapor
150.00	0.56000	468.53	0.0021343	3.0077	4.2029	170.11	21.256	31.056	228.54	9.1852	11.484	0.014229	vapor
150.00	0.58000	486.04	0.0020574	3.0039	4.1972	169.79	21.273	31.134	228.36	9.1889	11.489	0.014249	vapor
150.00	0.60000	503.61	0.0019856	3.0001	4.1915	169.48	21.291	31.213	228.17	9.1926	11.494	0.014270	vapor
150.00	0.62000	521.24	0.0019185	2.9962	4.1857	169.18	21.308	31.293	227.98	9.1962	11.499	0.014291	vapor
150.00	0.64000	538.93	0.0018555	2.9924	4.1799	168.89	21.326	31.374	227.80	9.1999	11.504	0.014312	vapor
150.00	0.66000	556.68	0.0017964	2.9886	4.1742	168.61	21.344	31.455	227.61	9.2035	11.509	0.014333	vapor
150.00	0.68000	574.49	0.0017407	2.9847	4.1684	168.34	21.362	31.537	227.42	9.2072	11.514	0.014354	vapor
150.00	0.70000	592.36	0.0016881	2.9808	4.1626	168.07	21.380	31.619	227.23	9.2108	11.519	0.014376	vapor
150.00	0.72000	610.30	0.0016385	2.9770	4.1567	167.81	21.398	31.703	227.05	9.2144	11.524	0.014397	vapor
150.00	0.74000	628.29	0.0015916	2.9731	4.1509	167.55	21.416	31.787	226.86	9.2180	11.529	0.014419	vapor
150.00	0.76000	646.35	0.0015472	2.9692	4.1450	167.31	21.434	31.872	226.67	9.2216	11.534	0.014441	vapor
150.00	0.78000	664.47	0.0015050	2.9652	4.1391	167.06	21.453	31.957	226.48	9.2252	11.540	0.014463	vapor
150.00	0.80000	682.65	0.0014649	2.9613	4.1332	166.83	21.471	32.044	226.29	9.2288	11.545	0.014485	vapor
150.00	0.82000	700.90	0.0014267	2.9574	4.1273	166.59	21.489	32.131	226.10	9.2324	11.550	0.014507	vapor
150.00	0.84000	719.22	0.0013904	2.9534	4.1213	166.37	21.508	32.219	225.91	9.2360	11.555	0.014529	vapor
150.00	0.86000	737.60	0.0013558	2.9494	4.1154	166.14	21.527	32.308	225.72	9.2395	11.561	0.014552	vapor
150.00	0.88000	756.04	0.0013227	2.9454	4.1094	165.92	21.546	32.398	225.52	9.2431	11.566	0.014574	vapor
150.00	0.90000	774.55	0.0012911	2.9414	4.1034	165.71	21.565	32.489	225.33	9.2467	11.571	0.014597	vapor
150.00	0.92000	793.13	0.0012608	2.9374	4.0974	165.50	21.584	32.580	225.14	9.2502	11.577	0.014620	vapor
150.00	0.94000	811.78	0.0012319	2.9334	4.0913	165.29	21.603	32.673	224.94	9.2537	11.582	0.014643	vapor
150.00	0.96000	830.50	0.0012041	2.9294	4.0853	165.09	21.622	32.766	224.75	9.2573	11.588	0.014666	vapor
150.00	0.98000	849.28	0.0011775	2.9253	4.0792	164.89	21.641	32.860	224.56	9.2608	11.593	0.014689	vapor
150.00	1.0000	868.14	0.0011519	2.9212	4.0731	164.70	21.660	32.956	224.36	9.2643	11.599	0.014712	vapor
