Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
110.00	0.0000	0.0000	infinite	2.2775	3.1921	-1.0000e+07	20.799	29.113	200.02	undefined	8.4586	0.0099138	vapor
110.00	0.020000	21.945	0.045568	2.2717	3.1830	189.41	20.823	29.244	199.64	15.550	8.4614	0.0099385	vapor
110.00	0.040000	44.048	0.022703	2.2658	3.1739	183.60	20.849	29.380	199.27	15.604	8.4643	0.0099636	vapor
110.00	0.060000	66.311	0.015081	2.2599	3.1647	180.17	20.875	29.519	198.88	15.655	8.4672	0.0099890	vapor
110.00	0.080000	88.737	0.011269	2.2539	3.1554	177.72	20.903	29.662	198.50	15.705	8.4701	0.010015	vapor
110.00	0.10000	111.33	0.0089822	2.2478	3.1461	175.81	20.931	29.809	198.11	15.752	8.4730	0.010041	vapor
110.00	0.12000	134.10	0.0074573	2.2417	3.1366	174.24	20.961	29.959	197.72	15.798	8.4760	0.010067	vapor
110.00	0.14000	157.04	0.0063680	2.2356	3.1271	172.90	20.991	30.113	197.32	15.843	8.4790	0.010094	vapor
110.00	0.16000	180.15	0.0055508	2.2294	3.1175	171.74	21.021	30.271	196.93	15.888	8.4820	0.010122	vapor
110.00	0.18000	203.46	0.0049151	2.2232	3.1079	170.70	21.053	30.434	196.52	15.933	8.4850	0.010149	vapor
110.00	0.20000	226.94	0.0044064	2.2169	3.0981	169.76	21.085	30.600	196.12	15.979	8.4881	0.010177	vapor
110.00	0.22000	250.63	0.0039900	2.2105	3.0883	168.91	21.118	30.772	195.71	16.026	8.4912	0.010206	vapor
110.00	0.24000	274.50	0.0036430	2.2041	3.0784	168.13	21.153	30.949	195.29	16.074	8.4943	0.010235	vapor
110.00	0.26000	298.58	0.0033492	2.1976	3.0684	167.40	21.190	31.132	194.88	16.125	8.4975	0.010265	vapor
110.00	0.28000	322.86	0.0030973	2.1911	3.0583	166.73	21.229	31.323	194.45	16.177	8.5007	0.010295	vapor
110.00	0.30000	347.36	0.0028789	2.1845	3.0482	166.09	21.271	31.521	194.03	16.233	8.5039	0.010325	vapor
110.00	0.32000	372.07	0.0026876	2.1778	3.0379	165.49	21.315	31.728	193.59	16.292	8.5072	0.010356	vapor
110.00	0.34000	397.01	0.0025188	2.1711	3.0275	164.93	21.364	31.946	193.15	16.354	8.5105	0.010388	vapor
110.00	0.36000	422.18	0.0023687	2.1642	3.0170	164.39	21.418	32.175	192.71	16.421	8.5138	0.010420	vapor
110.00	0.38000	447.58	0.0022342	2.1573	3.0063	163.87	21.478	32.418	192.25	16.491	8.5172	0.010453	vapor
110.00	0.40000	473.23	0.0021132	2.1503	2.9956	163.38	21.544	32.677	191.79	16.566	8.5207	0.010486	vapor
110.00	0.42000	499.13	0.0020035	2.1432	2.9847	162.90	21.619	32.953	191.32	16.646	8.5241	0.010520	vapor
110.00	0.44000	525.29	0.0019037	2.1360	2.9736	162.45	21.704	33.250	190.84	16.731	8.5277	0.010555	vapor
110.00	0.46000	551.72	0.0018125	2.1287	2.9624	162.01	21.799	33.571	190.34	16.820	8.5312	0.010591	vapor
110.00	0.48000	578.42	0.0017288	2.1212	2.9510	161.58	21.908	33.919	189.84	16.915	8.5349	0.010627	vapor
110.00	0.50000	605.42	0.0016517	2.1136	2.9395	161.17	22.031	34.297	189.32	17.015	8.5385	0.010664	vapor
110.00	0.52000	632.72	0.0015805	2.1058	2.9277	160.77	22.171	34.710	188.79	17.121	8.5423	0.010702	vapor
110.00	0.54000	660.34	0.0015144	2.0979	2.9157	160.38	22.332	35.164	188.23	17.231	8.5461	0.010742	vapor
110.00	0.54340	665.06	0.0015036	2.0966	2.9136	160.32	22.361	35.245	188.14	17.250	8.5467	0.010748	vapor
110.00	0.54340	32360.	3.0903e-05	-3.1732	-3.1564	105.13	27.703	57.816	734.76	-0.19639	121.52	0.12192	liquid
110.00	0.56000	32362.	3.0901e-05	-3.1735	-3.1562	105.13	27.704	57.808	734.90	-0.19655	121.55	0.12193	liquid
110.00	0.58000	32364.	3.0898e-05	-3.1739	-3.1560	105.13	27.706	57.799	735.07	-0.19674	121.59	0.12196	liquid
110.00	0.60000	32367.	3.0896e-05	-3.1743	-3.1557	105.12	27.707	57.789	735.24	-0.19693	121.62	0.12198	liquid
110.00	0.62000	32369.	3.0894e-05	-3.1747	-3.1555	105.12	27.708	57.779	735.41	-0.19712	121.66	0.12200	liquid
110.00	0.64000	32371.	3.0891e-05	-3.1751	-3.1553	105.12	27.709	57.770	735.58	-0.19731	121.69	0.12202	liquid
110.00	0.66000	32374.	3.0889e-05	-3.1754	-3.1551	105.11	27.710	57.760	735.75	-0.19750	121.72	0.12204	liquid
110.00	0.68000	32376.	3.0887e-05	-3.1758	-3.1548	105.11	27.711	57.751	735.91	-0.19769	121.76	0.12207	liquid
110.00	0.70000	32379.	3.0885e-05	-3.1762	-3.1546	105.11	27.713	57.741	736.08	-0.19788	121.79	0.12209	liquid
110.00	0.72000	32381.	3.0882e-05	-3.1766	-3.1544	105.10	27.714	57.732	736.25	-0.19807	121.83	0.12211	liquid
110.00	0.74000	32383.	3.0880e-05	-3.1770	-3.1541	105.10	27.715	57.722	736.42	-0.19825	121.86	0.12213	liquid
110.00	0.76000	32386.	3.0878e-05	-3.1774	-3.1539	105.10	27.716	57.713	736.58	-0.19844	121.90	0.12215	liquid
110.00	0.78000	32388.	3.0875e-05	-3.1778	-3.1537	105.09	27.717	57.704	736.75	-0.19863	121.93	0.12218	liquid
