Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
600.00	0.0000	0.0000	infinite	12.936	17.924	-1.0000e+07	23.779	32.093	458.70	undefined	34.713	0.047640	vapor
600.00	0.20000	40.071	0.024956	12.931	17.922	220.69	23.782	32.113	459.04	0.35687	34.741	0.047685	vapor
600.00	0.40000	80.102	0.012484	12.926	17.920	214.91	23.785	32.132	459.38	0.35457	34.769	0.047730	vapor
600.00	0.60000	120.09	0.0083269	12.921	17.918	211.54	23.789	32.151	459.72	0.35226	34.797	0.047775	vapor
600.00	0.80000	160.04	0.0062484	12.917	17.915	209.14	23.792	32.170	460.06	0.34995	34.825	0.047820	vapor
600.00	1.0000	199.95	0.0050012	12.912	17.913	207.27	23.795	32.189	460.40	0.34764	34.853	0.047865	vapor
600.00	1.2000	239.82	0.0041698	12.907	17.911	205.75	23.798	32.208	460.75	0.34533	34.881	0.047910	vapor
600.00	1.4000	279.64	0.0035760	12.902	17.909	204.46	23.801	32.227	461.09	0.34302	34.909	0.047954	vapor
600.00	1.6000	319.43	0.0031306	12.897	17.906	203.34	23.804	32.246	461.43	0.34070	34.937	0.047999	vapor
600.00	1.8000	359.17	0.0027842	12.893	17.904	202.35	23.808	32.265	461.78	0.33839	34.965	0.048044	vapor
600.00	2.0000	398.88	0.0025070	12.888	17.902	201.47	23.811	32.284	462.13	0.33607	34.993	0.048088	vapor
600.00	2.2000	438.54	0.0022803	12.883	17.900	200.67	23.814	32.303	462.47	0.33376	35.021	0.048133	vapor
600.00	2.4000	478.16	0.0020914	12.878	17.898	199.94	23.817	32.321	462.82	0.33144	35.049	0.048178	vapor
600.00	2.6000	517.73	0.0019315	12.874	17.896	199.27	23.820	32.340	463.17	0.32913	35.077	0.048222	vapor
600.00	2.8000	557.27	0.0017945	12.869	17.893	198.64	23.823	32.359	463.52	0.32681	35.104	0.048267	vapor
600.00	3.0000	596.76	0.0016757	12.864	17.891	198.06	23.826	32.377	463.87	0.32449	35.132	0.048311	vapor
600.00	3.2000	636.21	0.0015718	12.859	17.889	197.52	23.829	32.396	464.23	0.32218	35.160	0.048356	vapor
600.00	3.4000	675.62	0.0014801	12.855	17.887	197.00	23.832	32.414	464.58	0.31986	35.188	0.048400	vapor
600.00	3.6000	714.98	0.0013986	12.850	17.885	196.52	23.835	32.433	464.93	0.31754	35.216	0.048445	vapor
600.00	3.8000	754.31	0.0013257	12.845	17.883	196.06	23.838	32.451	465.29	0.31523	35.244	0.048489	vapor
600.00	4.0000	793.59	0.0012601	12.841	17.881	195.63	23.841	32.470	465.65	0.31291	35.271	0.048533	vapor
600.00	4.2000	832.82	0.0012007	12.836	17.879	195.22	23.844	32.488	466.00	0.31059	35.299	0.048578	vapor
600.00	4.4000	872.02	0.0011468	12.831	17.877	194.82	23.847	32.506	466.36	0.30827	35.327	0.048622	vapor
600.00	4.6000	911.17	0.0010975	12.826	17.875	194.44	23.850	32.524	466.72	0.30596	35.355	0.048666	vapor
600.00	4.8000	950.27	0.0010523	12.822	17.873	194.08	23.853	32.543	467.08	0.30364	35.382	0.048711	vapor
