Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
125.00	0.0000	0.0000	infinite	2.5895	3.6288	-1.0000e+07	20.798	29.112	213.22	undefined	9.5680	0.011350	vapor
125.00	0.020000	19.291	0.051837	2.5847	3.6215	193.15	20.824	29.214	212.94	12.525	9.5717	0.011372	vapor
125.00	0.040000	38.678	0.025855	2.5799	3.6141	187.35	20.849	29.318	212.66	12.543	9.5755	0.011394	vapor
125.00	0.060000	58.161	0.017194	2.5751	3.6068	183.94	20.876	29.423	212.37	12.561	9.5793	0.011416	vapor
125.00	0.080000	77.742	0.012863	2.5703	3.5994	181.51	20.902	29.530	212.09	12.578	9.5831	0.011438	vapor
125.00	0.10000	97.423	0.010264	2.5655	3.5919	179.61	20.929	29.638	211.80	12.596	9.5870	0.011460	vapor
125.00	0.12000	117.21	0.0085320	2.5606	3.5844	178.06	20.956	29.748	211.51	12.613	9.5908	0.011483	vapor
125.00	0.14000	137.09	0.0072945	2.5557	3.5769	176.74	20.983	29.860	211.22	12.630	9.5947	0.011506	vapor
125.00	0.16000	157.08	0.0063663	2.5507	3.5693	175.59	21.011	29.973	210.93	12.647	9.5986	0.011529	vapor
125.00	0.18000	177.17	0.0056442	2.5458	3.5617	174.57	21.038	30.088	210.64	12.664	9.6025	0.011552	vapor
125.00	0.20000	197.37	0.0050666	2.5408	3.5541	173.65	21.066	30.205	210.34	12.681	9.6065	0.011576	vapor
125.00	0.22000	217.68	0.0045939	2.5358	3.5464	172.82	21.095	30.324	210.05	12.698	9.6105	0.011600	vapor
125.00	0.24000	238.10	0.0041999	2.5307	3.5387	172.05	21.123	30.444	209.75	12.715	9.6145	0.011623	vapor
125.00	0.26000	258.63	0.0038665	2.5256	3.5309	171.35	21.152	30.566	209.45	12.732	9.6185	0.011648	vapor
125.00	0.28000	279.28	0.0035806	2.5205	3.5231	170.69	21.180	30.690	209.15	12.749	9.6225	0.011672	vapor
125.00	0.30000	300.04	0.0033329	2.5154	3.5153	170.07	21.210	30.816	208.85	12.766	9.6266	0.011697	vapor
125.00	0.32000	320.92	0.0031160	2.5103	3.5074	169.50	21.239	30.944	208.55	12.783	9.6307	0.011722	vapor
125.00	0.34000	341.92	0.0029247	2.5051	3.4995	168.95	21.269	31.074	208.24	12.801	9.6349	0.011747	vapor
125.00	0.36000	363.04	0.0027545	2.4998	3.4915	168.43	21.298	31.206	207.94	12.818	9.6390	0.011772	vapor
125.00	0.38000	384.28	0.0026023	2.4946	3.4835	167.94	21.328	31.340	207.63	12.835	9.6432	0.011798	vapor
125.00	0.40000	405.64	0.0024652	2.4893	3.4754	167.47	21.359	31.476	207.32	12.853	9.6474	0.011824	vapor
125.00	0.42000	427.14	0.0023412	2.4840	3.4673	167.02	21.390	31.615	207.01	12.871	9.6517	0.011850	vapor
125.00	0.44000	448.76	0.0022283	2.4786	3.4591	166.59	21.421	31.756	206.69	12.889	9.6560	0.011877	vapor
125.00	0.46000	470.52	0.0021253	2.4733	3.4509	166.17	21.452	31.900	206.38	12.907	9.6603	0.011903	vapor
125.00	0.48000	492.41	0.0020308	2.4678	3.4426	165.78	21.484	32.046	206.06	12.925	9.6647	0.011931	vapor
125.00	0.50000	514.43	0.0019439	2.4624	3.4343	165.39	21.516	32.195	205.74	12.944	9.6691	0.011958	vapor
125.00	0.52000	536.60	0.0018636	2.4569	3.4260	165.02	21.548	32.347	205.42	12.962	9.6735	0.011986	vapor
125.00	0.54000	558.90	0.0017892	2.4514	3.4176	164.66	21.581	32.501	205.10	12.982	9.6780	0.012014	vapor
125.00	0.56000	581.35	0.0017201	2.4458	3.4091	164.31	21.615	32.659	204.77	13.001	9.6825	0.012042	vapor
125.00	0.58000	603.95	0.0016558	2.4402	3.4006	163.97	21.649	32.820	204.45	13.021	9.6870	0.012071	vapor
125.00	0.60000	626.69	0.0015957	2.4346	3.3920	163.65	21.683	32.984	204.12	13.040	9.6916	0.012100	vapor
125.00	0.62000	649.59	0.0015394	2.4289	3.3834	163.33	21.718	33.152	203.79	13.061	9.6962	0.012130	vapor
125.00	0.64000	672.64	0.0014867	2.4232	3.3747	163.01	21.754	33.323	203.46	13.081	9.7009	0.012159	vapor
125.00	0.66000	695.85	0.0014371	2.4174	3.3659	162.71	21.791	33.499	203.12	13.102	9.7056	0.012190	vapor
125.00	0.68000	719.22	0.0013904	2.4116	3.3571	162.41	21.828	33.678	202.78	13.124	9.7104	0.012220	vapor
125.00	0.70000	742.75	0.0013463	2.4058	3.3483	162.12	21.867	33.862	202.44	13.145	9.7152	0.012251	vapor
125.00	0.72000	766.45	0.0013047	2.3999	3.3393	161.84	21.906	34.050	202.10	13.167	9.7201	0.012283	vapor
125.00	0.74000	790.32	0.0012653	2.3940	3.3303	161.56	21.947	34.243	201.75	13.190	9.7250	0.012315	vapor
125.00	0.76000	814.37	0.0012279	2.3880	3.3213	161.29	21.988	34.441	201.40	13.212	9.7299	0.012347	vapor
125.00	0.78000	838.59	0.0011925	2.3820	3.3121	161.02	22.031	34.645	201.05	13.236	9.7350	0.012380	vapor
125.00	0.80000	863.00	0.0011587	2.3759	3.3029	160.76	22.075	34.854	200.70	13.259	9.7400	0.012413	vapor
125.00	0.82000	887.59	0.0011266	2.3698	3.2936	160.51	22.121	35.069	200.34	13.283	9.7452	0.012446	vapor
125.00	0.84000	912.38	0.0010960	2.3636	3.2843	160.25	22.168	35.290	199.98	13.307	9.7504	0.012481	vapor
125.00	0.86000	937.36	0.0010668	2.3574	3.2748	160.00	22.217	35.518	199.62	13.332	9.7556	0.012515	vapor
125.00	0.88000	962.53	0.0010389	2.3511	3.2653	159.76	22.268	35.754	199.25	13.357	9.7609	0.012551	vapor
125.00	0.90000	987.92	0.0010122	2.3447	3.2557	159.52	22.320	35.996	198.88	13.383	9.7663	0.012586	vapor
125.00	0.92000	1013.5	0.00098667	2.3383	3.2461	159.28	22.375	36.247	198.50	13.409	9.7718	0.012623	vapor
125.00	0.94000	1039.3	0.00096218	2.3319	3.2363	159.05	22.433	36.506	198.12	13.435	9.7773	0.012660	vapor
125.00	0.96000	1065.3	0.00093867	2.3253	3.2264	158.82	22.493	36.775	197.74	13.462	9.7829	0.012697	vapor
125.00	0.98000	1091.6	0.00091610	2.3187	3.2165	158.59	22.555	37.053	197.35	13.489	9.7885	0.012736	vapor
125.00	1.0000	1118.1	0.00089440	2.3120	3.2064	158.36	22.621	37.342	196.96	13.517	9.7943	0.012774	vapor
