Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	0.0000	0.0000	infinite	6.2401	8.7344	-1.0000e+07	21.071	29.385	329.71	undefined	20.631	0.026440	vapor
300.00	0.20000	80.282	0.012456	6.2275	8.7187	199.53	21.086	29.484	329.74	2.6480	20.674	0.026530	vapor
300.00	0.40000	160.76	0.0062204	6.2150	8.7031	193.72	21.102	29.584	329.77	2.6378	20.717	0.026621	vapor
300.00	0.60000	241.44	0.0041419	6.2024	8.6875	190.31	21.117	29.685	329.81	2.6275	20.760	0.026712	vapor
300.00	0.80000	322.31	0.0031026	6.1898	8.6719	187.88	21.133	29.786	329.85	2.6171	20.803	0.026803	vapor
300.00	1.0000	403.37	0.0024791	6.1772	8.6563	185.98	21.148	29.887	329.90	2.6066	20.846	0.026894	vapor
300.00	1.2000	484.62	0.0020635	6.1646	8.6408	184.42	21.164	29.989	329.96	2.5960	20.890	0.026986	vapor
300.00	1.4000	566.06	0.0017666	6.1520	8.6252	183.10	21.179	30.091	330.02	2.5852	20.934	0.027078	vapor
300.00	1.6000	647.69	0.0015439	6.1393	8.6096	181.95	21.194	30.194	330.09	2.5743	20.978	0.027170	vapor
300.00	1.8000	729.50	0.0013708	6.1267	8.5941	180.93	21.210	30.298	330.16	2.5633	21.022	0.027262	vapor
300.00	2.0000	811.50	0.0012323	6.1140	8.5786	180.01	21.225	30.401	330.25	2.5523	21.066	0.027355	vapor
300.00	2.2000	893.68	0.0011190	6.1013	8.5631	179.17	21.240	30.506	330.33	2.5410	21.111	0.027449	vapor
300.00	2.4000	976.03	0.0010246	6.0886	8.5476	178.41	21.255	30.610	330.42	2.5297	21.156	0.027542	vapor
300.00	2.6000	1058.6	0.00094468	6.0759	8.5321	177.70	21.270	30.715	330.52	2.5183	21.201	0.027636	vapor
300.00	2.8000	1141.3	0.00087622	6.0632	8.5166	177.04	21.285	30.821	330.63	2.5067	21.246	0.027731	vapor
300.00	3.0000	1224.1	0.00081690	6.0505	8.5012	176.43	21.300	30.927	330.74	2.4951	21.292	0.027825	vapor
300.00	3.2000	1307.2	0.00076501	6.0378	8.4858	175.85	21.315	31.033	330.86	2.4833	21.338	0.027921	vapor
300.00	3.4000	1390.4	0.00071922	6.0250	8.4704	175.30	21.330	31.139	330.99	2.4715	21.384	0.028016	vapor
300.00	3.6000	1473.8	0.00067854	6.0122	8.4550	174.79	21.345	31.246	331.12	2.4595	21.430	0.028112	vapor
300.00	3.8000	1557.3	0.00064214	5.9995	8.4396	174.30	21.360	31.354	331.26	2.4475	21.477	0.028209	vapor
300.00	4.0000	1641.0	0.00060940	5.9867	8.4243	173.83	21.375	31.461	331.41	2.4353	21.524	0.028306	vapor
300.00	4.2000	1724.8	0.00057978	5.9739	8.4090	173.38	21.390	31.569	331.56	2.4230	21.572	0.028403	vapor
300.00	4.4000	1808.8	0.00055285	5.9611	8.3937	172.95	21.404	31.677	331.72	2.4107	21.620	0.028501	vapor
300.00	4.6000	1892.9	0.00052828	5.9483	8.3784	172.54	21.419	31.786	331.89	2.3982	21.668	0.028599	vapor
300.00	4.8000	1977.2	0.00050576	5.9355	8.3632	172.15	21.433	31.894	332.06	2.3857	21.717	0.028698	vapor
300.00	5.0000	2061.6	0.00048505	5.9227	8.3480	171.77	21.448	32.003	332.25	2.3730	21.766	0.028797	vapor
300.00	5.2000	2146.2	0.00046594	5.9099	8.3328	171.40	21.462	32.112	332.44	2.3603	21.815	0.028897	vapor
300.00	5.2000	2146.2	0.00046594	5.9099	8.3328	171.40	21.462	32.112	332.44	2.3603	21.815	0.028897	supercritical
300.00	5.2000	2146.2	0.00046594	5.9099	8.3328	171.40	21.462	32.112	332.44	2.3603	21.815	0.028897	supercritical
300.00	5.4000	2230.9	0.00044826	5.8971	8.3177	171.04	21.477	32.222	332.63	2.3475	21.865	0.028998	supercritical
300.00	5.6000	2315.7	0.00043184	5.8843	8.3026	170.70	21.491	32.331	332.84	2.3346	21.915	0.029098	supercritical
300.00	5.8000	2400.6	0.00041656	5.8714	8.2875	170.37	21.505	32.441	333.05	2.3216	21.966	0.029200	supercritical
300.00	6.0000	2485.7	0.00040230	5.8586	8.2724	170.04	21.520	32.551	333.27	2.3085	22.017	0.029302	supercritical
300.00	6.2000	2570.9	0.00038898	5.8458	8.2574	169.73	21.534	32.661	333.50	2.2954	22.069	0.029404	supercritical
300.00	6.4000	2656.1	0.00037649	5.8330	8.2425	169.42	21.548	32.771	333.73	2.2821	22.121	0.029507	supercritical
300.00	6.6000	2741.5	0.00036476	5.8201	8.2275	169.13	21.562	32.881	333.98	2.2688	22.174	0.029611	supercritical
300.00	6.8000	2827.1	0.00035373	5.8073	8.2126	168.84	21.576	32.991	334.23	2.2555	22.227	0.029715	supercritical
300.00	7.0000	2912.7	0.00034333	5.7945	8.1978	168.56	21.590	33.102	334.49	2.2420	22.280	0.029820	supercritical
300.00	7.2000	2998.4	0.00033352	5.7816	8.1829	168.28	21.604	33.212	334.75	2.2285	22.335	0.029925	supercritical
300.00	7.4000	3084.1	0.00032424	5.7688	8.1682	168.01	21.617	33.322	335.03	2.2149	22.389	0.030031	supercritical
300.00	7.6000	3170.0	0.00031545	5.7560	8.1534	167.75	21.631	33.433	335.31	2.2013	22.445	0.030138	supercritical
300.00	7.8000	3256.0	0.00030713	5.7431	8.1387	167.49	21.645	33.543	335.60	2.1875	22.500	0.030245	supercritical
300.00	8.0000	3342.0	0.00029922	5.7303	8.1241	167.24	21.658	33.653	335.90	2.1738	22.557	0.030352	supercritical
300.00	8.2000	3428.1	0.00029170	5.7175	8.1095	167.00	21.672	33.764	336.21	2.1599	22.614	0.030461	supercritical
300.00	8.4000	3514.3	0.00028455	5.7047	8.0949	166.76	21.685	33.874	336.53	2.1461	22.671	0.030570	supercritical
300.00	8.6000	3600.6	0.00027774	5.6919	8.0804	166.52	21.698	33.984	336.85	2.1321	22.729	0.030680	supercritical
300.00	8.8000	3686.9	0.00027123	5.6790	8.0659	166.29	21.712	34.094	337.18	2.1181	22.788	0.030790	supercritical
300.00	9.0000	3773.2	0.00026503	5.6663	8.0515	166.06	21.725	34.204	337.52	2.1041	22.847	0.030901	supercritical
300.00	9.2000	3859.6	0.00025909	5.6535	8.0371	165.84	21.738	34.313	337.87	2.0900	22.907	0.031013	supercritical
300.00	9.4000	3946.1	0.00025342	5.6407	8.0228	165.62	21.751	34.422	338.23	2.0759	22.968	0.031125	supercritical
