Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
1200.0	0.0000	0.0000	infinite	28.468	38.445	-1.0000e+07	27.365	35.679	637.60	undefined	55.335	0.082488	vapor
1200.0	0.20000	20.036	0.049909	28.466	38.448	244.26	27.365	35.683	637.92	-0.39854	55.352	0.082511	vapor
1200.0	0.40000	40.054	0.024966	28.464	38.451	238.49	27.366	35.686	638.24	-0.39884	55.368	0.082533	vapor
1200.0	0.60000	60.053	0.016652	28.463	38.454	235.12	27.367	35.690	638.56	-0.39914	55.384	0.082556	vapor
1200.0	0.80000	80.034	0.012495	28.461	38.457	232.73	27.367	35.694	638.88	-0.39944	55.400	0.082578	vapor
1200.0	1.0000	99.996	0.010000	28.459	38.459	230.87	27.368	35.697	639.21	-0.39974	55.416	0.082601	vapor
1200.0	1.2000	119.94	0.0083375	28.457	38.462	229.35	27.369	35.701	639.53	-0.40004	55.432	0.082623	vapor
1200.0	1.4000	139.86	0.0071498	28.456	38.465	228.07	27.369	35.705	639.85	-0.40035	55.449	0.082645	vapor
1200.0	1.6000	159.77	0.0062589	28.454	38.468	226.96	27.370	35.708	640.17	-0.40065	55.465	0.082668	vapor
1200.0	1.8000	179.66	0.0055661	28.452	38.471	225.98	27.371	35.712	640.49	-0.40095	55.481	0.082690	vapor
1200.0	2.0000	199.53	0.0050118	28.450	38.474	225.10	27.371	35.715	640.82	-0.40125	55.497	0.082712	vapor
1200.0	2.2000	219.38	0.0045583	28.448	38.477	224.30	27.372	35.719	641.14	-0.40155	55.513	0.082735	vapor
1200.0	2.4000	239.21	0.0041804	28.447	38.479	223.58	27.373	35.723	641.46	-0.40186	55.529	0.082757	vapor
1200.0	2.6000	259.03	0.0038606	28.445	38.482	222.91	27.373	35.726	641.78	-0.40216	55.545	0.082779	vapor
1200.0	2.8000	278.82	0.0035865	28.443	38.485	222.29	27.374	35.730	642.11	-0.40246	55.561	0.082801	vapor
1200.0	3.0000	298.60	0.0033490	28.441	38.488	221.72	27.375	35.733	642.43	-0.40277	55.577	0.082824	vapor
1200.0	3.2000	318.36	0.0031411	28.439	38.491	221.18	27.375	35.737	642.75	-0.40307	55.593	0.082846	vapor
1200.0	3.4000	338.10	0.0029577	28.438	38.494	220.68	27.376	35.740	643.08	-0.40337	55.609	0.082868	vapor
1200.0	3.6000	357.82	0.0027947	28.436	38.497	220.20	27.376	35.744	643.40	-0.40368	55.625	0.082890	vapor
1200.0	3.8000	377.53	0.0026488	28.434	38.500	219.75	27.377	35.747	643.73	-0.40398	55.641	0.082912	vapor
1200.0	4.0000	397.21	0.0025175	28.432	38.503	219.32	27.378	35.751	644.05	-0.40428	55.657	0.082935	vapor
1200.0	4.2000	416.88	0.0023988	28.431	38.505	218.91	27.378	35.755	644.37	-0.40459	55.673	0.082957	vapor
1200.0	4.4000	436.53	0.0022908	28.429	38.508	218.52	27.379	35.758	644.70	-0.40489	55.689	0.082979	vapor
1200.0	4.6000	456.16	0.0021922	28.427	38.511	218.15	27.380	35.762	645.02	-0.40520	55.705	0.083001	vapor
1200.0	4.8000	475.77	0.0021018	28.425	38.514	217.80	27.380	35.765	645.35	-0.40550	55.721	0.083023	vapor
1200.0	5.0000	495.37	0.0020187	28.423	38.517	217.46	27.381	35.769	645.67	-0.40581	55.737	0.083045	vapor
1200.0	5.2000	514.94	0.0019420	28.422	38.520	217.13	27.381	35.772	646.00	-0.40611	55.753	0.083067	vapor
1200.0	5.2000	514.94	0.0019420	28.422	38.520	217.13	27.381	35.772	646.00	-0.40611	55.753	0.083067	supercritical
1200.0	5.2000	514.94	0.0019420	28.422	38.520	217.13	27.381	35.772	646.00	-0.40611	55.753	0.083067	supercritical
1200.0	5.4000	534.50	0.0018709	28.420	38.523	216.81	27.382	35.776	646.32	-0.40642	55.769	0.083089	supercritical
1200.0	5.6000	554.04	0.0018049	28.418	38.526	216.51	27.383	35.779	646.65	-0.40672	55.785	0.083111	supercritical
1200.0	5.8000	573.56	0.0017435	28.416	38.529	216.22	27.383	35.783	646.97	-0.40703	55.800	0.083133	supercritical
1200.0	6.0000	593.07	0.0016862	28.415	38.532	215.93	27.384	35.786	647.30	-0.40733	55.816	0.083155	supercritical
1200.0	6.2000	612.55	0.0016325	28.413	38.534	215.66	27.384	35.790	647.63	-0.40764	55.832	0.083177	supercritical
1200.0	6.4000	632.02	0.0015822	28.411	38.537	215.39	27.385	35.793	647.95	-0.40794	55.848	0.083199	supercritical
