Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
400.00	0.0000	0.0000	infinite	8.3798	11.705	-1.0000e+07	21.792	30.107	378.93	undefined	25.821	0.033994	vapor
400.00	0.20000	60.139	0.016628	8.3713	11.697	208.09	21.800	30.157	379.16	1.4157	25.858	0.034062	vapor
400.00	0.40000	120.28	0.0083139	8.3629	11.688	202.31	21.808	30.207	379.40	1.4095	25.895	0.034129	vapor
400.00	0.60000	180.43	0.0055425	8.3544	11.680	198.92	21.816	30.257	379.64	1.4034	25.932	0.034197	vapor
400.00	0.80000	240.57	0.0041568	8.3460	11.671	196.50	21.824	30.307	379.89	1.3972	25.968	0.034265	vapor
400.00	1.0000	300.72	0.0033254	8.3376	11.663	194.63	21.831	30.357	380.13	1.3910	26.005	0.034332	vapor
400.00	1.2000	360.86	0.0027711	8.3292	11.655	193.09	21.839	30.407	380.38	1.3847	26.042	0.034400	vapor
400.00	1.4000	421.00	0.0023753	8.3208	11.646	191.79	21.847	30.457	380.64	1.3785	26.079	0.034468	vapor
400.00	1.6000	481.14	0.0020784	8.3123	11.638	190.66	21.854	30.507	380.89	1.3722	26.116	0.034535	vapor
400.00	1.8000	541.28	0.0018475	8.3039	11.629	189.66	21.862	30.557	381.15	1.3659	26.153	0.034603	vapor
400.00	2.0000	601.41	0.0016628	8.2955	11.621	188.76	21.870	30.607	381.41	1.3596	26.190	0.034671	vapor
400.00	2.2000	661.54	0.0015116	8.2871	11.613	187.95	21.877	30.657	381.68	1.3533	26.227	0.034738	vapor
400.00	2.4000	721.65	0.0013857	8.2788	11.604	187.20	21.885	30.706	381.95	1.3469	26.264	0.034806	vapor
400.00	2.6000	781.76	0.0012792	8.2704	11.596	186.52	21.892	30.756	382.22	1.3406	26.302	0.034874	vapor
400.00	2.8000	841.86	0.0011878	8.2620	11.588	185.88	21.900	30.806	382.49	1.3342	26.339	0.034942	vapor
400.00	3.0000	901.95	0.0011087	8.2536	11.580	185.29	21.907	30.856	382.77	1.3278	26.376	0.035010	vapor
