Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
700.00	0.0000	0.0000	infinite	15.359	21.179	-1.0000e+07	24.671	32.985	493.13	undefined	38.641	0.053947	vapor
700.00	0.20000	34.345	0.029116	15.356	21.179	225.70	24.673	32.999	493.48	0.10442	38.666	0.053985	vapor
700.00	0.40000	68.653	0.014566	15.352	21.178	219.94	24.675	33.012	493.83	0.10291	38.691	0.054024	vapor
700.00	0.60000	102.92	0.0097160	15.348	21.177	216.56	24.678	33.025	494.17	0.10140	38.716	0.054062	vapor
700.00	0.80000	137.16	0.0072910	15.344	21.177	214.16	24.680	33.038	494.52	0.099887	38.741	0.054101	vapor
700.00	1.0000	171.35	0.0058360	15.340	21.176	212.30	24.682	33.052	494.87	0.098376	38.766	0.054139	vapor
700.00	1.2000	205.51	0.0048660	15.336	21.175	210.78	24.685	33.065	495.22	0.096864	38.791	0.054178	vapor
700.00	1.4000	239.63	0.0041731	15.332	21.175	209.49	24.687	33.078	495.57	0.095352	38.816	0.054216	vapor
700.00	1.6000	273.71	0.0036535	15.329	21.174	208.38	24.689	33.091	495.92	0.093839	38.841	0.054254	vapor
700.00	1.8000	307.75	0.0032494	15.325	21.174	207.39	24.691	33.104	496.27	0.092326	38.866	0.054293	vapor
700.00	2.0000	341.76	0.0029260	15.321	21.173	206.51	24.693	33.117	496.62	0.090813	38.890	0.054331	vapor
700.00	2.2000	375.73	0.0026615	15.317	21.172	205.71	24.696	33.130	496.98	0.089299	38.915	0.054369	vapor
700.00	2.4000	409.66	0.0024411	15.313	21.172	204.98	24.698	33.143	497.33	0.087786	38.940	0.054407	vapor
700.00	2.6000	443.55	0.0022545	15.309	21.171	204.31	24.700	33.156	497.68	0.086272	38.965	0.054445	vapor
700.00	2.8000	477.41	0.0020947	15.306	21.171	203.69	24.702	33.169	498.04	0.084759	38.990	0.054483	vapor
700.00	3.0000	511.22	0.0019561	15.302	21.170	203.11	24.704	33.182	498.39	0.083245	39.015	0.054521	vapor
700.00	3.2000	545.00	0.0018349	15.298	21.169	202.57	24.707	33.195	498.75	0.081731	39.039	0.054560	vapor
700.00	3.4000	578.74	0.0017279	15.294	21.169	202.06	24.709	33.208	499.10	0.080217	39.064	0.054598	vapor
700.00	3.6000	612.44	0.0016328	15.290	21.168	201.58	24.711	33.221	499.46	0.078704	39.089	0.054635	vapor
700.00	3.8000	646.11	0.0015477	15.287	21.168	201.13	24.713	33.233	499.82	0.077190	39.113	0.054673	vapor
700.00	4.0000	679.73	0.0014712	15.283	21.167	200.69	24.715	33.246	500.18	0.075677	39.138	0.054711	vapor
700.00	4.2000	713.32	0.0014019	15.279	21.167	200.28	24.717	33.259	500.54	0.074164	39.163	0.054749	vapor
700.00	4.4000	746.87	0.0013389	15.275	21.166	199.89	24.720	33.272	500.90	0.072651	39.187	0.054787	vapor
700.00	4.6000	780.38	0.0012814	15.271	21.166	199.52	24.722	33.284	501.26	0.071138	39.212	0.054825	vapor
700.00	4.8000	813.85	0.0012287	15.268	21.165	199.16	24.724	33.297	501.62	0.069626	39.237	0.054863	vapor
