Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
550.00	0.0000	0.0000	infinite	11.759	16.332	-1.0000e+07	23.288	31.602	440.38	undefined	32.636	0.044374	vapor
550.00	0.20000	43.716	0.022875	11.754	16.329	217.91	23.291	31.626	440.70	0.53094	32.665	0.044423	vapor
550.00	0.40000	87.393	0.011443	11.748	16.325	212.14	23.295	31.649	441.03	0.52804	32.695	0.044472	vapor
550.00	0.60000	131.03	0.0076319	11.743	16.322	208.76	23.299	31.673	441.36	0.52514	32.725	0.044521	vapor
550.00	0.80000	174.63	0.0057265	11.737	16.319	206.36	23.303	31.696	441.69	0.52224	32.755	0.044570	vapor
550.00	1.0000	218.18	0.0045833	11.732	16.315	204.49	23.307	31.720	442.02	0.51933	32.785	0.044619	vapor
550.00	1.2000	261.70	0.0038212	11.727	16.312	202.97	23.311	31.743	442.36	0.51642	32.815	0.044668	vapor
550.00	1.4000	305.17	0.0032768	11.721	16.309	201.68	23.315	31.766	442.69	0.51351	32.845	0.044716	vapor
550.00	1.6000	348.61	0.0028686	11.716	16.305	200.56	23.318	31.790	443.03	0.51060	32.874	0.044765	vapor
550.00	1.8000	392.00	0.0025510	11.710	16.302	199.57	23.322	31.813	443.37	0.50769	32.904	0.044814	vapor
550.00	2.0000	435.35	0.0022970	11.705	16.299	198.68	23.326	31.836	443.70	0.50477	32.934	0.044863	vapor
550.00	2.2000	478.66	0.0020892	11.700	16.296	197.88	23.330	31.859	444.04	0.50186	32.964	0.044912	vapor
550.00	2.4000	521.93	0.0019160	11.694	16.293	197.15	23.334	31.882	444.38	0.49894	32.993	0.044960	vapor
550.00	2.6000	565.15	0.0017694	11.689	16.289	196.47	23.337	31.905	444.73	0.49602	33.023	0.045009	vapor
550.00	2.8000	608.33	0.0016438	11.683	16.286	195.84	23.341	31.928	445.07	0.49310	33.053	0.045058	vapor
550.00	3.0000	651.47	0.0015350	11.678	16.283	195.26	23.345	31.951	445.42	0.49018	33.083	0.045106	vapor
550.00	3.2000	694.57	0.0014397	11.673	16.280	194.72	23.348	31.974	445.76	0.48726	33.112	0.045155	vapor
550.00	3.4000	737.62	0.0013557	11.667	16.277	194.20	23.352	31.997	446.11	0.48434	33.142	0.045204	vapor
550.00	3.6000	780.63	0.0012810	11.662	16.274	193.72	23.356	32.020	446.46	0.48141	33.172	0.045252	vapor
550.00	3.8000	823.60	0.0012142	11.657	16.271	193.26	23.359	32.042	446.81	0.47849	33.201	0.045301	vapor
550.00	4.0000	866.52	0.0011540	11.651	16.268	192.82	23.363	32.065	447.16	0.47557	33.231	0.045349	vapor
550.00	4.2000	909.40	0.0010996	11.646	16.265	192.41	23.367	32.087	447.51	0.47264	33.261	0.045398	vapor
550.00	4.4000	952.24	0.0010502	11.641	16.262	192.01	23.370	32.110	447.87	0.46972	33.290	0.045446	vapor
550.00	4.6000	995.03	0.0010050	11.636	16.259	191.63	23.374	32.132	448.22	0.46679	33.320	0.045495	vapor
550.00	4.8000	1037.8	0.00096360	11.630	16.256	191.27	23.378	32.155	448.58	0.46387	33.350	0.045543	vapor
550.00	5.0000	1080.5	0.00092552	11.625	16.253	190.92	23.381	32.177	448.94	0.46095	33.379	0.045592	vapor
550.00	5.2000	1123.1	0.00089037	11.620	16.250	190.58	23.385	32.199	449.30	0.45802	33.409	0.045640	vapor
550.00	5.2000	1123.1	0.00089037	11.620	16.250	190.58	23.385	32.199	449.30	0.45802	33.409	0.045640	supercritical
550.00	5.2000	1123.1	0.00089037	11.620	16.250	190.58	23.385	32.199	449.30	0.45802	33.409	0.045640	supercritical
550.00	5.4000	1165.7	0.00085783	11.614	16.247	190.26	23.388	32.221	449.66	0.45510	33.439	0.045689	supercritical
550.00	5.6000	1208.3	0.00082761	11.609	16.244	189.95	23.392	32.243	450.02	0.45218	33.468	0.045737	supercritical
550.00	5.8000	1250.8	0.00079948	11.604	16.241	189.65	23.395	32.266	450.38	0.44925	33.498	0.045785	supercritical
550.00	6.0000	1293.3	0.00077322	11.599	16.238	189.36	23.399	32.288	450.75	0.44633	33.528	0.045834	supercritical
550.00	6.2000	1335.7	0.00074866	11.593	16.235	189.07	23.402	32.309	451.11	0.44341	33.557	0.045882	supercritical
550.00	6.4000	1378.1	0.00072564	11.588	16.232	188.80	23.406	32.331	451.48	0.44049	33.587	0.045931	supercritical
550.00	6.6000	1420.4	0.00070401	11.583	16.229	188.54	23.409	32.353	451.85	0.43757	33.617	0.045979	supercritical
550.00	6.8000	1462.7	0.00068366	11.578	16.227	188.28	23.413	32.375	452.22	0.43465	33.646	0.046027	supercritical
550.00	7.0000	1505.0	0.00066447	11.572	16.224	188.03	23.416	32.397	452.59	0.43173	33.676	0.046076	supercritical
550.00	7.2000	1547.1	0.00064635	11.567	16.221	187.79	23.420	32.418	452.96	0.42882	33.706	0.046124	supercritical
550.00	7.4000	1589.3	0.00062921	11.562	16.218	187.55	23.423	32.440	453.34	0.42590	33.736	0.046173	supercritical
550.00	7.6000	1631.4	0.00061298	11.557	16.215	187.32	23.427	32.461	453.71	0.42299	33.765	0.046221	supercritical
550.00	7.8000	1673.4	0.00059757	11.552	16.213	187.09	23.430	32.483	454.09	0.42008	33.795	0.046270	supercritical
550.00	8.0000	1715.4	0.00058294	11.546	16.210	186.87	23.433	32.504	454.46	0.41717	33.825	0.046318	supercritical
550.00	8.2000	1757.4	0.00056903	11.541	16.207	186.66	23.437	32.525	454.84	0.41426	33.855	0.046366	supercritical
550.00	8.4000	1799.3	0.00055577	11.536	16.205	186.45	23.440	32.547	455.22	0.41135	33.885	0.046415	supercritical
550.00	8.6000	1841.1	0.00054314	11.531	16.202	186.24	23.443	32.568	455.61	0.40845	33.914	0.046463	supercritical
550.00	8.8000	1882.9	0.00053108	11.526	16.199	186.04	23.447	32.589	455.99	0.40554	33.944	0.046512	supercritical
550.00	9.0000	1924.7	0.00051956	11.521	16.197	185.85	23.450	32.610	456.37	0.40264	33.974	0.046560	supercritical
550.00	9.2000	1966.4	0.00050854	11.515	16.194	185.66	23.453	32.631	456.76	0.39975	34.004	0.046609	supercritical
550.00	9.4000	2008.1	0.00049799	11.510	16.191	185.47	23.457	32.652	457.14	0.39685	34.034	0.046657	supercritical
550.00	9.6000	2049.7	0.00048788	11.505	16.189	185.29	23.460	32.672	457.53	0.39396	34.064	0.046706	supercritical
550.00	9.8000	2091.2	0.00047819	11.500	16.186	185.11	23.463	32.693	457.92	0.39106	34.094	0.046754	supercritical
550.00	10.000	2132.7	0.00046888	11.495	16.184	184.93	23.466	32.714	458.31	0.38817	34.124	0.046803	supercritical
