Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
1400.0	0.0000	0.0000	infinite	34.005	45.645	-1.0000e+07	27.981	36.296	686.92	undefined	61.166	0.093030	vapor
1400.0	0.20000	17.175	0.058225	34.003	45.648	249.80	27.982	36.298	687.22	-0.47511	61.180	0.093049	vapor
1400.0	0.40000	34.335	0.029125	34.002	45.652	244.04	27.982	36.301	687.53	-0.47530	61.194	0.093068	vapor
1400.0	0.60000	51.481	0.019425	34.000	45.655	240.67	27.983	36.303	687.83	-0.47549	61.208	0.093087	vapor
1400.0	0.80000	68.613	0.014574	33.999	45.659	238.28	27.983	36.306	688.14	-0.47568	61.222	0.093107	vapor
1400.0	1.0000	85.730	0.011664	33.998	45.662	236.42	27.984	36.308	688.45	-0.47587	61.237	0.093126	vapor
1400.0	1.2000	102.83	0.0097245	33.996	45.666	234.90	27.984	36.311	688.75	-0.47606	61.251	0.093145	vapor
1400.0	1.4000	119.92	0.0083387	33.995	45.669	233.62	27.985	36.313	689.06	-0.47625	61.265	0.093164	vapor
1400.0	1.6000	137.00	0.0072995	33.993	45.672	232.51	27.985	36.316	689.37	-0.47643	61.279	0.093183	vapor
1400.0	1.8000	154.06	0.0064911	33.992	45.676	231.53	27.986	36.318	689.67	-0.47662	61.293	0.093203	vapor
1400.0	2.0000	171.10	0.0058445	33.990	45.679	230.65	27.986	36.321	689.98	-0.47681	61.307	0.093222	vapor
1400.0	2.2000	188.13	0.0053154	33.989	45.683	229.86	27.986	36.323	690.29	-0.47700	61.321	0.093241	vapor
1400.0	2.4000	205.15	0.0048745	33.988	45.686	229.13	27.987	36.326	690.60	-0.47719	61.335	0.093260	vapor
1400.0	2.6000	222.15	0.0045014	33.986	45.690	228.47	27.987	36.328	690.90	-0.47738	61.349	0.093279	vapor
1400.0	2.8000	239.14	0.0041816	33.985	45.693	227.85	27.988	36.331	691.21	-0.47757	61.364	0.093298	vapor
1400.0	3.0000	256.12	0.0039045	33.983	45.697	227.27	27.988	36.333	691.52	-0.47776	61.378	0.093317	vapor
1400.0	3.2000	273.08	0.0036620	33.982	45.700	226.74	27.989	36.336	691.83	-0.47795	61.392	0.093336	vapor
1400.0	3.4000	290.02	0.0034480	33.980	45.704	226.23	27.989	36.338	692.14	-0.47814	61.406	0.093355	vapor
1400.0	3.6000	306.96	0.0032578	33.979	45.707	225.76	27.990	36.340	692.44	-0.47833	61.420	0.093374	vapor
1400.0	3.8000	323.87	0.0030876	33.978	45.711	225.30	27.990	36.343	692.75	-0.47852	61.434	0.093393	vapor
1400.0	4.0000	340.78	0.0029345	33.976	45.714	224.88	27.990	36.345	693.06	-0.47871	61.448	0.093412	vapor
1400.0	4.2000	357.67	0.0027959	33.975	45.718	224.47	27.991	36.348	693.37	-0.47890	61.462	0.093431	vapor
1400.0	4.4000	374.54	0.0026699	33.973	45.721	224.08	27.991	36.350	693.68	-0.47909	61.476	0.093450	vapor
1400.0	4.6000	391.40	0.0025549	33.972	45.725	223.71	27.992	36.353	693.99	-0.47928	61.490	0.093469	vapor
1400.0	4.8000	408.25	0.0024495	33.971	45.728	223.36	27.992	36.355	694.30	-0.47947	61.504	0.093488	vapor
1400.0	5.0000	425.08	0.0023525	33.969	45.732	223.02	27.993	36.358	694.60	-0.47967	61.518	0.093507	vapor
1400.0	5.2000	441.90	0.0022630	33.968	45.735	222.69	27.993	36.360	694.91	-0.47986	61.532	0.093526	vapor
1400.0	5.2000	441.90	0.0022630	33.968	45.735	222.69	27.993	36.360	694.91	-0.47986	61.532	0.093526	supercritical
1400.0	5.2000	441.90	0.0022630	33.968	45.735	222.69	27.993	36.360	694.91	-0.47986	61.532	0.093526	supercritical
1400.0	5.4000	458.70	0.0021801	33.966	45.739	222.38	27.993	36.362	695.22	-0.48005	61.545	0.093545	supercritical
1400.0	5.6000	475.50	0.0021031	33.965	45.742	222.07	27.994	36.365	695.53	-0.48024	61.559	0.093564	supercritical
1400.0	5.8000	492.27	0.0020314	33.963	45.745	221.78	27.994	36.367	695.84	-0.48043	61.573	0.093583	supercritical
1400.0	6.0000	509.03	0.0019645	33.962	45.749	221.50	27.995	36.370	696.15	-0.48062	61.587	0.093602	supercritical
1400.0	6.2000	525.78	0.0019019	33.961	45.752	221.22	27.995	36.372	696.46	-0.48081	61.601	0.093621	supercritical
1400.0	6.4000	542.52	0.0018433	33.959	45.756	220.96	27.995	36.374	696.77	-0.48100	61.615	0.093639	supercritical
1400.0	6.6000	559.24	0.0017882	33.958	45.759	220.70	27.996	36.377	697.08	-0.48120	61.629	0.093658	supercritical
1400.0	6.8000	575.94	0.0017363	33.956	45.763	220.45	27.996	36.379	697.39	-0.48139	61.643	0.093677	supercritical
1400.0	7.0000	592.63	0.0016874	33.955	45.766	220.21	27.997	36.382	697.70	-0.48158	61.657	0.093696	supercritical
1400.0	7.2000	609.31	0.0016412	33.953	45.770	219.97	27.997	36.384	698.01	-0.48177	61.670	0.093715	supercritical
1400.0	7.4000	625.98	0.0015975	33.952	45.774	219.75	27.997	36.386	698.33	-0.48196	61.684	0.093734	supercritical
1400.0	7.6000	642.63	0.0015561	33.951	45.777	219.52	27.998	36.389	698.64	-0.48216	61.698	0.093752	supercritical
1400.0	7.8000	659.26	0.0015168	33.949	45.781	219.31	27.998	36.391	698.95	-0.48235	61.712	0.093771	supercritical
1400.0	8.0000	675.89	0.0014795	33.948	45.784	219.09	27.999	36.394	699.26	-0.48254	61.726	0.093790	supercritical
1400.0	8.2000	692.49	0.0014441	33.946	45.788	218.89	27.999	36.396	699.57	-0.48273	61.739	0.093809	supercritical
1400.0	8.4000	709.09	0.0014103	33.945	45.791	218.69	27.999	36.398	699.88	-0.48292	61.753	0.093827	supercritical
1400.0	8.6000	725.67	0.0013780	33.943	45.795	218.49	28.000	36.401	700.19	-0.48311	61.767	0.093846	supercritical
1400.0	8.8000	742.24	0.0013473	33.942	45.798	218.30	28.000	36.403	700.51	-0.48331	61.781	0.093865	supercritical
1400.0	9.0000	758.79	0.0013179	33.941	45.802	218.11	28.001	36.406	700.82	-0.48350	61.795	0.093883	supercritical
1400.0	9.2000	775.33	0.0012898	33.939	45.805	217.93	28.001	36.408	701.13	-0.48369	61.808	0.093902	supercritical
1400.0	9.4000	791.85	0.0012629	33.938	45.809	217.75	28.001	36.410	701.44	-0.48388	61.822	0.093921	supercritical
1400.0	9.6000	808.36	0.0012371	33.936	45.812	217.57	28.002	36.413	701.75	-0.48408	61.836	0.093939	supercritical
1400.0	9.8000	824.86	0.0012123	33.935	45.816	217.40	28.002	36.415	702.07	-0.48427	61.849	0.093958	supercritical
1400.0	10.000	841.34	0.0011886	33.933	45.819	217.23	28.002	36.417	702.38	-0.48446	61.863	0.093977	supercritical
