Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
420.00	0.0000	0.0000	infinite	15.815	19.308	-1.0000e+07	33.432	41.746	521.35	undefined	14.733	0.053224	vapor
420.00	0.0010000	0.28636	3.4921	15.815	19.308	158.65	33.432	41.747	521.35	1.9816	14.733	0.053225	vapor
420.00	0.0020000	0.57273	1.7460	15.815	19.307	152.89	33.432	41.747	521.35	1.9815	14.733	0.053226	vapor
420.00	0.0030000	0.85909	1.1640	15.815	19.307	149.52	33.432	41.747	521.35	1.9815	14.733	0.053226	vapor
420.00	0.0040000	1.1455	0.87301	15.815	19.307	147.13	33.432	41.748	521.35	1.9814	14.733	0.053227	vapor
420.00	0.0050000	1.4318	0.69841	15.815	19.307	145.27	33.432	41.748	521.35	1.9814	14.733	0.053227	vapor
420.00	0.0060000	1.7182	0.58200	15.815	19.307	143.76	33.432	41.749	521.35	1.9814	14.734	0.053228	vapor
420.00	0.0070000	2.0046	0.49886	15.815	19.307	142.47	33.432	41.749	521.36	1.9813	14.734	0.053229	vapor
420.00	0.0080000	2.2910	0.43650	15.815	19.307	141.36	33.432	41.749	521.36	1.9813	14.734	0.053229	vapor
420.00	0.0090000	2.5773	0.38800	15.815	19.307	140.38	33.432	41.750	521.36	1.9812	14.734	0.053230	vapor
420.00	0.010000	2.8637	0.34920	15.815	19.307	139.51	33.432	41.750	521.36	1.9812	14.734	0.053230	vapor
420.00	0.011000	3.1501	0.31745	15.815	19.307	138.72	33.432	41.751	521.36	1.9812	14.734	0.053231	vapor
420.00	0.012000	3.4365	0.29100	15.815	19.307	137.99	33.432	41.751	521.36	1.9811	14.734	0.053231	vapor
420.00	0.013000	3.7229	0.26861	15.815	19.307	137.33	33.432	41.751	521.36	1.9811	14.734	0.053232	vapor
420.00	0.014000	4.0092	0.24942	15.815	19.306	136.71	33.432	41.752	521.36	1.9810	14.734	0.053232	vapor
420.00	0.015000	4.2956	0.23279	15.814	19.306	136.14	33.433	41.752	521.36	1.9810	14.735	0.053233	vapor
420.00	0.016000	4.5820	0.21824	15.814	19.306	135.60	33.433	41.753	521.36	1.9810	14.735	0.053233	vapor
420.00	0.017000	4.8684	0.20541	15.814	19.306	135.09	33.433	41.753	521.36	1.9809	14.735	0.053234	vapor
420.00	0.018000	5.1548	0.19399	15.814	19.306	134.62	33.433	41.753	521.36	1.9809	14.735	0.053234	vapor
420.00	0.019000	5.4412	0.18378	15.814	19.306	134.17	33.433	41.754	521.36	1.9809	14.735	0.053235	vapor
420.00	0.020000	5.7276	0.17459	15.814	19.306	133.74	33.433	41.754	521.36	1.9808	14.735	0.053235	vapor
420.00	0.021000	6.0140	0.16628	15.814	19.306	133.34	33.433	41.754	521.36	1.9808	14.735	0.053236	vapor
420.00	0.022000	6.3004	0.15872	15.814	19.306	132.95	33.433	41.755	521.36	1.9807	14.735	0.053236	vapor
420.00	0.023000	6.5868	0.15182	15.814	19.306	132.58	33.433	41.755	521.36	1.9807	14.735	0.053237	vapor
420.00	0.024000	6.8732	0.14549	15.814	19.306	132.23	33.433	41.756	521.36	1.9807	14.735	0.053237	vapor
420.00	0.025000	7.1596	0.13967	15.814	19.306	131.89	33.433	41.756	521.36	1.9806	14.736	0.053238	vapor
420.00	0.026000	7.4461	0.13430	15.814	19.305	131.56	33.433	41.756	521.36	1.9806	14.736	0.053238	vapor
420.00	0.027000	7.7325	0.12932	15.814	19.305	131.25	33.433	41.757	521.36	1.9805	14.736	0.053238	vapor
420.00	0.028000	8.0189	0.12471	15.814	19.305	130.94	33.433	41.757	521.36	1.9805	14.736	0.053239	vapor
420.00	0.029000	8.3053	0.12041	15.813	19.305	130.65	33.433	41.758	521.36	1.9805	14.736	0.053239	vapor
420.00	0.030000	8.5917	0.11639	15.813	19.305	130.37	33.433	41.758	521.36	1.9804	14.736	0.053240	vapor
420.00	0.031000	8.8781	0.11264	15.813	19.305	130.10	33.433	41.758	521.36	1.9804	14.736	0.053240	vapor
420.00	0.032000	9.1646	0.10912	15.813	19.305	129.83	33.434	41.759	521.36	1.9803	14.736	0.053241	vapor
420.00	0.033000	9.4510	0.10581	15.813	19.305	129.58	33.434	41.759	521.36	1.9803	14.736	0.053241	vapor
420.00	0.034000	9.7374	0.10270	15.813	19.305	129.33	33.434	41.760	521.36	1.9803	14.737	0.053242	vapor
420.00	0.035000	10.024	0.099762	15.813	19.305	129.09	33.434	41.760	521.36	1.9802	14.737	0.053242	vapor
420.00	0.036000	10.310	0.096991	15.813	19.305	128.85	33.434	41.760	521.36	1.9802	14.737	0.053243	vapor
420.00	0.037000	10.597	0.094369	15.813	19.305	128.63	33.434	41.761	521.36	1.9801	14.737	0.053243	vapor
420.00	0.038000	10.883	0.091885	15.813	19.304	128.40	33.434	41.761	521.36	1.9801	14.737	0.053244	vapor
420.00	0.039000	11.170	0.089529	15.813	19.304	128.19	33.434	41.762	521.36	1.9801	14.737	0.053244	vapor
420.00	0.040000	11.456	0.087290	15.813	19.304	127.98	33.434	41.762	521.36	1.9800	14.737	0.053245	vapor
420.00	0.041000	11.742	0.085161	15.813	19.304	127.77	33.434	41.762	521.36	1.9800	14.737	0.053245	vapor
420.00	0.042000	12.029	0.083133	15.813	19.304	127.57	33.434	41.763	521.36	1.9799	14.737	0.053246	vapor
420.00	0.043000	12.315	0.081200	15.812	19.304	127.37	33.434	41.763	521.36	1.9799	14.737	0.053246	vapor
420.00	0.044000	12.602	0.079354	15.812	19.304	127.18	33.434	41.764	521.36	1.9799	14.738	0.053247	vapor
420.00	0.045000	12.888	0.077590	15.812	19.304	127.00	33.434	41.764	521.36	1.9798	14.738	0.053247	vapor
420.00	0.046000	13.175	0.075903	15.812	19.304	126.81	33.434	41.764	521.36	1.9798	14.738	0.053247	vapor
420.00	0.047000	13.461	0.074288	15.812	19.304	126.63	33.434	41.765	521.36	1.9798	14.738	0.053248	vapor
420.00	0.048000	13.748	0.072740	15.812	19.304	126.46	33.434	41.765	521.36	1.9797	14.738	0.053248	vapor
420.00	0.049000	14.034	0.071255	15.812	19.304	126.29	33.435	41.766	521.36	1.9797	14.738	0.053249	vapor
420.00	0.050000	14.321	0.069830	15.812	19.303	126.12	33.435	41.766	521.37	1.9796	14.738	0.053249	vapor
420.00	0.051000	14.607	0.068460	15.812	19.303	125.95	33.435	41.766	521.37	1.9796	14.738	0.053250	vapor
420.00	0.052000	14.893	0.067144	15.812	19.303	125.79	33.435	41.767	521.37	1.9796	14.738	0.053250	vapor
420.00	0.053000	15.180	0.065877	15.812	19.303	125.63	33.435	41.767	521.37	1.9795	14.739	0.053251	vapor
420.00	0.054000	15.466	0.064656	15.812	19.303	125.48	33.435	41.768	521.37	1.9795	14.739	0.053251	vapor
420.00	0.055000	15.753	0.063481	15.812	19.303	125.33	33.435	41.768	521.37	1.9794	14.739	0.053252	vapor
420.00	0.056000	16.039	0.062347	15.812	19.303	125.18	33.435	41.768	521.37	1.9794	14.739	0.053252	vapor
420.00	0.057000	16.326	0.061253	15.811	19.303	125.03	33.435	41.769	521.37	1.9794	14.739	0.053253	vapor
420.00	0.058000	16.612	0.060197	15.811	19.303	124.88	33.435	41.769	521.37	1.9793	14.739	0.053253	vapor
420.00	0.059000	16.899	0.059176	15.811	19.303	124.74	33.435	41.770	521.37	1.9793	14.739	0.053254	vapor
420.00	0.060000	17.185	0.058190	15.811	19.303	124.60	33.435	41.770	521.37	1.9792	14.739	0.053254	vapor
420.00	0.061000	17.472	0.057236	15.811	19.303	124.46	33.435	41.770	521.37	1.9792	14.739	0.053254	vapor
420.00	0.062000	17.758	0.056312	15.811	19.302	124.33	33.435	41.771	521.37	1.9792	14.740	0.053255	vapor
420.00	0.063000	18.045	0.055418	15.811	19.302	124.20	33.435	41.771	521.37	1.9791	14.740	0.053255	vapor
420.00	0.064000	18.331	0.054552	15.811	19.302	124.06	33.435	41.771	521.37	1.9791	14.740	0.053256	vapor
420.00	0.065000	18.618	0.053713	15.811	19.302	123.94	33.435	41.772	521.37	1.9790	14.740	0.053256	vapor
420.00	0.066000	18.904	0.052899	15.811	19.302	123.81	33.436	41.772	521.37	1.9790	14.740	0.053257	vapor
420.00	0.067000	19.191	0.052109	15.811	19.302	123.68	33.436	41.773	521.37	1.9790	14.740	0.053257	vapor
420.00	0.068000	19.477	0.051342	15.811	19.302	123.56	33.436	41.773	521.37	1.9789	14.740	0.053258	vapor
420.00	0.069000	19.764	0.050598	15.811	19.302	123.44	33.436	41.773	521.37	1.9789	14.740	0.053258	vapor
420.00	0.070000	20.050	0.049875	15.811	19.302	123.32	33.436	41.774	521.37	1.9788	14.740	0.053259	vapor
