Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
190.00	0.0000	0.0000	infinite	9.3262	10.906	-1.0000e+07	25.125	33.439	362.02	undefined	7.3176	0.020328	vapor
190.00	0.0010000	0.63306	1.5796	9.3259	10.906	130.10	25.126	33.443	362.00	10.140	7.3177	0.020337	vapor
190.00	0.0020000	1.2662	0.78976	9.3257	10.905	124.34	25.126	33.446	361.99	10.140	7.3178	0.020342	vapor
190.00	0.0030000	1.8994	0.52647	9.3255	10.905	120.97	25.127	33.449	361.97	10.141	7.3179	0.020345	vapor
190.00	0.0040000	2.5328	0.39482	9.3253	10.905	118.57	25.128	33.452	361.96	10.141	7.3181	0.020348	vapor
190.00	0.0050000	3.1662	0.31584	9.3250	10.904	116.72	25.129	33.455	361.94	10.141	7.3182	0.020351	vapor
190.00	0.0060000	3.7997	0.26318	9.3248	10.904	115.20	25.129	33.458	361.93	10.142	7.3183	0.020353	vapor
190.00	0.0070000	4.4333	0.22556	9.3246	10.904	113.92	25.130	33.461	361.91	10.142	7.3184	0.020356	vapor
190.00	0.0080000	5.0670	0.19735	9.3244	10.903	112.80	25.131	33.464	361.90	10.143	7.3185	0.020358	vapor
190.00	0.0090000	5.7008	0.17541	9.3241	10.903	111.82	25.131	33.467	361.88	10.143	7.3186	0.020360	vapor
190.00	0.010000	6.3347	0.15786	9.3239	10.903	110.95	25.132	33.470	361.87	10.143	7.3187	0.020362	vapor
190.00	0.011000	6.9687	0.14350	9.3237	10.902	110.15	25.133	33.473	361.85	10.144	7.3189	0.020365	vapor
190.00	0.012000	7.6028	0.13153	9.3235	10.902	109.43	25.134	33.476	361.84	10.144	7.3190	0.020367	vapor
190.00	0.013000	8.2370	0.12140	9.3232	10.901	108.76	25.134	33.480	361.82	10.145	7.3191	0.020369	vapor
190.00	0.014000	8.8712	0.11272	9.3230	10.901	108.14	25.135	33.483	361.81	10.145	7.3192	0.020371	vapor
190.00	0.015000	9.5056	0.10520	9.3228	10.901	107.57	25.136	33.486	361.79	10.145	7.3193	0.020372	vapor
190.00	0.016000	10.140	0.098619	9.3226	10.900	107.03	25.137	33.489	361.78	10.146	7.3194	0.020374	vapor
190.00	0.017000	10.775	0.092811	9.3223	10.900	106.53	25.137	33.492	361.76	10.146	7.3196	0.020376	vapor
190.00	0.018000	11.409	0.087649	9.3221	10.900	106.05	25.138	33.495	361.75	10.146	7.3197	0.020378	vapor
190.00	0.019000	12.044	0.083029	9.3219	10.899	105.60	25.139	33.498	361.73	10.147	7.3198	0.020380	vapor
190.00	0.020000	12.679	0.078872	9.3217	10.899	105.17	25.139	33.501	361.72	10.147	7.3199	0.020382	vapor
190.00	0.021000	13.314	0.075111	9.3215	10.899	104.76	25.140	33.504	361.70	10.148	7.3200	0.020383	vapor
190.00	0.022000	13.949	0.071691	9.3212	10.898	104.38	25.141	33.507	361.69	10.148	7.3201	0.020385	vapor
190.00	0.023000	14.584	0.068569	9.3210	10.898	104.01	25.142	33.511	361.67	10.148	7.3202	0.020387	vapor
190.00	0.024000	15.219	0.065707	9.3208	10.898	103.65	25.142	33.514	361.66	10.149	7.3204	0.020389	vapor
190.00	0.025000	15.854	0.063075	9.3206	10.897	103.31	25.143	33.517	361.64	10.149	7.3205	0.020390	vapor
