Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
240.00	0.0000	0.0000	infinite	10.595	12.591	-1.0000e+07	25.744	34.058	405.66	undefined	9.1116	0.026313	vapor
240.00	0.0010000	0.50115	1.9954	10.595	12.590	137.97	25.744	34.060	405.65	6.6815	9.1118	0.026316	vapor
240.00	0.0020000	1.0023	0.99767	10.595	12.590	132.21	25.744	34.061	405.64	6.6815	9.1119	0.026318	vapor
240.00	0.0030000	1.5036	0.66509	10.595	12.590	128.84	25.745	34.063	405.63	6.6815	9.1120	0.026320	vapor
240.00	0.0040000	2.0048	0.49880	10.595	12.590	126.44	25.745	34.065	405.63	6.6815	9.1122	0.026321	vapor
240.00	0.0050000	2.5061	0.39902	10.594	12.589	124.59	25.745	34.066	405.62	6.6815	9.1123	0.026322	vapor
240.00	0.0060000	3.0074	0.33251	10.594	12.589	123.07	25.746	34.068	405.61	6.6815	9.1124	0.026324	vapor
240.00	0.0070000	3.5088	0.28500	10.594	12.589	121.79	25.746	34.070	405.60	6.6815	9.1126	0.026325	vapor
240.00	0.0080000	4.0102	0.24936	10.594	12.589	120.68	25.746	34.071	405.60	6.6816	9.1127	0.026326	vapor
240.00	0.0090000	4.5116	0.22165	10.594	12.589	119.70	25.747	34.073	405.59	6.6816	9.1128	0.026327	vapor
240.00	0.010000	5.0131	0.19948	10.594	12.588	118.82	25.747	34.074	405.58	6.6816	9.1130	0.026328	vapor
240.00	0.011000	5.5146	0.18134	10.593	12.588	118.03	25.747	34.076	405.57	6.6816	9.1131	0.026329	vapor
240.00	0.012000	6.0162	0.16622	10.593	12.588	117.30	25.748	34.078	405.57	6.6816	9.1132	0.026330	vapor
240.00	0.013000	6.5178	0.15343	10.593	12.588	116.64	25.748	34.079	405.56	6.6816	9.1134	0.026332	vapor
240.00	0.014000	7.0194	0.14246	10.593	12.587	116.02	25.748	34.081	405.55	6.6816	9.1135	0.026333	vapor
240.00	0.015000	7.5210	0.13296	10.593	12.587	115.45	25.748	34.082	405.54	6.6816	9.1136	0.026334	vapor
240.00	0.016000	8.0227	0.12465	10.593	12.587	114.91	25.749	34.084	405.54	6.6816	9.1138	0.026335	vapor
240.00	0.017000	8.5245	0.11731	10.592	12.587	114.40	25.749	34.086	405.53	6.6816	9.1139	0.026336	vapor
240.00	0.018000	9.0262	0.11079	10.592	12.587	113.93	25.749	34.087	405.52	6.6816	9.1140	0.026337	vapor
240.00	0.019000	9.5280	0.10495	10.592	12.586	113.48	25.750	34.089	405.52	6.6817	9.1142	0.026338	vapor
240.00	0.020000	10.030	0.099702	10.592	12.586	113.05	25.750	34.091	405.51	6.6817	9.1143	0.026339	vapor
240.00	0.021000	10.532	0.094951	10.592	12.586	112.64	25.750	34.092	405.50	6.6817	9.1144	0.026340	vapor
240.00	0.022000	11.034	0.090632	10.592	12.586	112.26	25.751	34.094	405.49	6.6817	9.1146	0.026341	vapor
240.00	0.023000	11.536	0.086688	10.592	12.585	111.89	25.751	34.095	405.49	6.6817	9.1147	0.026342	vapor
240.00	0.024000	12.038	0.083073	10.591	12.585	111.53	25.751	34.097	405.48	6.6817	9.1148	0.026343	vapor
240.00	0.025000	12.540	0.079747	10.591	12.585	111.19	25.752	34.099	405.47	6.6817	9.1150	0.026344	vapor
240.00	0.026000	13.042	0.076677	10.591	12.585	110.87	25.752	34.100	405.46	6.6817	9.1151	0.026345	vapor
240.00	0.027000	13.544	0.073835	10.591	12.584	110.55	25.752	34.102	405.46	6.6817	9.1152	0.026346	vapor
