Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
120.00	0.0000	0.0000	infinite	7.5753	8.5730	-1.0000e+07	24.967	33.282	287.93	undefined	4.6746	0.012086	vapor
120.00	0.0010000	1.0025	0.99747	7.5747	8.5722	114.79	24.972	33.295	287.88	23.943	4.6745	0.012089	vapor
120.00	0.0020000	2.0056	0.49860	7.5742	8.5714	109.02	24.977	33.309	287.83	23.956	4.6743	0.012092	vapor
120.00	0.0030000	3.0093	0.33231	7.5737	8.5706	105.64	24.983	33.323	287.78	23.970	4.6741	0.012094	vapor
120.00	0.0040000	4.0135	0.24916	7.5732	8.5698	103.25	24.988	33.337	287.73	23.983	4.6739	0.012096	vapor
120.00	0.0050000	5.0182	0.19927	7.5726	8.5690	101.39	24.993	33.351	287.69	23.997	4.6738	0.012098	vapor
120.00	0.0060000	6.0235	0.16602	7.5721	8.5682	99.867	24.998	33.365	287.64	24.010	4.6736	0.012099	vapor
120.00	0.0070000	7.0294	0.14226	7.5716	8.5674	98.581	25.004	33.380	287.59	24.023	4.6734	0.012101	vapor
120.00	0.0080000	8.0358	0.12444	7.5711	8.5666	97.466	25.009	33.394	287.54	24.036	4.6732	0.012103	vapor
120.00	0.0090000	9.0428	0.11059	7.5705	8.5658	96.482	25.014	33.408	287.49	24.049	4.6730	0.012105	vapor
120.00	0.010000	10.050	0.099499	7.5700	8.5650	95.602	25.020	33.422	287.44	24.062	4.6729	0.012107	vapor
120.00	0.011000	11.058	0.090429	7.5695	8.5642	94.805	25.025	33.437	287.39	24.075	4.6727	0.012109	vapor
120.00	0.012000	12.067	0.082870	7.5690	8.5634	94.077	25.030	33.451	287.34	24.087	4.6725	0.012111	vapor
120.00	0.013000	13.076	0.076474	7.5684	8.5626	93.407	25.036	33.466	287.29	24.100	4.6723	0.012113	vapor
120.00	0.014000	14.086	0.070992	7.5679	8.5618	92.787	25.041	33.480	287.24	24.112	4.6721	0.012115	vapor
120.00	0.015000	15.096	0.066241	7.5674	8.5610	92.209	25.047	33.495	287.19	24.125	4.6720	0.012116	vapor
120.00	0.016000	16.107	0.062083	7.5668	8.5602	91.668	25.052	33.509	287.14	24.137	4.6718	0.012118	vapor
120.00	0.017000	17.119	0.058415	7.5663	8.5594	91.159	25.058	33.524	287.09	24.149	4.6716	0.012120	vapor
120.00	0.018000	18.131	0.055154	7.5658	8.5585	90.679	25.063	33.538	287.05	24.161	4.6714	0.012122	vapor
120.00	0.019000	19.144	0.052237	7.5652	8.5577	90.225	25.069	33.553	287.00	24.173	4.6712	0.012124	vapor
120.00	0.020000	20.157	0.049611	7.5647	8.5569	89.794	25.074	33.568	286.95	24.185	4.6710	0.012126	vapor
120.00	0.021000	21.171	0.047235	7.5642	8.5561	89.384	25.080	33.583	286.90	24.197	4.6708	0.012128	vapor
120.00	0.022000	22.185	0.045076	7.5636	8.5553	88.993	25.085	33.597	286.85	24.209	4.6706	0.012130	vapor
120.00	0.023000	23.200	0.043104	7.5631	8.5545	88.619	25.091	33.612	286.80	24.221	4.6705	0.012132	vapor
