Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
95.000	0.0000	0.0000	infinite	6.9512	7.7411	-1.0000e+07	24.960	33.275	256.20	undefined	3.7590	0.0092285	vapor
95.000	0.0010000	1.2667	0.78944	6.9503	7.7397	107.01	24.977	33.311	256.11	41.011	3.7582	0.0092319	vapor
95.000	0.0020000	2.5348	0.39450	6.9493	7.7383	101.23	24.995	33.349	256.02	41.127	3.7574	0.0092345	vapor
95.000	0.0030000	3.8044	0.26285	6.9484	7.7370	97.853	25.012	33.386	255.93	41.239	3.7567	0.0092371	vapor
95.000	0.0040000	5.0754	0.19703	6.9474	7.7356	95.451	25.030	33.424	255.84	41.346	3.7559	0.0092398	vapor
95.000	0.0050000	6.3478	0.15754	6.9465	7.7342	93.586	25.048	33.463	255.75	41.450	3.7551	0.0092426	vapor
95.000	0.0060000	7.6216	0.13121	6.9456	7.7328	92.060	25.067	33.502	255.66	41.550	3.7543	0.0092454	vapor
95.000	0.0070000	8.8969	0.11240	6.9446	7.7314	90.768	25.085	33.541	255.57	41.647	3.7535	0.0092484	vapor
95.000	0.0080000	10.174	0.098294	6.9437	7.7300	89.648	25.104	33.581	255.48	41.741	3.7527	0.0092515	vapor
95.000	0.0090000	11.452	0.087322	6.9427	7.7286	88.658	25.123	33.621	255.39	41.832	3.7518	0.0092547	vapor
95.000	0.010000	12.731	0.078546	6.9417	7.7272	87.772	25.143	33.662	255.30	41.921	3.7510	0.0092580	vapor
95.000	0.011000	14.013	0.071364	6.9408	7.7258	86.969	25.162	33.703	255.21	42.008	3.7502	0.0092614	vapor
95.000	0.012000	15.295	0.065380	6.9398	7.7244	86.236	25.182	33.744	255.12	42.092	3.7493	0.0092650	vapor
95.000	0.013000	16.579	0.060316	6.9388	7.7229	85.560	25.202	33.786	255.03	42.175	3.7485	0.0092687	vapor
95.000	0.014000	17.865	0.055975	6.9379	7.7215	84.933	25.222	33.829	254.93	42.256	3.7476	0.0092724	vapor
95.000	0.015000	19.152	0.052214	6.9369	7.7201	84.349	25.243	33.871	254.84	42.336	3.7468	0.0092764	vapor
95.000	0.016000	20.441	0.048922	6.9359	7.7186	83.802	25.264	33.915	254.75	42.416	3.7459	0.0092804	vapor
95.000	0.017000	21.731	0.046017	6.9349	7.7172	83.288	25.285	33.958	254.66	42.494	3.7450	0.0092846	vapor
95.000	0.018000	23.023	0.043436	6.9339	7.7158	82.802	25.306	34.002	254.56	42.572	3.7441	0.0092889	vapor
95.000	0.019000	24.316	0.041126	6.9329	7.7143	82.342	25.328	34.047	254.47	42.650	3.7433	0.0092933	vapor
95.000	0.019815	25.371	0.039415	6.9321	7.7131	81.984	25.345	34.084	254.39	42.714	3.7425	0.0092970	vapor
95.000	0.019815	27782.	3.5994e-05	-0.91951	-0.91880	-8.8784	34.350	54.294	1499.1	-0.47188	171.18	0.20596	liquid
95.000	0.020000	27782.	3.5994e-05	-0.91951	-0.91879	-8.8784	34.350	54.294	1499.1	-0.47188	171.18	0.20596	liquid
95.000	0.021000	27782.	3.5994e-05	-0.91952	-0.91877	-8.8785	34.350	54.294	1499.1	-0.47188	171.18	0.20596	liquid
95.000	0.022000	27782.	3.5994e-05	-0.91953	-0.91874	-8.8786	34.350	54.294	1499.1	-0.47188	171.18	0.20596	liquid
95.000	0.023000	27782.	3.5994e-05	-0.91954	-0.91872	-8.8787	34.351	54.294	1499.1	-0.47188	171.18	0.20596	liquid
95.000	0.024000	27782.	3.5994e-05	-0.91955	-0.91869	-8.8788	34.351	54.294	1499.1	-0.47189	171.18	0.20597	liquid
95.000	0.025000	27783.	3.5994e-05	-0.91956	-0.91866	-8.8789	34.351	54.294	1499.1	-0.47189	171.19	0.20597	liquid
95.000	0.026000	27783.	3.5994e-05	-0.91957	-0.91864	-8.8791	34.351	54.294	1499.2	-0.47189	171.19	0.20597	liquid
