Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
360.00	0.0000	0.0000	infinite	13.910	16.903	-1.0000e+07	30.148	38.462	487.89	undefined	12.990	0.043098	vapor
360.00	0.0010000	0.33409	2.9932	13.910	16.903	152.48	30.148	38.463	487.89	2.8957	12.990	0.043100	vapor
360.00	0.0020000	0.66819	1.4966	13.910	16.903	146.72	30.148	38.464	487.89	2.8956	12.990	0.043100	vapor
360.00	0.0030000	1.0023	0.99772	13.910	16.903	143.35	30.148	38.464	487.88	2.8956	12.990	0.043101	vapor
360.00	0.0040000	1.3364	0.74828	13.910	16.903	140.96	30.148	38.465	487.88	2.8955	12.991	0.043102	vapor
360.00	0.0050000	1.6705	0.59862	13.910	16.903	139.10	30.148	38.465	487.88	2.8955	12.991	0.043103	vapor
360.00	0.0060000	2.0046	0.49885	13.910	16.903	137.59	30.148	38.466	487.88	2.8954	12.991	0.043103	vapor
360.00	0.0070000	2.3387	0.42758	13.910	16.903	136.30	30.148	38.466	487.88	2.8954	12.991	0.043104	vapor
360.00	0.0080000	2.6729	0.37413	13.909	16.903	135.19	30.149	38.467	487.88	2.8953	12.991	0.043105	vapor
360.00	0.0090000	3.0070	0.33256	13.909	16.902	134.21	30.149	38.468	487.88	2.8953	12.991	0.043105	vapor
360.00	0.010000	3.3411	0.29930	13.909	16.902	133.34	30.149	38.468	487.88	2.8952	12.991	0.043106	vapor
360.00	0.011000	3.6753	0.27209	13.909	16.902	132.54	30.149	38.469	487.88	2.8952	12.991	0.043106	vapor
360.00	0.012000	4.0094	0.24941	13.909	16.902	131.82	30.149	38.469	487.87	2.8951	12.991	0.043107	vapor
360.00	0.013000	4.3436	0.23022	13.909	16.902	131.15	30.149	38.470	487.87	2.8951	12.992	0.043108	vapor
360.00	0.014000	4.6778	0.21378	13.909	16.902	130.54	30.149	38.470	487.87	2.8950	12.992	0.043108	vapor
360.00	0.015000	5.0119	0.19952	13.909	16.902	129.96	30.149	38.471	487.87	2.8950	12.992	0.043109	vapor
360.00	0.016000	5.3461	0.18705	13.909	16.902	129.43	30.149	38.472	487.87	2.8949	12.992	0.043110	vapor
360.00	0.017000	5.6803	0.17605	13.909	16.902	128.92	30.149	38.472	487.87	2.8949	12.992	0.043110	vapor
360.00	0.018000	6.0145	0.16627	13.909	16.901	128.45	30.149	38.473	487.87	2.8948	12.992	0.043111	vapor
360.00	0.019000	6.3486	0.15751	13.909	16.901	128.00	30.150	38.473	487.87	2.8948	12.992	0.043111	vapor
360.00	0.020000	6.6828	0.14964	13.908	16.901	127.57	30.150	38.474	487.87	2.8947	12.992	0.043112	vapor
360.00	0.021000	7.0170	0.14251	13.908	16.901	127.17	30.150	38.474	487.87	2.8947	12.993	0.043112	vapor
360.00	0.022000	7.3512	0.13603	13.908	16.901	126.78	30.150	38.475	487.86	2.8946	12.993	0.043113	vapor
360.00	0.023000	7.6854	0.13012	13.908	16.901	126.41	30.150	38.476	487.86	2.8946	12.993	0.043114	vapor
360.00	0.024000	8.0197	0.12469	13.908	16.901	126.05	30.150	38.476	487.86	2.8945	12.993	0.043114	vapor
360.00	0.025000	8.3539	0.11970	13.908	16.901	125.71	30.150	38.477	487.86	2.8945	12.993	0.043115	vapor
360.00	0.026000	8.6881	0.11510	13.908	16.901	125.39	30.150	38.477	487.86	2.8944	12.993	0.043115	vapor
360.00	0.027000	9.0223	0.11084	13.908	16.900	125.07	30.150	38.478	487.86	2.8944	12.993	0.043116	vapor
360.00	0.028000	9.3566	0.10688	13.908	16.900	124.77	30.150	38.479	487.86	2.8943	12.993	0.043117	vapor
360.00	0.029000	9.6908	0.10319	13.908	16.900	124.48	30.150	38.479	487.86	2.8943	12.993	0.043117	vapor
360.00	0.030000	10.025	0.099750	13.908	16.900	124.20	30.151	38.480	487.86	2.8942	12.994	0.043118	vapor
360.00	0.031000	10.359	0.096532	13.907	16.900	123.92	30.151	38.480	487.86	2.8942	12.994	0.043118	vapor
360.00	0.032000	10.694	0.093514	13.907	16.900	123.66	30.151	38.481	487.85	2.8941	12.994	0.043119	vapor
360.00	0.033000	11.028	0.090680	13.907	16.900	123.40	30.151	38.481	487.85	2.8941	12.994	0.043119	vapor
360.00	0.034000	11.362	0.088012	13.907	16.900	123.16	30.151	38.482	487.85	2.8940	12.994	0.043120	vapor
360.00	0.035000	11.696	0.085497	13.907	16.900	122.91	30.151	38.483	487.85	2.8940	12.994	0.043121	vapor
360.00	0.036000	12.031	0.083121	13.907	16.899	122.68	30.151	38.483	487.85	2.8939	12.994	0.043121	vapor
360.00	0.037000	12.365	0.080874	13.907	16.899	122.45	30.151	38.484	487.85	2.8939	12.994	0.043122	vapor
360.00	0.038000	12.699	0.078745	13.907	16.899	122.23	30.151	38.484	487.85	2.8938	12.994	0.043122	vapor
360.00	0.039000	13.034	0.076725	13.907	16.899	122.01	30.151	38.485	487.85	2.8938	12.995	0.043123	vapor
360.00	0.040000	13.368	0.074807	13.907	16.899	121.80	30.152	38.485	487.85	2.8937	12.995	0.043123	vapor
360.00	0.041000	13.702	0.072981	13.907	16.899	121.60	30.152	38.486	487.85	2.8937	12.995	0.043124	vapor
360.00	0.042000	14.036	0.071243	13.907	16.899	121.40	30.152	38.487	487.84	2.8936	12.995	0.043124	vapor
360.00	0.043000	14.371	0.069586	13.906	16.899	121.20	30.152	38.487	487.84	2.8936	12.995	0.043125	vapor
360.00	0.044000	14.705	0.068004	13.906	16.899	121.01	30.152	38.488	487.84	2.8935	12.995	0.043126	vapor
360.00	0.045000	15.039	0.066492	13.906	16.898	120.82	30.152	38.488	487.84	2.8935	12.995	0.043126	vapor
360.00	0.046000	15.374	0.065046	13.906	16.898	120.64	30.152	38.489	487.84	2.8934	12.995	0.043127	vapor
360.00	0.047000	15.708	0.063662	13.906	16.898	120.46	30.152	38.489	487.84	2.8934	12.996	0.043127	vapor
360.00	0.048000	16.042	0.062335	13.906	16.898	120.29	30.152	38.490	487.84	2.8933	12.996	0.043128	vapor
360.00	0.049000	16.377	0.061062	13.906	16.898	120.11	30.152	38.491	487.84	2.8933	12.996	0.043128	vapor
360.00	0.050000	16.711	0.059840	13.906	16.898	119.95	30.152	38.491	487.84	2.8932	12.996	0.043129	vapor
360.00	0.051000	17.045	0.058667	13.906	16.898	119.78	30.153	38.492	487.84	2.8932	12.996	0.043129	vapor
360.00	0.052000	17.380	0.057538	13.906	16.898	119.62	30.153	38.492	487.83	2.8931	12.996	0.043130	vapor
360.00	0.053000	17.714	0.056452	13.906	16.898	119.46	30.153	38.493	487.83	2.8931	12.996	0.043131	vapor
360.00	0.054000	18.049	0.055406	13.905	16.897	119.30	30.153	38.494	487.83	2.8930	12.996	0.043131	vapor
360.00	0.055000	18.383	0.054398	13.905	16.897	119.15	30.153	38.494	487.83	2.8930	12.996	0.043132	vapor
360.00	0.056000	18.717	0.053426	13.905	16.897	119.00	30.153	38.495	487.83	2.8929	12.997	0.043132	vapor
360.00	0.057000	19.052	0.052489	13.905	16.897	118.85	30.153	38.495	487.83	2.8929	12.997	0.043133	vapor
360.00	0.058000	19.386	0.051583	13.905	16.897	118.71	30.153	38.496	487.83	2.8928	12.997	0.043133	vapor
360.00	0.059000	19.721	0.050709	13.905	16.897	118.57	30.153	38.496	487.83	2.8928	12.997	0.043134	vapor
360.00	0.060000	20.055	0.049863	13.905	16.897	118.43	30.153	38.497	487.83	2.8927	12.997	0.043134	vapor
360.00	0.061000	20.389	0.049045	13.905	16.897	118.29	30.153	38.498	487.83	2.8927	12.997	0.043135	vapor
360.00	0.062000	20.724	0.048254	13.905	16.896	118.15	30.154	38.498	487.82	2.8926	12.997	0.043136	vapor
360.00	0.063000	21.058	0.047487	13.905	16.896	118.02	30.154	38.499	487.82	2.8925	12.997	0.043136	vapor
360.00	0.064000	21.393	0.046745	13.905	16.896	117.89	30.154	38.499	487.82	2.8925	12.998	0.043137	vapor
360.00	0.065000	21.727	0.046026	13.905	16.896	117.76	30.154	38.500	487.82	2.8924	12.998	0.043137	vapor
360.00	0.066000	22.062	0.045328	13.904	16.896	117.63	30.154	38.500	487.82	2.8924	12.998	0.043138	vapor
360.00	0.067000	22.396	0.044651	13.904	16.896	117.51	30.154	38.501	487.82	2.8923	12.998	0.043138	vapor
360.00	0.068000	22.730	0.043994	13.904	16.896	117.38	30.154	38.502	487.82	2.8923	12.998	0.043139	vapor
360.00	0.069000	23.065	0.043356	13.904	16.896	117.26	30.154	38.502	487.82	2.8922	12.998	0.043139	vapor
360.00	0.070000	23.399	0.042736	13.904	16.896	117.14	30.154	38.503	487.82	2.8922	12.998	0.043140	vapor
360.00	0.071000	23.734	0.042134	13.904	16.895	117.02	30.154	38.503	487.82	2.8921	12.998	0.043141	vapor
360.00	0.072000	24.068	0.041548	13.904	16.895	116.91	30.154	38.504	487.81	2.8921	12.998	0.043141	vapor
360.00	0.073000	24.403	0.040979	13.904	16.895	116.79	30.155	38.504	487.81	2.8920	12.999	0.043142	vapor
360.00	0.074000	24.737	0.040425	13.904	16.895	116.68	30.155	38.505	487.81	2.8920	12.999	0.043142	vapor
