Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
110.00	0.0000	0.0000	infinite	7.3256	8.2402	-1.0000e+07	24.964	33.278	275.68	undefined	4.3010	0.010926	vapor
110.00	0.0010000	1.0938	0.91427	7.3250	8.2392	111.89	24.972	33.298	275.62	28.897	4.3007	0.010929	vapor
110.00	0.0020000	2.1883	0.45697	7.3243	8.2383	106.12	24.980	33.318	275.56	28.926	4.3003	0.010932	vapor
110.00	0.0030000	3.2836	0.30454	7.3237	8.2373	102.74	24.988	33.337	275.49	28.955	4.3000	0.010934	vapor
110.00	0.0040000	4.3797	0.22832	7.3231	8.2364	100.35	24.996	33.357	275.43	28.983	4.2997	0.010936	vapor
110.00	0.0050000	5.4766	0.18259	7.3224	8.2354	98.484	25.004	33.377	275.37	29.011	4.2993	0.010938	vapor
110.00	0.0060000	6.5743	0.15211	7.3218	8.2344	96.962	25.012	33.397	275.31	29.039	4.2990	0.010940	vapor
110.00	0.0070000	7.6728	0.13033	7.3211	8.2334	95.675	25.020	33.417	275.25	29.066	4.2987	0.010942	vapor
110.00	0.0080000	8.7720	0.11400	7.3205	8.2325	94.559	25.029	33.438	275.19	29.093	4.2983	0.010944	vapor
110.00	0.0090000	9.8721	0.10130	7.3198	8.2315	93.574	25.037	33.458	275.13	29.119	4.2980	0.010946	vapor
110.00	0.010000	10.973	0.091134	7.3192	8.2305	92.692	25.046	33.478	275.07	29.146	4.2976	0.010949	vapor
110.00	0.011000	12.075	0.082819	7.3185	8.2295	91.893	25.054	33.499	275.00	29.171	4.2973	0.010951	vapor
110.00	0.012000	13.177	0.075890	7.3179	8.2286	91.164	25.063	33.520	274.94	29.197	4.2969	0.010953	vapor
110.00	0.013000	14.280	0.070027	7.3172	8.2276	90.492	25.071	33.541	274.88	29.222	4.2966	0.010955	vapor
110.00	0.014000	15.384	0.065002	7.3166	8.2266	89.870	25.080	33.561	274.82	29.246	4.2962	0.010957	vapor
110.00	0.015000	16.489	0.060646	7.3159	8.2256	89.291	25.088	33.582	274.76	29.271	4.2959	0.010959	vapor
110.00	0.016000	17.595	0.056835	7.3153	8.2246	88.748	25.097	33.603	274.70	29.295	4.2955	0.010962	vapor
110.00	0.017000	18.701	0.053473	7.3146	8.2237	88.238	25.106	33.625	274.63	29.318	4.2952	0.010964	vapor
