Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
140.00	0.0000	0.0000	infinite	8.0747	9.2387	-1.0000e+07	24.978	33.293	310.98	undefined	5.4340	0.014436	vapor
140.00	0.0010000	0.85923	1.1638	8.0743	9.2381	119.92	24.981	33.301	310.95	17.615	5.4340	0.014440	vapor
140.00	0.0020000	1.7188	0.58181	8.0739	9.2376	114.15	24.983	33.309	310.92	17.619	5.4340	0.014442	vapor
140.00	0.0030000	2.5786	0.38781	8.0736	9.2370	110.78	24.986	33.317	310.88	17.623	5.4340	0.014444	vapor
140.00	0.0040000	3.4388	0.29080	8.0732	9.2364	108.38	24.988	33.325	310.85	17.627	5.4339	0.014446	vapor
140.00	0.0050000	4.2992	0.23260	8.0728	9.2358	106.53	24.991	33.333	310.82	17.631	5.4339	0.014448	vapor
140.00	0.0060000	5.1600	0.19380	8.0724	9.2352	105.01	24.993	33.341	310.78	17.635	5.4339	0.014450	vapor
140.00	0.0070000	6.0210	0.16608	8.0720	9.2346	103.72	24.996	33.349	310.75	17.639	5.4339	0.014452	vapor
140.00	0.0080000	6.8824	0.14530	8.0716	9.2340	102.61	24.999	33.357	310.72	17.643	5.4339	0.014453	vapor
140.00	0.0090000	7.7440	0.12913	8.0713	9.2334	101.63	25.001	33.365	310.68	17.647	5.4339	0.014455	vapor
140.00	0.010000	8.6060	0.11620	8.0709	9.2329	100.75	25.004	33.373	310.65	17.650	5.4339	0.014457	vapor
140.00	0.011000	9.4683	0.10562	8.0705	9.2323	99.954	25.006	33.381	310.62	17.654	5.4339	0.014458	vapor
140.00	0.012000	10.331	0.096797	8.0701	9.2317	99.228	25.009	33.389	310.58	17.658	5.4339	0.014460	vapor
140.00	0.013000	11.194	0.089335	8.0697	9.2311	98.560	25.011	33.397	310.55	17.662	5.4339	0.014462	vapor
140.00	0.014000	12.057	0.082939	8.0693	9.2305	97.941	25.014	33.405	310.52	17.666	5.4338	0.014463	vapor
140.00	0.015000	12.920	0.077396	8.0690	9.2299	97.365	25.016	33.414	310.48	17.670	5.4338	0.014465	vapor
140.00	0.016000	13.784	0.072546	8.0686	9.2293	96.825	25.019	33.422	310.45	17.674	5.4338	0.014466	vapor
140.00	0.017000	14.648	0.068267	8.0682	9.2287	96.318	25.022	33.430	310.42	17.677	5.4338	0.014468	vapor
140.00	0.018000	15.513	0.064463	8.0678	9.2281	95.840	25.024	33.438	310.38	17.681	5.4338	0.014470	vapor
140.00	0.019000	16.378	0.061059	8.0674	9.2275	95.388	25.027	33.446	310.35	17.685	5.4338	0.014471	vapor
140.00	0.020000	17.243	0.057996	8.0670	9.2270	94.959	25.029	33.454	310.31	17.689	5.4338	0.014473	vapor
140.00	0.021000	18.108	0.055224	8.0667	9.2264	94.551	25.032	33.463	310.28	17.693	5.4338	0.014474	vapor
140.00	0.022000	18.974	0.052705	8.0663	9.2258	94.161	25.035	33.471	310.25	17.697	5.4338	0.014476	vapor
140.00	0.023000	19.840	0.050404	8.0659	9.2252	93.789	25.037	33.479	310.21	17.700	5.4337	0.014477	vapor
140.00	0.024000	20.706	0.048295	8.0655	9.2246	93.432	25.040	33.487	310.18	17.704	5.4337	0.014479	vapor
