Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
195.00	0.0000	0.0000	infinite	9.4519	11.073	-1.0000e+07	25.159	33.474	366.69	undefined	7.5017	0.020917	vapor
195.00	0.0010000	0.61682	1.6212	9.4516	11.073	130.97	25.160	33.477	366.68	9.6869	7.5018	0.020925	vapor
195.00	0.0020000	1.2337	0.81055	9.4514	11.073	125.21	25.160	33.479	366.66	9.6872	7.5019	0.020928	vapor
195.00	0.0030000	1.8507	0.54033	9.4512	11.072	121.83	25.161	33.482	366.65	9.6875	7.5020	0.020931	vapor
195.00	0.0040000	2.4678	0.40522	9.4510	11.072	119.44	25.162	33.485	366.63	9.6878	7.5022	0.020934	vapor
195.00	0.0050000	3.0849	0.32416	9.4508	11.072	117.59	25.162	33.488	366.62	9.6882	7.5023	0.020936	vapor
195.00	0.0060000	3.7022	0.27011	9.4506	11.071	116.07	25.163	33.491	366.61	9.6885	7.5024	0.020938	vapor
195.00	0.0070000	4.3195	0.23151	9.4504	11.071	114.79	25.164	33.494	366.59	9.6888	7.5025	0.020940	vapor
195.00	0.0080000	4.9369	0.20256	9.4501	11.071	113.67	25.164	33.497	366.58	9.6891	7.5026	0.020942	vapor
195.00	0.0090000	5.5544	0.18004	9.4499	11.070	112.69	25.165	33.499	366.56	9.6894	7.5028	0.020944	vapor
195.00	0.010000	6.1720	0.16202	9.4497	11.070	111.82	25.166	33.502	366.55	9.6897	7.5029	0.020946	vapor
195.00	0.011000	6.7896	0.14728	9.4495	11.070	111.02	25.166	33.505	366.54	9.6901	7.5030	0.020948	vapor
195.00	0.012000	7.4074	0.13500	9.4493	11.069	110.30	25.167	33.508	366.52	9.6904	7.5031	0.020949	vapor
195.00	0.013000	8.0252	0.12461	9.4491	11.069	109.63	25.168	33.511	366.51	9.6907	7.5032	0.020951	vapor
195.00	0.014000	8.6431	0.11570	9.4489	11.069	109.01	25.168	33.514	366.49	9.6910	7.5034	0.020953	vapor
