Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
390.00	0.0000	0.0000	infinite	14.838	18.081	-1.0000e+07	31.738	40.053	505.05	undefined	13.876	0.048024	vapor
390.00	0.0010000	0.30839	3.2426	14.838	18.081	155.62	31.738	40.053	505.05	2.3894	13.876	0.048025	vapor
390.00	0.0020000	0.61678	1.6213	14.838	18.081	149.86	31.738	40.054	505.05	2.3894	13.876	0.048026	vapor
390.00	0.0030000	0.92518	1.0809	14.838	18.081	146.49	31.738	40.054	505.05	2.3893	13.876	0.048027	vapor
390.00	0.0040000	1.2336	0.81065	14.838	18.080	144.10	31.738	40.055	505.05	2.3893	13.876	0.048027	vapor
390.00	0.0050000	1.5420	0.64851	14.838	18.080	142.24	31.739	40.055	505.05	2.3892	13.876	0.048028	vapor
390.00	0.0060000	1.8504	0.54043	14.838	18.080	140.73	31.739	40.056	505.05	2.3892	13.877	0.048028	vapor
390.00	0.0070000	2.1588	0.46322	14.838	18.080	139.44	31.739	40.056	505.05	2.3891	13.877	0.048029	vapor
390.00	0.0080000	2.4672	0.40531	14.838	18.080	138.33	31.739	40.057	505.05	2.3891	13.877	0.048030	vapor
390.00	0.0090000	2.7756	0.36028	14.837	18.080	137.35	31.739	40.057	505.05	2.3890	13.877	0.048030	vapor
390.00	0.010000	3.0841	0.32425	14.837	18.080	136.48	31.739	40.057	505.05	2.3890	13.877	0.048031	vapor
390.00	0.011000	3.3925	0.29477	14.837	18.080	135.69	31.739	40.058	505.05	2.3890	13.877	0.048031	vapor
390.00	0.012000	3.7009	0.27020	14.837	18.080	134.96	31.739	40.058	505.05	2.3889	13.877	0.048032	vapor
390.00	0.013000	4.0093	0.24942	14.837	18.080	134.30	31.739	40.059	505.05	2.3889	13.877	0.048032	vapor
390.00	0.014000	4.3178	0.23160	14.837	18.079	133.68	31.739	40.059	505.05	2.3888	13.877	0.048033	vapor
390.00	0.015000	4.6262	0.21616	14.837	18.079	133.11	31.739	40.060	505.05	2.3888	13.878	0.048034	vapor
390.00	0.016000	4.9346	0.20265	14.837	18.079	132.57	31.739	40.060	505.05	2.3887	13.878	0.048034	vapor
390.00	0.017000	5.2431	0.19073	14.837	18.079	132.06	31.739	40.061	505.05	2.3887	13.878	0.048035	vapor
390.00	0.018000	5.5515	0.18013	14.837	18.079	131.59	31.740	40.061	505.05	2.3886	13.878	0.048035	vapor
390.00	0.019000	5.8600	0.17065	14.837	18.079	131.14	31.740	40.062	505.05	2.3886	13.878	0.048036	vapor
390.00	0.020000	6.1684	0.16212	14.837	18.079	130.71	31.740	40.062	505.04	2.3886	13.878	0.048036	vapor
390.00	0.021000	6.4769	0.15439	14.837	18.079	130.31	31.740	40.063	505.04	2.3885	13.878	0.048037	vapor
390.00	0.022000	6.7854	0.14738	14.836	18.079	129.92	31.740	40.063	505.04	2.3885	13.878	0.048037	vapor
390.00	0.023000	7.0938	0.14097	14.836	18.079	129.55	31.740	40.064	505.04	2.3884	13.878	0.048038	vapor
390.00	0.024000	7.4023	0.13509	14.836	18.079	129.20	31.740	40.064	505.04	2.3884	13.879	0.048038	vapor
390.00	0.025000	7.7108	0.12969	14.836	18.078	128.86	31.740	40.065	505.04	2.3883	13.879	0.048039	vapor
390.00	0.026000	8.0192	0.12470	14.836	18.078	128.53	31.740	40.065	505.04	2.3883	13.879	0.048039	vapor
390.00	0.027000	8.3277	0.12008	14.836	18.078	128.22	31.740	40.066	505.04	2.3882	13.879	0.048040	vapor
390.00	0.028000	8.6362	0.11579	14.836	18.078	127.91	31.740	40.066	505.04	2.3882	13.879	0.048040	vapor
390.00	0.029000	8.9447	0.11180	14.836	18.078	127.62	31.740	40.066	505.04	2.3881	13.879	0.048041	vapor
390.00	0.030000	9.2532	0.10807	14.836	18.078	127.34	31.740	40.067	505.04	2.3881	13.879	0.048042	vapor
390.00	0.031000	9.5617	0.10458	14.836	18.078	127.07	31.740	40.067	505.04	2.3881	13.879	0.048042	vapor
