Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
160.00	0.0000	0.0000	infinite	8.5745	9.9048	-1.0000e+07	25.006	33.321	332.41	undefined	6.1946	0.016796	vapor
160.00	0.0010000	0.75179	1.3302	8.5742	9.9044	124.37	25.008	33.326	332.38	13.758	6.1947	0.016801	vapor
160.00	0.0020000	1.5038	0.66500	8.5739	9.9039	118.60	25.009	33.331	332.36	13.759	6.1947	0.016803	vapor
160.00	0.0030000	2.2559	0.44328	8.5736	9.9034	115.23	25.010	33.336	332.34	13.761	6.1948	0.016805	vapor
160.00	0.0040000	3.0082	0.33242	8.5733	9.9030	112.84	25.012	33.341	332.31	13.762	6.1949	0.016807	vapor
160.00	0.0050000	3.7608	0.26590	8.5730	9.9025	110.98	25.013	33.346	332.29	13.763	6.1949	0.016809	vapor
160.00	0.0060000	4.5134	0.22156	8.5727	9.9021	109.46	25.015	33.352	332.27	13.765	6.1950	0.016811	vapor
160.00	0.0070000	5.2663	0.18989	8.5724	9.9016	108.18	25.016	33.357	332.24	13.766	6.1951	0.016812	vapor
160.00	0.0080000	6.0194	0.16613	8.5721	9.9012	107.06	25.017	33.362	332.22	13.768	6.1951	0.016814	vapor
160.00	0.0090000	6.7726	0.14765	8.5718	9.9007	106.08	25.019	33.367	332.19	13.769	6.1952	0.016816	vapor
160.00	0.010000	7.5260	0.13287	8.5715	9.9002	105.21	25.020	33.372	332.17	13.771	6.1953	0.016817	vapor
160.00	0.011000	8.2796	0.12078	8.5712	9.8998	104.41	25.022	33.377	332.15	13.772	6.1953	0.016819	vapor
160.00	0.012000	9.0334	0.11070	8.5709	9.8993	103.69	25.023	33.383	332.12	13.774	6.1954	0.016820	vapor
160.00	0.013000	9.7874	0.10217	8.5706	9.8989	103.02	25.025	33.388	332.10	13.775	6.1955	0.016822	vapor
