Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	0.0000	0.0000	infinite	12.186	14.680	-1.0000e+07	27.463	35.778	450.06	undefined	11.123	0.034141	vapor
300.00	0.0010000	0.40091	2.4943	12.186	14.680	145.74	27.463	35.778	450.06	4.3269	11.123	0.034143	vapor
300.00	0.0020000	0.80184	1.2471	12.186	14.680	139.97	27.463	35.779	450.05	4.3269	11.123	0.034144	vapor
300.00	0.0030000	1.2028	0.83141	12.185	14.680	136.60	27.463	35.780	450.05	4.3268	11.123	0.034145	vapor
300.00	0.0040000	1.6037	0.62355	12.185	14.680	134.21	27.464	35.781	450.05	4.3268	11.123	0.034146	vapor
300.00	0.0050000	2.0047	0.49883	12.185	14.679	132.35	27.464	35.782	450.04	4.3267	11.123	0.034147	vapor
300.00	0.0060000	2.4057	0.41568	12.185	14.679	130.84	27.464	35.783	450.04	4.3267	11.123	0.034148	vapor
300.00	0.0070000	2.8067	0.35629	12.185	14.679	129.55	27.464	35.784	450.04	4.3266	11.124	0.034149	vapor
300.00	0.0080000	3.2077	0.31175	12.185	14.679	128.44	27.464	35.785	450.03	4.3266	11.124	0.034150	vapor
300.00	0.0090000	3.6087	0.27711	12.185	14.679	127.46	27.464	35.786	450.03	4.3265	11.124	0.034151	vapor
300.00	0.010000	4.0097	0.24939	12.185	14.679	126.59	27.465	35.787	450.03	4.3265	11.124	0.034151	vapor
300.00	0.011000	4.4108	0.22672	12.185	14.678	125.79	27.465	35.788	450.02	4.3264	11.124	0.034152	vapor
300.00	0.012000	4.8118	0.20782	12.184	14.678	125.07	27.465	35.788	450.02	4.3264	11.124	0.034153	vapor
300.00	0.013000	5.2129	0.19183	12.184	14.678	124.40	27.465	35.789	450.02	4.3263	11.124	0.034154	vapor
300.00	0.014000	5.6140	0.17813	12.184	14.678	123.79	27.465	35.790	450.01	4.3263	11.124	0.034154	vapor
300.00	0.015000	6.0151	0.16625	12.184	14.678	123.21	27.465	35.791	450.01	4.3262	11.125	0.034155	vapor
300.00	0.016000	6.4162	0.15585	12.184	14.678	122.68	27.466	35.792	450.01	4.3261	11.125	0.034156	vapor
300.00	0.017000	6.8174	0.14668	12.184	14.678	122.17	27.466	35.793	450.01	4.3261	11.125	0.034157	vapor
300.00	0.018000	7.2185	0.13853	12.184	14.677	121.70	27.466	35.794	450.00	4.3260	11.125	0.034157	vapor
300.00	0.019000	7.6197	0.13124	12.184	14.677	121.25	27.466	35.795	450.00	4.3260	11.125	0.034158	vapor
300.00	0.020000	8.0208	0.12468	12.184	14.677	120.82	27.466	35.796	450.00	4.3259	11.125	0.034159	vapor
300.00	0.021000	8.4220	0.11874	12.183	14.677	120.41	27.466	35.797	449.99	4.3259	11.125	0.034160	vapor
300.00	0.022000	8.8232	0.11334	12.183	14.677	120.03	27.466	35.798	449.99	4.3258	11.126	0.034160	vapor
300.00	0.023000	9.2244	0.10841	12.183	14.677	119.66	27.467	35.798	449.99	4.3258	11.126	0.034161	vapor
300.00	0.024000	9.6256	0.10389	12.183	14.676	119.30	27.467	35.799	449.98	4.3257	11.126	0.034162	vapor
300.00	0.025000	10.027	0.099732	12.183	14.676	118.96	27.467	35.800	449.98	4.3257	11.126	0.034163	vapor
300.00	0.026000	10.428	0.095894	12.183	14.676	118.64	27.467	35.801	449.98	4.3256	11.126	0.034163	vapor
300.00	0.027000	10.829	0.092341	12.183	14.676	118.32	27.467	35.802	449.97	4.3256	11.126	0.034164	vapor
300.00	0.028000	11.231	0.089042	12.183	14.676	118.02	27.467	35.803	449.97	4.3255	11.126	0.034165	vapor
300.00	0.029000	11.632	0.085970	12.183	14.676	117.73	27.468	35.804	449.97	4.3255	11.126	0.034165	vapor
300.00	0.030000	12.033	0.083103	12.182	14.676	117.45	27.468	35.805	449.96	4.3254	11.127	0.034166	vapor
300.00	0.031000	12.435	0.080421	12.182	14.675	117.17	27.468	35.806	449.96	4.3253	11.127	0.034167	vapor
300.00	0.032000	12.836	0.077906	12.182	14.675	116.91	27.468	35.807	449.96	4.3253	11.127	0.034168	vapor
300.00	0.033000	13.237	0.075544	12.182	14.675	116.65	27.468	35.808	449.95	4.3252	11.127	0.034168	vapor
300.00	0.034000	13.639	0.073321	12.182	14.675	116.40	27.468	35.808	449.95	4.3252	11.127	0.034169	vapor
300.00	0.035000	14.040	0.071225	12.182	14.675	116.16	27.469	35.809	449.95	4.3251	11.127	0.034170	vapor
